inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Scotland,0.1,HG Munsey,KR Mayers,1,{},{}
1st innings,Scotland,0.2,MA Jones,KR Mayers,4,{},{}
1st innings,Scotland,0.3,MA Jones,KR Mayers,4,{},{}
1st innings,Scotland,0.4,MA Jones,KR Mayers,0,{},{}
1st innings,Scotland,0.5,MA Jones,KR Mayers,0,{},{}
1st innings,Scotland,0.6,MA Jones,KR Mayers,0,{},{}
1st innings,Scotland,1.1,HG Munsey,AJ Hosein,0,{},{}
1st innings,Scotland,1.2,HG Munsey,AJ Hosein,0,{},{}
1st innings,Scotland,1.3,HG Munsey,AJ Hosein,0,{},{}
1st innings,Scotland,1.4,HG Munsey,AJ Hosein,0,{},{}
1st innings,Scotland,1.5,HG Munsey,AJ Hosein,0,{},{}
1st innings,Scotland,1.6,HG Munsey,AJ Hosein,1,{},{}
1st innings,Scotland,2.1,HG Munsey,KR Mayers,4,{},{}
1st innings,Scotland,2.2,HG Munsey,KR Mayers,4,{},{}
1st innings,Scotland,2.3,HG Munsey,KR Mayers,1,{'wides': 1},{}
1st innings,Scotland,2.4,HG Munsey,KR Mayers,0,{},{}
1st innings,Scotland,2.5,HG Munsey,KR Mayers,1,{'legbyes': 1},{}
1st innings,Scotland,2.6,MA Jones,KR Mayers,1,{},{}
1st innings,Scotland,2.7,HG Munsey,KR Mayers,1,{'wides': 1},{}
1st innings,Scotland,2.8,HG Munsey,KR Mayers,4,{},{}
1st innings,Scotland,3.1,MA Jones,AS Joseph,0,{},{}
1st innings,Scotland,3.2,MA Jones,AS Joseph,1,{},{}
1st innings,Scotland,3.3,HG Munsey,AS Joseph,4,{},{}
1st innings,Scotland,3.4,HG Munsey,AS Joseph,4,{},{}
1st innings,Scotland,3.5,HG Munsey,AS Joseph,4,{},{}
1st innings,Scotland,3.6,HG Munsey,AS Joseph,2,{},{}
1st innings,Scotland,4.1,MA Jones,AJ Hosein,1,{},{}
1st innings,Scotland,4.2,HG Munsey,AJ Hosein,1,{},{}
1st innings,Scotland,4.3,MA Jones,AJ Hosein,4,{},{}
1st innings,Scotland,4.4,MA Jones,AJ Hosein,2,{},{}
1st innings,Scotland,4.5,MA Jones,AJ Hosein,0,{},{}
1st innings,Scotland,4.6,MA Jones,AJ Hosein,1,{},{}
1st innings,Scotland,5.1,MA Jones,OC McCoy,1,{},{}
1st innings,Scotland,5.2,HG Munsey,OC McCoy,0,{},{}
1st innings,Scotland,5.3,HG Munsey,OC McCoy,1,{'legbyes': 1},{}
1st innings,Scotland,5.4,MA Jones,OC McCoy,0,{},{}
1st innings,Scotland,5.5,MA Jones,OC McCoy,1,{},{}
1st innings,Scotland,5.6,HG Munsey,OC McCoy,1,{'legbyes': 1},{}
1st innings,Scotland,6.1,HG Munsey,JO Holder,1,{'legbyes': 1},{}
1st innings,Scotland,6.2,MA Jones,JO Holder,0,{},"{'player_out': 'MA Jones', 'kind': 'bowled'}"
1st innings,Scotland,6.3,MH Cross,JO Holder,1,{},{}
1st innings,Scotland,6.4,HG Munsey,JO Holder,0,{},{}
1st innings,Scotland,6.5,HG Munsey,JO Holder,0,{},{}
1st innings,Scotland,6.6,HG Munsey,JO Holder,1,{},{}
1st innings,Scotland,7.1,HG Munsey,OF Smith,1,{},{}
1st innings,Scotland,7.2,MH Cross,OF Smith,1,{},{}
1st innings,Scotland,7.3,HG Munsey,OF Smith,1,{},{}
1st innings,Scotland,7.4,MH Cross,OF Smith,1,{},{}
1st innings,Scotland,7.5,HG Munsey,OF Smith,1,{},{}
1st innings,Scotland,7.6,MH Cross,OF Smith,0,{},{}
1st innings,Scotland,8.1,HG Munsey,JO Holder,1,{},{}
1st innings,Scotland,8.2,MH Cross,JO Holder,0,{},"{'player_out': 'MH Cross', 'fielders': ['SSJ Brooks'], 'kind': 'caught'}"
1st innings,Scotland,8.3,RD Berrington,JO Holder,1,{},{}
1st innings,Scotland,8.4,HG Munsey,JO Holder,1,{},{}
1st innings,Scotland,8.5,RD Berrington,JO Holder,0,{},{}
1st innings,Scotland,8.6,RD Berrington,JO Holder,0,{},{}
1st innings,Scotland,9.1,HG Munsey,OF Smith,1,{},{}
1st innings,Scotland,9.2,RD Berrington,OF Smith,2,{},{}
1st innings,Scotland,9.3,RD Berrington,OF Smith,0,{},{}
1st innings,Scotland,9.4,RD Berrington,OF Smith,1,{},{}
1st innings,Scotland,9.5,HG Munsey,OF Smith,1,{},{}
1st innings,Scotland,9.6,RD Berrington,OF Smith,2,{},{}
1st innings,Scotland,10.1,HG Munsey,AJ Hosein,1,{},{}
1st innings,Scotland,10.2,RD Berrington,AJ Hosein,1,{},{}
1st innings,Scotland,10.3,HG Munsey,AJ Hosein,1,{},{}
1st innings,Scotland,10.4,RD Berrington,AJ Hosein,2,{},{}
1st innings,Scotland,10.5,RD Berrington,AJ Hosein,6,{},{}
1st innings,Scotland,10.6,RD Berrington,AJ Hosein,0,{},{}
1st innings,Scotland,11.1,HG Munsey,AS Joseph,1,{},{}
1st innings,Scotland,11.2,RD Berrington,AS Joseph,0,{},{}
1st innings,Scotland,11.3,RD Berrington,AS Joseph,1,{},{}
1st innings,Scotland,11.4,HG Munsey,AS Joseph,1,{},{}
1st innings,Scotland,11.5,RD Berrington,AS Joseph,0,{},"{'player_out': 'RD Berrington', 'fielders': ['KR Mayers'], 'kind': 'caught'}"
1st innings,Scotland,11.6,CS MacLeod,AS Joseph,1,{'wides': 1},{}
1st innings,Scotland,11.7,CS MacLeod,AS Joseph,0,{},{}
1st innings,Scotland,12.1,HG Munsey,JO Holder,1,{},{}
1st innings,Scotland,12.2,CS MacLeod,JO Holder,0,{},{}
1st innings,Scotland,12.3,CS MacLeod,JO Holder,2,{},{}
1st innings,Scotland,12.4,CS MacLeod,JO Holder,4,{},{}
1st innings,Scotland,12.5,CS MacLeod,JO Holder,1,{},{}
1st innings,Scotland,12.6,HG Munsey,JO Holder,1,{},{}
1st innings,Scotland,13.1,HG Munsey,OC McCoy,1,{},{}
1st innings,Scotland,13.2,CS MacLeod,OC McCoy,1,{},{}
1st innings,Scotland,13.3,HG Munsey,OC McCoy,1,{},{}
1st innings,Scotland,13.4,CS MacLeod,OC McCoy,4,{},{}
1st innings,Scotland,13.5,CS MacLeod,OC McCoy,4,{},{}
1st innings,Scotland,13.6,CS MacLeod,OC McCoy,0,{},{}
1st innings,Scotland,14.1,HG Munsey,AJ Hosein,2,{},{}
1st innings,Scotland,14.2,HG Munsey,AJ Hosein,1,{},{}
1st innings,Scotland,14.3,CS MacLeod,AJ Hosein,4,{},{}
1st innings,Scotland,14.4,CS MacLeod,AJ Hosein,2,{},{}
1st innings,Scotland,14.5,CS MacLeod,AJ Hosein,0,{},{}
1st innings,Scotland,14.6,CS MacLeod,AJ Hosein,1,{},{}
1st innings,Scotland,15.1,CS MacLeod,OF Smith,0,{},"{'player_out': 'CS MacLeod', 'fielders': ['BA King'], 'kind': 'caught'}"
1st innings,Scotland,15.2,MA Leask,OF Smith,2,{},{}
1st innings,Scotland,15.3,MA Leask,OF Smith,0,{},{}
1st innings,Scotland,15.4,MA Leask,OF Smith,1,{},{}
1st innings,Scotland,15.5,HG Munsey,OF Smith,1,{},{}
1st innings,Scotland,15.6,MA Leask,OF Smith,1,{'legbyes': 1},{}
1st innings,Scotland,16.1,MA Leask,AS Joseph,1,{},{}
1st innings,Scotland,16.2,HG Munsey,AS Joseph,1,{'wides': 1},{}
1st innings,Scotland,16.3,HG Munsey,AS Joseph,1,{},{}
1st innings,Scotland,16.4,MA Leask,AS Joseph,0,{},"{'player_out': 'MA Leask', 'kind': 'bowled'}"
1st innings,Scotland,16.5,CN Greaves,AS Joseph,1,{},{}
1st innings,Scotland,16.6,HG Munsey,AS Joseph,1,{},{}
1st innings,Scotland,16.7,CN Greaves,AS Joseph,1,{},{}
1st innings,Scotland,17.1,CN Greaves,OC McCoy,4,{},{}
1st innings,Scotland,17.2,CN Greaves,OC McCoy,4,{},{}
1st innings,Scotland,17.3,CN Greaves,OC McCoy,2,{},{}
1st innings,Scotland,17.4,CN Greaves,OC McCoy,0,{},{}
1st innings,Scotland,17.5,CN Greaves,OC McCoy,1,{},{}
1st innings,Scotland,17.6,HG Munsey,OC McCoy,1,{},{}
1st innings,Scotland,18.1,HG Munsey,AS Joseph,0,{},{}
1st innings,Scotland,18.2,HG Munsey,AS Joseph,0,{},{}
1st innings,Scotland,18.3,HG Munsey,AS Joseph,1,{'legbyes': 1},{}
1st innings,Scotland,18.4,CN Greaves,AS Joseph,1,{'legbyes': 1},{}
1st innings,Scotland,18.5,HG Munsey,AS Joseph,1,{},{}
1st innings,Scotland,18.6,CN Greaves,AS Joseph,2,{},{}
1st innings,Scotland,19.1,HG Munsey,OF Smith,4,{},{}
1st innings,Scotland,19.2,HG Munsey,OF Smith,1,{},{}
