inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Sri Lanka,0.1,P Nissanka,Junaid Siddique,1,{'wides': 1},{}
1st innings,Sri Lanka,0.2,P Nissanka,Junaid Siddique,0,{},{}
1st innings,Sri Lanka,0.3,P Nissanka,Junaid Siddique,1,{},{}
1st innings,Sri Lanka,0.4,BKG Mendis,Junaid Siddique,0,{},{}
1st innings,Sri Lanka,0.5,BKG Mendis,Junaid Siddique,0,{},{}
1st innings,Sri Lanka,0.6,BKG Mendis,Junaid Siddique,2,{},{}
1st innings,Sri Lanka,0.7,BKG Mendis,Junaid Siddique,1,{},{}
1st innings,Sri Lanka,1.1,BKG Mendis,Kashif Daud,4,{},{}
1st innings,Sri Lanka,1.2,BKG Mendis,Kashif Daud,4,{},{}
1st innings,Sri Lanka,1.3,BKG Mendis,Kashif Daud,1,{},{}
1st innings,Sri Lanka,1.4,P Nissanka,Kashif Daud,3,{},{}
1st innings,Sri Lanka,1.5,BKG Mendis,Kashif Daud,1,{},{}
1st innings,Sri Lanka,1.6,P Nissanka,Kashif Daud,1,{},{}
1st innings,Sri Lanka,2.1,P Nissanka,Zahoor Khan,0,{},{}
1st innings,Sri Lanka,2.2,P Nissanka,Zahoor Khan,2,{},{}
1st innings,Sri Lanka,2.3,P Nissanka,Zahoor Khan,4,{},{}
1st innings,Sri Lanka,2.4,P Nissanka,Zahoor Khan,1,{},{}
1st innings,Sri Lanka,2.5,BKG Mendis,Zahoor Khan,0,{},{}
1st innings,Sri Lanka,2.6,BKG Mendis,Zahoor Khan,2,{},{}
1st innings,Sri Lanka,3.1,P Nissanka,Aayan Afzal Khan,4,{},{}
1st innings,Sri Lanka,3.2,P Nissanka,Aayan Afzal Khan,0,{},{}
1st innings,Sri Lanka,3.3,P Nissanka,Aayan Afzal Khan,1,{},{}
1st innings,Sri Lanka,3.4,BKG Mendis,Aayan Afzal Khan,1,{},{}
1st innings,Sri Lanka,3.5,P Nissanka,Aayan Afzal Khan,1,{},{}
1st innings,Sri Lanka,3.6,BKG Mendis,Aayan Afzal Khan,2,{},{}
1st innings,Sri Lanka,4.1,P Nissanka,Aryan Lakra,0,{},{}
1st innings,Sri Lanka,4.2,P Nissanka,Aryan Lakra,4,{},{}
1st innings,Sri Lanka,4.3,P Nissanka,Aryan Lakra,1,{},{}
1st innings,Sri Lanka,4.4,BKG Mendis,Aryan Lakra,0,{},"{'player_out': 'BKG Mendis', 'kind': 'lbw'}"
1st innings,Sri Lanka,4.5,DM de Silva,Aryan Lakra,4,{},{}
1st innings,Sri Lanka,4.6,DM de Silva,Aryan Lakra,1,{},{}
1st innings,Sri Lanka,5.1,DM de Silva,Junaid Siddique,0,{},{}
1st innings,Sri Lanka,5.2,DM de Silva,Junaid Siddique,1,{},{}
1st innings,Sri Lanka,5.3,P Nissanka,Junaid Siddique,1,{},{}
1st innings,Sri Lanka,5.4,DM de Silva,Junaid Siddique,1,{},{}
1st innings,Sri Lanka,5.5,P Nissanka,Junaid Siddique,1,{},{}
1st innings,Sri Lanka,5.6,DM de Silva,Junaid Siddique,1,{},{}
1st innings,Sri Lanka,6.1,DM de Silva,Aryan Lakra,0,{},{}
1st innings,Sri Lanka,6.2,DM de Silva,Aryan Lakra,1,{},{}
1st innings,Sri Lanka,6.3,P Nissanka,Aryan Lakra,2,{},{}
1st innings,Sri Lanka,6.4,P Nissanka,Aryan Lakra,0,{},{}
1st innings,Sri Lanka,6.5,P Nissanka,Aryan Lakra,1,{},{}
1st innings,Sri Lanka,6.6,DM de Silva,Aryan Lakra,2,{},{}
1st innings,Sri Lanka,7.1,P Nissanka,KP Meiyappan,1,{},{}
1st innings,Sri Lanka,7.2,DM de Silva,KP Meiyappan,1,{},{}
1st innings,Sri Lanka,7.3,P Nissanka,KP Meiyappan,1,{},{}
1st innings,Sri Lanka,7.4,DM de Silva,KP Meiyappan,1,{},{}
1st innings,Sri Lanka,7.5,P Nissanka,KP Meiyappan,6,{},{}
1st innings,Sri Lanka,7.6,P Nissanka,KP Meiyappan,0,{},{}
1st innings,Sri Lanka,8.1,DM de Silva,Zahoor Khan,1,{},{}
1st innings,Sri Lanka,8.2,P Nissanka,Zahoor Khan,1,{},{}
1st innings,Sri Lanka,8.3,DM de Silva,Zahoor Khan,0,{},{}
1st innings,Sri Lanka,8.4,DM de Silva,Zahoor Khan,1,{},{}
1st innings,Sri Lanka,8.5,P Nissanka,Zahoor Khan,0,{},{}
1st innings,Sri Lanka,8.6,P Nissanka,Zahoor Khan,0,{},{}
1st innings,Sri Lanka,9.1,DM de Silva,Basil Hameed,1,{},{}
1st innings,Sri Lanka,9.2,P Nissanka,Basil Hameed,1,{},{}
1st innings,Sri Lanka,9.3,DM de Silva,Basil Hameed,6,{},{}
1st innings,Sri Lanka,9.4,DM de Silva,Basil Hameed,4,{},{}
1st innings,Sri Lanka,9.5,DM de Silva,Basil Hameed,1,{},{}
1st innings,Sri Lanka,9.6,P Nissanka,Basil Hameed,0,{},{}
1st innings,Sri Lanka,10.1,DM de Silva,Aryan Lakra,1,{},{}
1st innings,Sri Lanka,10.2,P Nissanka,Aryan Lakra,1,{},{}
1st innings,Sri Lanka,10.3,DM de Silva,Aryan Lakra,4,{},{}
1st innings,Sri Lanka,10.4,DM de Silva,Aryan Lakra,1,{},{}
1st innings,Sri Lanka,10.5,P Nissanka,Aryan Lakra,0,{},{}
1st innings,Sri Lanka,10.6,P Nissanka,Aryan Lakra,1,{},{}
1st innings,Sri Lanka,11.1,P Nissanka,Aayan Afzal Khan,0,{},"{'player_out': 'DM de Silva', 'fielders': ['Waseem Muhammad', 'Aayan Afzal Khan'], 'kind': 'run out'}"
1st innings,Sri Lanka,11.2,P Nissanka,Aayan Afzal Khan,0,{},{}
1st innings,Sri Lanka,11.3,P Nissanka,Aayan Afzal Khan,0,{},{}
1st innings,Sri Lanka,11.4,P Nissanka,Aayan Afzal Khan,1,{},{}
1st innings,Sri Lanka,11.5,PBB Rajapaksa,Aayan Afzal Khan,1,{},{}
1st innings,Sri Lanka,11.6,P Nissanka,Aayan Afzal Khan,1,{},{}
1st innings,Sri Lanka,12.1,P Nissanka,KP Meiyappan,0,{},{}
1st innings,Sri Lanka,12.2,P Nissanka,KP Meiyappan,0,{},{}
1st innings,Sri Lanka,12.3,P Nissanka,KP Meiyappan,1,{},{}
1st innings,Sri Lanka,12.4,PBB Rajapaksa,KP Meiyappan,2,{},{}
1st innings,Sri Lanka,12.5,PBB Rajapaksa,KP Meiyappan,0,{},{}
1st innings,Sri Lanka,12.6,PBB Rajapaksa,KP Meiyappan,1,{},{}
1st innings,Sri Lanka,13.1,PBB Rajapaksa,Junaid Siddique,1,{},{}
1st innings,Sri Lanka,13.2,P Nissanka,Junaid Siddique,5,{'wides': 5},{}
1st innings,Sri Lanka,13.3,P Nissanka,Junaid Siddique,4,{},{}
1st innings,Sri Lanka,13.4,P Nissanka,Junaid Siddique,4,{'legbyes': 4},{}
1st innings,Sri Lanka,13.5,P Nissanka,Junaid Siddique,0,{},{}
1st innings,Sri Lanka,13.6,P Nissanka,Junaid Siddique,1,{},{}
1st innings,Sri Lanka,13.7,PBB Rajapaksa,Junaid Siddique,0,{},{}
1st innings,Sri Lanka,14.1,P Nissanka,KP Meiyappan,2,{},{}
1st innings,Sri Lanka,14.2,P Nissanka,KP Meiyappan,1,{},{}
1st innings,Sri Lanka,14.3,PBB Rajapaksa,KP Meiyappan,0,{},{}
1st innings,Sri Lanka,14.4,PBB Rajapaksa,KP Meiyappan,0,{},"{'player_out': 'PBB Rajapaksa', 'fielders': ['Kashif Daud'], 'kind': 'caught'}"
1st innings,Sri Lanka,14.5,KIC Asalanka,KP Meiyappan,0,{},"{'player_out': 'KIC Asalanka', 'fielders': ['V Aravind'], 'kind': 'caught'}"
1st innings,Sri Lanka,14.6,MD Shanaka,KP Meiyappan,0,{},"{'player_out': 'MD Shanaka', 'kind': 'bowled'}"
1st innings,Sri Lanka,15.1,P Nissanka,Aayan Afzal Khan,1,{},{}
1st innings,Sri Lanka,15.2,PWH de Silva,Aayan Afzal Khan,2,{},{}
1st innings,Sri Lanka,15.3,PWH de Silva,Aayan Afzal Khan,0,{},{}
1st innings,Sri Lanka,15.4,PWH de Silva,Aayan Afzal Khan,0,{},"{'player_out': 'PWH de Silva', 'fielders': ['Basil Hameed'], 'kind': 'caught'}"
1st innings,Sri Lanka,15.5,C Karunaratne,Aayan Afzal Khan,0,{},{}
1st innings,Sri Lanka,15.6,C Karunaratne,Aayan Afzal Khan,1,{},{}
1st innings,Sri Lanka,16.1,C Karunaratne,KP Meiyappan,0,{},{}
1st innings,Sri Lanka,16.2,C Karunaratne,KP Meiyappan,0,{},{}
1st innings,Sri Lanka,16.3,C Karunaratne,KP Meiyappan,0,{},{}
1st innings,Sri Lanka,16.4,C Karunaratne,KP Meiyappan,1,{},{}
1st innings,Sri Lanka,16.5,P Nissanka,KP Meiyappan,1,{},{}
1st innings,Sri Lanka,16.6,C Karunaratne,KP Meiyappan,0,{},{}
1st innings,Sri Lanka,17.1,P Nissanka,Zahoor Khan,4,{},{}
1st innings,Sri Lanka,17.2,P Nissanka,Zahoor Khan,0,{},{}
1st innings,Sri Lanka,17.3,P Nissanka,Zahoor Khan,2,{},{}
1st innings,Sri Lanka,17.4,P Nissanka,Zahoor Khan,0,{},{}
1st innings,Sri Lanka,17.5,P Nissanka,Zahoor Khan,1,{},{}
1st innings,Sri Lanka,17.6,C Karunaratne,Zahoor Khan,4,{},{}
1st innings,Sri Lanka,18.1,P Nissanka,Junaid Siddique,2,{},{}
1st innings,Sri Lanka,18.2,P Nissanka,Junaid Siddique,6,{},{}
1st innings,Sri Lanka,18.3,P Nissanka,Junaid Siddique,4,{},{}
1st innings,Sri Lanka,18.4,P Nissanka,Junaid Siddique,1,{},{}
1st innings,Sri Lanka,18.5,C Karunaratne,Junaid Siddique,2,{},{}
1st innings,Sri Lanka,18.6,C Karunaratne,Junaid Siddique,0,{},{}
1st innings,Sri Lanka,19.1,P Nissanka,Zahoor Khan,0,{},{}
1st innings,Sri Lanka,19.2,P Nissanka,Zahoor Khan,1,{},{}
1st innings,Sri Lanka,19.3,C Karunaratne,Zahoor Khan,0,{},"{'player_out': 'C Karunaratne', 'fielders': ['Kashif Daud'], 'kind': 'caught'}"
1st innings,Sri Lanka,19.4,PM Liyanagamage,Zahoor Khan,1,{},{}
1st innings,Sri Lanka,19.5,P Nissanka,Zahoor Khan,0,{},"{'player_out': 'P Nissanka', 'fielders': ['Basil Hameed'], 'kind': 'caught'}"
1st innings,Sri Lanka,19.6,PVD Chameera,Zahoor Khan,1,{},{}
2nd innings,United Arab Emirates,0.1,Waseem Muhammad,PM Liyanagamage,1,{},{}
2nd innings,United Arab Emirates,0.2,Chirag Suri,PM Liyanagamage,0,{},{}
2nd innings,United Arab Emirates,0.3,Chirag Suri,PM Liyanagamage,1,{'wides': 1},{}
2nd innings,United Arab Emirates,0.4,Chirag Suri,PM Liyanagamage,4,{},{}
2nd innings,United Arab Emirates,0.5,Chirag Suri,PM Liyanagamage,4,{},{}
