inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Scotland,0.1,HG Munsey,J Little,1,{},{}
1st innings,Scotland,0.2,MA Jones,J Little,0,{},{}
1st innings,Scotland,0.3,MA Jones,J Little,0,{},{}
1st innings,Scotland,0.4,MA Jones,J Little,0,{},{}
1st innings,Scotland,0.5,MA Jones,J Little,0,{},{}
1st innings,Scotland,0.6,MA Jones,J Little,0,{},{}
1st innings,Scotland,1.1,HG Munsey,MR Adair,0,{},"{'player_out': 'HG Munsey', 'kind': 'lbw'}"
1st innings,Scotland,1.2,MH Cross,MR Adair,0,{},{}
1st innings,Scotland,1.3,MH Cross,MR Adair,1,{},{}
1st innings,Scotland,1.4,MA Jones,MR Adair,0,{},{}
1st innings,Scotland,1.5,MA Jones,MR Adair,0,{},{}
1st innings,Scotland,1.6,MA Jones,MR Adair,1,{},{}
1st innings,Scotland,2.1,MA Jones,BJ McCarthy,1,{},{}
1st innings,Scotland,2.2,MH Cross,BJ McCarthy,4,{},{}
1st innings,Scotland,2.3,MH Cross,BJ McCarthy,0,{},{}
1st innings,Scotland,2.4,MH Cross,BJ McCarthy,4,{},{}
1st innings,Scotland,2.5,MH Cross,BJ McCarthy,4,{},{}
1st innings,Scotland,2.6,MH Cross,BJ McCarthy,0,{},{}
1st innings,Scotland,3.1,MA Jones,J Little,0,{},{}
1st innings,Scotland,3.2,MA Jones,J Little,4,{},{}
1st innings,Scotland,3.3,MA Jones,J Little,2,{},{}
1st innings,Scotland,3.4,MA Jones,J Little,1,{},{}
1st innings,Scotland,3.5,MH Cross,J Little,1,{},{}
1st innings,Scotland,3.6,MA Jones,J Little,1,{},{}
1st innings,Scotland,4.1,MA Jones,MR Adair,1,{},{}
1st innings,Scotland,4.2,MH Cross,MR Adair,0,{},{}
1st innings,Scotland,4.3,MH Cross,MR Adair,2,{},{}
1st innings,Scotland,4.4,MH Cross,MR Adair,0,{},{}
1st innings,Scotland,4.5,MH Cross,MR Adair,0,{},{}
1st innings,Scotland,4.6,MH Cross,MR Adair,4,{},{}
1st innings,Scotland,5.1,MA Jones,GJ Delany,0,{},{}
1st innings,Scotland,5.2,MA Jones,GJ Delany,4,{},{}
1st innings,Scotland,5.3,MA Jones,GJ Delany,1,{},{}
1st innings,Scotland,5.4,MH Cross,GJ Delany,1,{},{}
1st innings,Scotland,5.5,MA Jones,GJ Delany,1,{},{}
1st innings,Scotland,5.6,MH Cross,GJ Delany,0,{},{}
1st innings,Scotland,6.1,MA Jones,BJ McCarthy,1,{},{}
1st innings,Scotland,6.2,MH Cross,BJ McCarthy,1,{},{}
1st innings,Scotland,6.3,MA Jones,BJ McCarthy,6,{},{}
1st innings,Scotland,6.4,MA Jones,BJ McCarthy,1,{},{}
1st innings,Scotland,6.5,MH Cross,BJ McCarthy,4,{},{}
1st innings,Scotland,6.6,MH Cross,BJ McCarthy,0,{},{}
1st innings,Scotland,7.1,MA Jones,Simi Singh,1,{},{}
1st innings,Scotland,7.2,MH Cross,Simi Singh,1,{},{}
1st innings,Scotland,7.3,MA Jones,Simi Singh,0,{},{}
1st innings,Scotland,7.4,MA Jones,Simi Singh,4,{},{}
1st innings,Scotland,7.5,MA Jones,Simi Singh,1,{},{}
1st innings,Scotland,7.6,MH Cross,Simi Singh,1,{},{}
1st innings,Scotland,8.1,MH Cross,C Campher,0,{},"{'player_out': 'MH Cross', 'fielders': ['BJ McCarthy'], 'kind': 'caught'}"
1st innings,Scotland,8.2,RD Berrington,C Campher,0,{},{}
1st innings,Scotland,8.3,RD Berrington,C Campher,0,{},{}
1st innings,Scotland,8.4,RD Berrington,C Campher,4,{},{}
1st innings,Scotland,8.5,RD Berrington,C Campher,0,{},{}
1st innings,Scotland,8.6,RD Berrington,C Campher,0,{},{}
1st innings,Scotland,9.1,MA Jones,GH Dockrell,1,{},{}
1st innings,Scotland,9.2,RD Berrington,GH Dockrell,2,{},{}
1st innings,Scotland,9.3,RD Berrington,GH Dockrell,0,{},{}
1st innings,Scotland,9.4,RD Berrington,GH Dockrell,1,{},{}
1st innings,Scotland,9.5,MA Jones,GH Dockrell,4,{},{}
1st innings,Scotland,9.6,MA Jones,GH Dockrell,1,{},{}
1st innings,Scotland,10.1,MA Jones,J Little,2,{},{}
1st innings,Scotland,10.2,MA Jones,J Little,1,{},{}
1st innings,Scotland,10.3,RD Berrington,J Little,1,{},{}
1st innings,Scotland,10.4,MA Jones,J Little,6,{},{}
1st innings,Scotland,10.5,MA Jones,J Little,0,{},{}
1st innings,Scotland,10.6,MA Jones,J Little,1,{'wides': 1},{}
1st innings,Scotland,10.7,MA Jones,J Little,0,{},{}
1st innings,Scotland,11.1,RD Berrington,GJ Delany,2,{},{}
1st innings,Scotland,11.2,RD Berrington,GJ Delany,0,{},{}
1st innings,Scotland,11.3,RD Berrington,GJ Delany,1,{},{}
1st innings,Scotland,11.4,MA Jones,GJ Delany,1,{},{}
1st innings,Scotland,11.5,RD Berrington,GJ Delany,1,{},{}
1st innings,Scotland,11.6,MA Jones,GJ Delany,1,{},{}
1st innings,Scotland,12.1,MA Jones,BJ McCarthy,1,{},{}
1st innings,Scotland,12.2,RD Berrington,BJ McCarthy,0,{},{}
1st innings,Scotland,12.3,RD Berrington,BJ McCarthy,2,{},{}
1st innings,Scotland,12.4,RD Berrington,BJ McCarthy,4,{},{}
1st innings,Scotland,12.5,RD Berrington,BJ McCarthy,6,{},{}
1st innings,Scotland,12.6,RD Berrington,BJ McCarthy,1,{},{}
1st innings,Scotland,13.1,RD Berrington,Simi Singh,4,{},{}
1st innings,Scotland,13.2,RD Berrington,Simi Singh,1,{},{}
1st innings,Scotland,13.3,MA Jones,Simi Singh,1,{},{}
1st innings,Scotland,13.4,RD Berrington,Simi Singh,1,{},{}
1st innings,Scotland,13.5,MA Jones,Simi Singh,0,{},{}
1st innings,Scotland,13.6,MA Jones,Simi Singh,1,{},{}
1st innings,Scotland,14.1,MA Jones,MR Adair,2,{},{}
1st innings,Scotland,14.2,MA Jones,MR Adair,1,{},{}
1st innings,Scotland,14.3,RD Berrington,MR Adair,1,{},{}
1st innings,Scotland,14.4,MA Jones,MR Adair,1,{'wides': 1},{}
1st innings,Scotland,14.5,MA Jones,MR Adair,1,{'wides': 1},{}
