inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,West Indies,0.1,KR Mayers,R Ngarava,0,{},{}
1st innings,West Indies,0.2,KR Mayers,R Ngarava,0,{},{}
1st innings,West Indies,0.3,KR Mayers,R Ngarava,1,{},{}
1st innings,West Indies,0.4,J Charles,R Ngarava,4,{'legbyes': 4},{}
1st innings,West Indies,0.5,J Charles,R Ngarava,0,{},{}
1st innings,West Indies,0.6,J Charles,R Ngarava,0,{},{}
1st innings,West Indies,1.1,KR Mayers,TL Chatara,0,{},{}
1st innings,West Indies,1.2,KR Mayers,TL Chatara,4,{},{}
1st innings,West Indies,1.3,KR Mayers,TL Chatara,1,{'wides': 1},{}
1st innings,West Indies,1.4,KR Mayers,TL Chatara,1,{},{}
1st innings,West Indies,1.5,J Charles,TL Chatara,1,{},{}
1st innings,West Indies,1.6,KR Mayers,TL Chatara,1,{},{}
1st innings,West Indies,1.7,J Charles,TL Chatara,1,{'wides': 1},{}
1st innings,West Indies,1.8,J Charles,TL Chatara,0,{},{}
1st innings,West Indies,2.1,KR Mayers,R Ngarava,1,{},{}
1st innings,West Indies,2.2,J Charles,R Ngarava,0,{},{}
1st innings,West Indies,2.3,J Charles,R Ngarava,1,{'wides': 1},{}
1st innings,West Indies,2.4,J Charles,R Ngarava,0,{},{}
1st innings,West Indies,2.5,J Charles,R Ngarava,6,{},{}
1st innings,West Indies,2.6,J Charles,R Ngarava,1,{'legbyes': 1},{}
1st innings,West Indies,2.7,KR Mayers,R Ngarava,1,{},{}
1st innings,West Indies,3.1,KR Mayers,B Muzarabani,0,{},{}
1st innings,West Indies,3.2,KR Mayers,B Muzarabani,4,{},{}
1st innings,West Indies,3.3,KR Mayers,B Muzarabani,0,{},"{'player_out': 'KR Mayers', 'fielders': ['RW Chakabva'], 'kind': 'caught'}"
1st innings,West Indies,3.4,E Lewis,B Muzarabani,1,{},{}
1st innings,West Indies,3.5,J Charles,B Muzarabani,1,{},{}
1st innings,West Indies,3.6,E Lewis,B Muzarabani,0,{},{}
1st innings,West Indies,4.1,J Charles,TL Chatara,1,{},{}
1st innings,West Indies,4.2,E Lewis,TL Chatara,0,{},{}
1st innings,West Indies,4.3,E Lewis,TL Chatara,4,{},{}
1st innings,West Indies,4.4,E Lewis,TL Chatara,1,{},{}
1st innings,West Indies,4.5,J Charles,TL Chatara,1,{'legbyes': 1},{}
1st innings,West Indies,4.6,E Lewis,TL Chatara,1,{},{}
1st innings,West Indies,5.1,E Lewis,B Muzarabani,0,{},{}
1st innings,West Indies,5.2,E Lewis,B Muzarabani,1,{'wides': 1},{}
1st innings,West Indies,5.3,E Lewis,B Muzarabani,1,{},{}
1st innings,West Indies,5.4,J Charles,B Muzarabani,4,{},{}
1st innings,West Indies,5.5,J Charles,B Muzarabani,2,{},{}
1st innings,West Indies,5.6,J Charles,B Muzarabani,3,{},{}
1st innings,West Indies,5.7,E Lewis,B Muzarabani,0,{},{}
1st innings,West Indies,6.1,J Charles,RP Burl,1,{},{}
1st innings,West Indies,6.2,E Lewis,RP Burl,1,{},{}
1st innings,West Indies,6.3,J Charles,RP Burl,0,{},{}
1st innings,West Indies,6.4,J Charles,RP Burl,1,{},{}
1st innings,West Indies,6.5,E Lewis,RP Burl,1,{},{}
1st innings,West Indies,6.6,J Charles,RP Burl,0,{},{}
1st innings,West Indies,7.1,E Lewis,Sikandar Raza,1,{},{}
