inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,United Arab Emirates,0.1,Waseem Muhammad,R Trumpelmann,0,{},{}
1st innings,United Arab Emirates,0.2,Waseem Muhammad,R Trumpelmann,1,{},{}
1st innings,United Arab Emirates,0.3,V Aravind,R Trumpelmann,0,{},{}
1st innings,United Arab Emirates,0.4,V Aravind,R Trumpelmann,1,{'wides': 1},{}
1st innings,United Arab Emirates,0.5,V Aravind,R Trumpelmann,0,{},{}
1st innings,United Arab Emirates,0.6,V Aravind,R Trumpelmann,1,{'wides': 1},{}
1st innings,United Arab Emirates,0.7,V Aravind,R Trumpelmann,2,{},{}
1st innings,United Arab Emirates,0.8,V Aravind,R Trumpelmann,1,{},{}
1st innings,United Arab Emirates,1.1,V Aravind,D Wiese,1,{},{}
1st innings,United Arab Emirates,1.2,Waseem Muhammad,D Wiese,1,{},{}
1st innings,United Arab Emirates,1.3,V Aravind,D Wiese,0,{},{}
1st innings,United Arab Emirates,1.4,V Aravind,D Wiese,2,{},{}
1st innings,United Arab Emirates,1.5,V Aravind,D Wiese,1,{'wides': 1},{}
1st innings,United Arab Emirates,1.6,V Aravind,D Wiese,0,{},{}
1st innings,United Arab Emirates,1.7,V Aravind,D Wiese,0,{},{}
1st innings,United Arab Emirates,2.1,Waseem Muhammad,BM Scholtz,1,{},{}
1st innings,United Arab Emirates,2.2,V Aravind,BM Scholtz,1,{},{}
1st innings,United Arab Emirates,2.3,Waseem Muhammad,BM Scholtz,0,{},{}
1st innings,United Arab Emirates,2.4,Waseem Muhammad,BM Scholtz,6,{},{}
1st innings,United Arab Emirates,2.5,Waseem Muhammad,BM Scholtz,0,{},{}
1st innings,United Arab Emirates,2.6,Waseem Muhammad,BM Scholtz,0,{},{}
1st innings,United Arab Emirates,3.1,V Aravind,JJ Smit,0,{},{}
1st innings,United Arab Emirates,3.2,V Aravind,JJ Smit,0,{},{}
1st innings,United Arab Emirates,3.3,V Aravind,JJ Smit,0,{},{}
1st innings,United Arab Emirates,3.4,V Aravind,JJ Smit,4,{},{}
1st innings,United Arab Emirates,3.5,V Aravind,JJ Smit,0,{},{}
1st innings,United Arab Emirates,3.6,V Aravind,JJ Smit,1,{},{}
1st innings,United Arab Emirates,4.1,V Aravind,D Wiese,0,{},{}
1st innings,United Arab Emirates,4.2,V Aravind,D Wiese,0,{},{}
1st innings,United Arab Emirates,4.3,V Aravind,D Wiese,0,{},{}
1st innings,United Arab Emirates,4.4,V Aravind,D Wiese,0,{},{}
1st innings,United Arab Emirates,4.5,V Aravind,D Wiese,1,{},{}
1st innings,United Arab Emirates,4.6,Waseem Muhammad,D Wiese,0,{},{}
1st innings,United Arab Emirates,5.1,V Aravind,R Trumpelmann,0,{},{}
1st innings,United Arab Emirates,5.2,V Aravind,R Trumpelmann,1,{},{}
1st innings,United Arab Emirates,5.3,Waseem Muhammad,R Trumpelmann,0,{},{}
1st innings,United Arab Emirates,5.4,Waseem Muhammad,R Trumpelmann,1,{'wides': 1},{}
1st innings,United Arab Emirates,5.5,Waseem Muhammad,R Trumpelmann,2,{},{}
1st innings,United Arab Emirates,5.6,Waseem Muhammad,R Trumpelmann,0,{},{}
1st innings,United Arab Emirates,5.7,Waseem Muhammad,R Trumpelmann,1,{},{}
1st innings,United Arab Emirates,6.1,Waseem Muhammad,BM Scholtz,0,{},{}
1st innings,United Arab Emirates,6.2,Waseem Muhammad,BM Scholtz,1,{},{}
1st innings,United Arab Emirates,6.3,V Aravind,BM Scholtz,0,{},{}
1st innings,United Arab Emirates,6.4,V Aravind,BM Scholtz,0,{},{}
1st innings,United Arab Emirates,6.5,V Aravind,BM Scholtz,4,{},{}
1st innings,United Arab Emirates,6.6,V Aravind,BM Scholtz,1,{},{}
1st innings,United Arab Emirates,7.1,V Aravind,JN Frylinck,1,{},{}
1st innings,United Arab Emirates,7.2,Waseem Muhammad,JN Frylinck,0,{},{}
1st innings,United Arab Emirates,7.3,Waseem Muhammad,JN Frylinck,1,{},{}
1st innings,United Arab Emirates,7.4,V Aravind,JN Frylinck,0,{},{}
1st innings,United Arab Emirates,7.5,V Aravind,JN Frylinck,0,{},{}
1st innings,United Arab Emirates,7.6,V Aravind,JN Frylinck,1,{},{}
1st innings,United Arab Emirates,8.1,V Aravind,BM Scholtz,0,{},"{'player_out': 'V Aravind', 'fielders': ['M van Lingen'], 'kind': 'caught'}"
1st innings,United Arab Emirates,8.2,CP Rizwan,BM Scholtz,1,{},{}
1st innings,United Arab Emirates,8.3,Waseem Muhammad,BM Scholtz,1,{},{}
1st innings,United Arab Emirates,8.4,CP Rizwan,BM Scholtz,0,{},{}
1st innings,United Arab Emirates,8.5,CP Rizwan,BM Scholtz,1,{},{}
1st innings,United Arab Emirates,8.6,Waseem Muhammad,BM Scholtz,1,{},{}
1st innings,United Arab Emirates,9.1,Waseem Muhammad,JN Frylinck,4,{},{}
1st innings,United Arab Emirates,9.2,Waseem Muhammad,JN Frylinck,1,{},{}
1st innings,United Arab Emirates,9.3,CP Rizwan,JN Frylinck,1,{},{}
