inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Scotland,0.1,HG Munsey,TL Chatara,1,{},{}
1st innings,Scotland,0.2,MA Jones,TL Chatara,0,{},{}
1st innings,Scotland,0.3,MA Jones,TL Chatara,0,{},{}
1st innings,Scotland,0.4,MA Jones,TL Chatara,4,{},{}
1st innings,Scotland,0.5,MA Jones,TL Chatara,0,{},{}
1st innings,Scotland,0.6,MA Jones,TL Chatara,0,{},"{'player_out': 'MA Jones', 'fielders': ['Sikandar Raza'], 'kind': 'caught'}"
1st innings,Scotland,1.1,HG Munsey,R Ngarava,0,{},{}
1st innings,Scotland,1.2,HG Munsey,R Ngarava,4,{},{}
1st innings,Scotland,1.3,HG Munsey,R Ngarava,1,{},{}
1st innings,Scotland,1.4,MH Cross,R Ngarava,0,{},{}
1st innings,Scotland,1.5,MH Cross,R Ngarava,1,{},{}
1st innings,Scotland,1.6,HG Munsey,R Ngarava,0,{},{}
1st innings,Scotland,2.1,MH Cross,TL Chatara,0,{},{}
1st innings,Scotland,2.2,MH Cross,TL Chatara,0,{},{}
1st innings,Scotland,2.3,MH Cross,TL Chatara,0,{},{}
1st innings,Scotland,2.4,MH Cross,TL Chatara,1,{'legbyes': 1},{}
1st innings,Scotland,2.5,HG Munsey,TL Chatara,0,{},{}
1st innings,Scotland,2.6,HG Munsey,TL Chatara,1,{'legbyes': 1},{}
1st innings,Scotland,3.1,HG Munsey,B Muzarabani,0,{},{}
1st innings,Scotland,3.2,HG Munsey,B Muzarabani,1,{'noballs': 1},{}
1st innings,Scotland,3.3,HG Munsey,B Muzarabani,2,{},{}
1st innings,Scotland,3.4,HG Munsey,B Muzarabani,4,{},{}
1st innings,Scotland,3.5,HG Munsey,B Muzarabani,0,{},{}
1st innings,Scotland,3.6,HG Munsey,B Muzarabani,4,{},{}
1st innings,Scotland,3.7,HG Munsey,B Muzarabani,0,{},{}
1st innings,Scotland,4.1,MH Cross,R Ngarava,0,{},"{'player_out': 'MH Cross', 'fielders': ['W Madhevere'], 'kind': 'caught'}"
1st innings,Scotland,4.2,RD Berrington,R Ngarava,1,{},{}
1st innings,Scotland,4.3,HG Munsey,R Ngarava,0,{},{}
1st innings,Scotland,4.4,HG Munsey,R Ngarava,2,{'legbyes': 2},{}
1st innings,Scotland,4.5,HG Munsey,R Ngarava,4,{},{}
1st innings,Scotland,4.6,HG Munsey,R Ngarava,1,{'wides': 1},{}
1st innings,Scotland,4.7,HG Munsey,R Ngarava,4,{},{}
1st innings,Scotland,5.1,RD Berrington,B Muzarabani,0,{},{}
1st innings,Scotland,5.2,RD Berrington,B Muzarabani,1,{},{}
1st innings,Scotland,5.3,HG Munsey,B Muzarabani,0,{},{}
1st innings,Scotland,5.4,HG Munsey,B Muzarabani,1,{},{}
1st innings,Scotland,5.5,RD Berrington,B Muzarabani,1,{},{}
1st innings,Scotland,5.6,HG Munsey,B Muzarabani,4,{},{}
1st innings,Scotland,6.1,RD Berrington,SC Williams,1,{},{}
1st innings,Scotland,6.2,HG Munsey,SC Williams,4,{},{}
1st innings,Scotland,6.3,HG Munsey,SC Williams,0,{},{}
1st innings,Scotland,6.4,HG Munsey,SC Williams,1,{},{}
1st innings,Scotland,6.5,RD Berrington,SC Williams,0,{},{}
1st innings,Scotland,6.6,RD Berrington,SC Williams,1,{},{}
1st innings,Scotland,7.1,RD Berrington,Sikandar Raza,3,{},{}
1st innings,Scotland,7.2,HG Munsey,Sikandar Raza,1,{},{}
1st innings,Scotland,7.3,RD Berrington,Sikandar Raza,0,{},{}
1st innings,Scotland,7.4,RD Berrington,Sikandar Raza,1,{},{}
1st innings,Scotland,7.5,HG Munsey,Sikandar Raza,0,{},{}
1st innings,Scotland,7.6,HG Munsey,Sikandar Raza,1,{'wides': 1},{}
1st innings,Scotland,7.7,HG Munsey,Sikandar Raza,0,{},{}
1st innings,Scotland,8.1,RD Berrington,SC Williams,1,{},{}
1st innings,Scotland,8.2,HG Munsey,SC Williams,1,{},{}
1st innings,Scotland,8.3,RD Berrington,SC Williams,0,{},{}
1st innings,Scotland,8.4,RD Berrington,SC Williams,1,{},{}
1st innings,Scotland,8.5,HG Munsey,SC Williams,1,{},{}
1st innings,Scotland,8.6,RD Berrington,SC Williams,2,{},{}
1st innings,Scotland,9.1,HG Munsey,Sikandar Raza,0,{},{}
1st innings,Scotland,9.2,HG Munsey,Sikandar Raza,1,{'wides': 1},{}
1st innings,Scotland,9.3,HG Munsey,Sikandar Raza,1,{},{}
1st innings,Scotland,9.4,RD Berrington,Sikandar Raza,0,{},"{'player_out': 'RD Berrington', 'fielders': ['M Shumba'], 'kind': 'caught'}"
