inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,West Indies,0.1,KR Mayers,J Little,1,{},{}
1st innings,West Indies,0.2,J Charles,J Little,0,{},{}
1st innings,West Indies,0.3,J Charles,J Little,0,{},{}
1st innings,West Indies,0.4,J Charles,J Little,4,{},{}
1st innings,West Indies,0.5,J Charles,J Little,1,{},{}
1st innings,West Indies,0.6,KR Mayers,J Little,0,{},{}
1st innings,West Indies,1.1,J Charles,MR Adair,2,{},{}
1st innings,West Indies,1.2,J Charles,MR Adair,0,{},{}
1st innings,West Indies,1.3,J Charles,MR Adair,0,{},{}
1st innings,West Indies,1.4,J Charles,MR Adair,1,{},{}
1st innings,West Indies,1.5,KR Mayers,MR Adair,0,{},{}
1st innings,West Indies,1.6,KR Mayers,MR Adair,0,{},{}
1st innings,West Indies,2.1,J Charles,BJ McCarthy,0,{},{}
1st innings,West Indies,2.2,J Charles,BJ McCarthy,0,{},{}
1st innings,West Indies,2.3,J Charles,BJ McCarthy,1,{},{}
1st innings,West Indies,2.4,KR Mayers,BJ McCarthy,0,{},"{'player_out': 'KR Mayers', 'fielders': ['HT Tector'], 'kind': 'caught'}"
1st innings,West Indies,2.5,E Lewis,BJ McCarthy,0,{},{}
1st innings,West Indies,2.6,E Lewis,BJ McCarthy,1,{},{}
1st innings,West Indies,3.1,E Lewis,C Campher,1,{},{}
1st innings,West Indies,3.2,J Charles,C Campher,0,{},{}
1st innings,West Indies,3.3,J Charles,C Campher,4,{},{}
1st innings,West Indies,3.4,J Charles,C Campher,4,{},{}
1st innings,West Indies,3.5,J Charles,C Campher,6,{},{}
1st innings,West Indies,3.6,J Charles,C Campher,1,{},{}
1st innings,West Indies,4.1,J Charles,Simi Singh,0,{},{}
1st innings,West Indies,4.2,J Charles,Simi Singh,0,{},"{'player_out': 'J Charles', 'fielders': ['C Campher'], 'kind': 'caught'}"
1st innings,West Indies,4.3,BA King,Simi Singh,4,{},{}
1st innings,West Indies,4.4,BA King,Simi Singh,0,{},{}
1st innings,West Indies,4.5,BA King,Simi Singh,0,{},{}
1st innings,West Indies,4.6,BA King,Simi Singh,1,{},{}
1st innings,West Indies,5.1,BA King,BJ McCarthy,1,{},{}
1st innings,West Indies,5.2,E Lewis,BJ McCarthy,1,{},{}
1st innings,West Indies,5.3,BA King,BJ McCarthy,1,{},{}
1st innings,West Indies,5.4,E Lewis,BJ McCarthy,1,{},{}
1st innings,West Indies,5.5,BA King,BJ McCarthy,4,{},{}
1st innings,West Indies,5.6,BA King,BJ McCarthy,1,{},{}
1st innings,West Indies,6.1,BA King,GJ Delany,1,{},{}
1st innings,West Indies,6.2,E Lewis,GJ Delany,1,{},{}
1st innings,West Indies,6.3,BA King,GJ Delany,1,{},{}
1st innings,West Indies,6.4,E Lewis,GJ Delany,1,{},{}
1st innings,West Indies,6.5,BA King,GJ Delany,0,{},{}
1st innings,West Indies,6.6,BA King,GJ Delany,1,{},{}
1st innings,West Indies,7.1,BA King,C Campher,0,{},{}
1st innings,West Indies,7.2,BA King,C Campher,4,{},{}
1st innings,West Indies,7.3,BA King,C Campher,1,{},{}
1st innings,West Indies,7.4,E Lewis,C Campher,1,{},{}
1st innings,West Indies,7.5,BA King,C Campher,4,{},{}
1st innings,West Indies,7.6,BA King,C Campher,2,{},{}
1st innings,West Indies,8.1,E Lewis,J Little,1,{},{}
1st innings,West Indies,8.2,BA King,J Little,1,{},{}
1st innings,West Indies,8.3,E Lewis,J Little,2,{},{}
1st innings,West Indies,8.4,E Lewis,J Little,1,{},{}
1st innings,West Indies,8.5,BA King,J Little,1,{},{}
1st innings,West Indies,8.6,E Lewis,J Little,0,{},{}
1st innings,West Indies,9.1,BA King,MR Adair,1,{},{}
1st innings,West Indies,9.2,E Lewis,MR Adair,0,{},{}
1st innings,West Indies,9.3,E Lewis,MR Adair,0,{},{}
1st innings,West Indies,9.4,E Lewis,MR Adair,1,{},{}
1st innings,West Indies,9.5,BA King,MR Adair,1,{},{}
1st innings,West Indies,9.6,E Lewis,MR Adair,0,{},{}
1st innings,West Indies,10.1,BA King,GJ Delany,0,{},{}
1st innings,West Indies,10.2,BA King,GJ Delany,1,{},{}
1st innings,West Indies,10.3,E Lewis,GJ Delany,1,{},{}
1st innings,West Indies,10.4,BA King,GJ Delany,1,{},{}
1st innings,West Indies,10.5,E Lewis,GJ Delany,1,{'wides': 1},{}
1st innings,West Indies,10.6,E Lewis,GJ Delany,0,{},"{'player_out': 'E Lewis', 'fielders': ['MR Adair'], 'kind': 'caught'}"
1st innings,West Indies,10.7,N Pooran,GJ Delany,0,{},{}
1st innings,West Indies,11.1,BA King,BJ McCarthy,2,{},{}
1st innings,West Indies,11.2,BA King,BJ McCarthy,4,{},{}
1st innings,West Indies,11.3,BA King,BJ McCarthy,4,{},{}
1st innings,West Indies,11.4,BA King,BJ McCarthy,1,{'legbyes': 1},{}
1st innings,West Indies,11.5,N Pooran,BJ McCarthy,0,{},{}
1st innings,West Indies,11.6,N Pooran,BJ McCarthy,2,{},{}
1st innings,West Indies,12.1,BA King,Simi Singh,1,{},{}
1st innings,West Indies,12.2,N Pooran,Simi Singh,1,{},{}
1st innings,West Indies,12.3,BA King,Simi Singh,1,{},{}
1st innings,West Indies,12.4,N Pooran,Simi Singh,1,{},{}
1st innings,West Indies,12.5,BA King,Simi Singh,1,{},{}
1st innings,West Indies,12.6,N Pooran,Simi Singh,1,{},{}
1st innings,West Indies,13.1,N Pooran,J Little,1,{},{}
1st innings,West Indies,13.2,BA King,J Little,1,{},{}
1st innings,West Indies,13.3,N Pooran,J Little,6,{},{}
1st innings,West Indies,13.4,N Pooran,J Little,0,{},{}
1st innings,West Indies,13.5,N Pooran,J Little,1,{},{}
1st innings,West Indies,13.6,BA King,J Little,0,{},{}
1st innings,West Indies,14.1,N Pooran,GJ Delany,0,{},"{'player_out': 'N Pooran', 'fielders': ['HT Tector'], 'kind': 'caught'}"
1st innings,West Indies,14.2,R Powell,GJ Delany,1,{},{}
1st innings,West Indies,14.3,BA King,GJ Delany,0,{},{}
1st innings,West Indies,14.4,BA King,GJ Delany,1,{},{}
1st innings,West Indies,14.5,R Powell,GJ Delany,0,{},{}
1st innings,West Indies,14.6,R Powell,GJ Delany,4,{},{}
1st innings,West Indies,15.1,BA King,MR Adair,1,{},{}
1st innings,West Indies,15.2,R Powell,MR Adair,1,{'wides': 1},{}
1st innings,West Indies,15.3,R Powell,MR Adair,1,{},{}
1st innings,West Indies,15.4,BA King,MR Adair,1,{'wides': 1},{}
1st innings,West Indies,15.5,BA King,MR Adair,0,{},{}
1st innings,West Indies,15.6,BA King,MR Adair,1,{},{}
1st innings,West Indies,15.7,R Powell,MR Adair,0,{},{}
1st innings,West Indies,15.8,R Powell,MR Adair,1,{'wides': 1},{}
1st innings,West Indies,15.9,R Powell,MR Adair,0,{},{}
1st innings,West Indies,16.1,BA King,GJ Delany,1,{},{}
1st innings,West Indies,16.2,R Powell,GJ Delany,0,{},{}
1st innings,West Indies,16.3,R Powell,GJ Delany,0,{},"{'player_out': 'R Powell', 'fielders': ['HT Tector'], 'kind': 'caught'}"
1st innings,West Indies,16.4,OF Smith,GJ Delany,0,{},{}
1st innings,West Indies,16.5,OF Smith,GJ Delany,0,{},{}
1st innings,West Indies,16.6,OF Smith,GJ Delany,0,{},{}
1st innings,West Indies,17.1,BA King,J Little,1,{},{}
1st innings,West Indies,17.2,OF Smith,J Little,0,{},{}
1st innings,West Indies,17.3,OF Smith,J Little,1,{'wides': 1},{}
1st innings,West Indies,17.4,OF Smith,J Little,0,{},{}
1st innings,West Indies,17.5,OF Smith,J Little,1,{},{}
1st innings,West Indies,17.6,BA King,J Little,1,{},{}
1st innings,West Indies,17.7,OF Smith,J Little,6,{},{}
1st innings,West Indies,18.1,BA King,BJ McCarthy,2,{},{}
1st innings,West Indies,18.2,BA King,BJ McCarthy,0,{},{}
1st innings,West Indies,18.3,BA King,BJ McCarthy,6,{},{}
1st innings,West Indies,18.4,BA King,BJ McCarthy,0,{},{}
1st innings,West Indies,18.5,BA King,BJ McCarthy,0,{},{}
1st innings,West Indies,18.6,BA King,BJ McCarthy,1,{'wides': 1},{}
1st innings,West Indies,18.7,BA King,BJ McCarthy,1,{},{}
1st innings,West Indies,19.1,BA King,MR Adair,1,{},{}
1st innings,West Indies,19.2,OF Smith,MR Adair,6,{},{}
1st innings,West Indies,19.3,OF Smith,MR Adair,0,{},{}
1st innings,West Indies,19.4,OF Smith,MR Adair,1,{'wides': 1},{}
1st innings,West Indies,19.5,OF Smith,MR Adair,2,{},{}
1st innings,West Indies,19.6,OF Smith,MR Adair,4,{},{}
1st innings,West Indies,19.7,OF Smith,MR Adair,0,{},{}
2nd innings,Ireland,0.1,PR Stirling,OC McCoy,0,{},{}
2nd innings,Ireland,0.2,PR Stirling,OC McCoy,0,{},{}
2nd innings,Ireland,0.3,PR Stirling,OC McCoy,4,{},{}
2nd innings,Ireland,0.4,PR Stirling,OC McCoy,1,{},{}
2nd innings,Ireland,0.5,A Balbirnie,OC McCoy,0,{},{}
2nd innings,Ireland,0.6,A Balbirnie,OC McCoy,0,{},{}
2nd innings,Ireland,1.1,PR Stirling,AJ Hosein,2,{},{}
2nd innings,Ireland,1.2,PR Stirling,AJ Hosein,2,{},{}
2nd innings,Ireland,1.3,PR Stirling,AJ Hosein,1,{},{}
2nd innings,Ireland,1.4,A Balbirnie,AJ Hosein,6,{},{}
2nd innings,Ireland,1.5,A Balbirnie,AJ Hosein,1,{},{}
2nd innings,Ireland,1.6,PR Stirling,AJ Hosein,4,{},{}
2nd innings,Ireland,2.1,A Balbirnie,AS Joseph,1,{},{}
2nd innings,Ireland,2.2,PR Stirling,AS Joseph,0,{},{}
2nd innings,Ireland,2.3,PR Stirling,AS Joseph,0,{},{}
2nd innings,Ireland,2.4,PR Stirling,AS Joseph,1,{'wides': 1},{}
2nd innings,Ireland,2.5,PR Stirling,AS Joseph,0,{},{}
2nd innings,Ireland,2.6,PR Stirling,AS Joseph,6,{},{}
2nd innings,Ireland,2.7,PR Stirling,AS Joseph,2,{},{}
2nd innings,Ireland,3.1,A Balbirnie,OF Smith,4,{},{}
2nd innings,Ireland,3.2,A Balbirnie,OF Smith,6,{},{}
2nd innings,Ireland,3.3,A Balbirnie,OF Smith,4,{},{}
2nd innings,Ireland,3.4,A Balbirnie,OF Smith,0,{},{}
2nd innings,Ireland,3.5,A Balbirnie,OF Smith,0,{},{}
2nd innings,Ireland,3.6,A Balbirnie,OF Smith,0,{},{}
2nd innings,Ireland,4.1,PR Stirling,OC McCoy,1,{},{}
2nd innings,Ireland,4.2,A Balbirnie,OC McCoy,6,{},{}
2nd innings,Ireland,4.3,A Balbirnie,OC McCoy,0,{},{}
2nd innings,Ireland,4.4,A Balbirnie,OC McCoy,2,{},{}
2nd innings,Ireland,4.5,A Balbirnie,OC McCoy,0,{},{}
2nd innings,Ireland,4.6,A Balbirnie,OC McCoy,0,{},{}
2nd innings,Ireland,5.1,PR Stirling,AS Joseph,0,{},{}
