inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Ireland,0.1,PR Stirling,B Fernando,1,{},{}
1st innings,Ireland,0.2,A Balbirnie,B Fernando,0,{},{}
1st innings,Ireland,0.3,A Balbirnie,B Fernando,0,{},{}
1st innings,Ireland,0.4,A Balbirnie,B Fernando,0,{},{}
1st innings,Ireland,0.5,A Balbirnie,B Fernando,1,{},{}
1st innings,Ireland,0.6,PR Stirling,B Fernando,0,{},{}
1st innings,Ireland,1.1,A Balbirnie,CBRLS Kumara,0,{},"{'player_out': 'A Balbirnie', 'kind': 'bowled'}"
1st innings,Ireland,1.2,L Tucker,CBRLS Kumara,0,{},{}
1st innings,Ireland,1.3,L Tucker,CBRLS Kumara,4,{},{}
1st innings,Ireland,1.4,L Tucker,CBRLS Kumara,0,{},{}
1st innings,Ireland,1.5,L Tucker,CBRLS Kumara,1,{},{}
1st innings,Ireland,1.6,PR Stirling,CBRLS Kumara,1,{},{}
1st innings,Ireland,2.1,PR Stirling,B Fernando,4,{},{}
1st innings,Ireland,2.2,PR Stirling,B Fernando,1,{},{}
1st innings,Ireland,2.3,L Tucker,B Fernando,1,{'wides': 1},{}
1st innings,Ireland,2.4,L Tucker,B Fernando,0,{},{}
1st innings,Ireland,2.5,L Tucker,B Fernando,3,{},{}
1st innings,Ireland,2.6,PR Stirling,B Fernando,0,{},{}
1st innings,Ireland,2.7,PR Stirling,B Fernando,1,{},{}
1st innings,Ireland,3.1,PR Stirling,CBRLS Kumara,1,{},{}
1st innings,Ireland,3.2,L Tucker,CBRLS Kumara,0,{},{}
1st innings,Ireland,3.3,L Tucker,CBRLS Kumara,1,{},{}
1st innings,Ireland,3.4,PR Stirling,CBRLS Kumara,0,{},{}
1st innings,Ireland,3.5,PR Stirling,CBRLS Kumara,0,{},{}
1st innings,Ireland,3.6,PR Stirling,CBRLS Kumara,4,{},{}
1st innings,Ireland,4.1,L Tucker,M Theekshana,1,{},{}
1st innings,Ireland,4.2,PR Stirling,M Theekshana,1,{'byes': 1},{}
1st innings,Ireland,4.3,L Tucker,M Theekshana,0,{},{}
1st innings,Ireland,4.4,L Tucker,M Theekshana,0,{},"{'player_out': 'L Tucker', 'kind': 'bowled'}"
1st innings,Ireland,4.5,HT Tector,M Theekshana,0,{},{}
1st innings,Ireland,4.6,HT Tector,M Theekshana,0,{},{}
1st innings,Ireland,5.1,PR Stirling,C Karunaratne,0,{},{}
1st innings,Ireland,5.2,PR Stirling,C Karunaratne,4,{},{}
1st innings,Ireland,5.3,PR Stirling,C Karunaratne,6,{},{}
1st innings,Ireland,5.4,PR Stirling,C Karunaratne,1,{},{}
1st innings,Ireland,5.5,HT Tector,C Karunaratne,1,{},{}
1st innings,Ireland,5.6,PR Stirling,C Karunaratne,2,{},{}
1st innings,Ireland,6.1,HT Tector,PWH de Silva,2,{},{}
1st innings,Ireland,6.2,HT Tector,PWH de Silva,1,{},{}
1st innings,Ireland,6.3,PR Stirling,PWH de Silva,1,{},{}
1st innings,Ireland,6.4,HT Tector,PWH de Silva,1,{},{}
1st innings,Ireland,6.5,PR Stirling,PWH de Silva,1,{},{}
1st innings,Ireland,6.6,HT Tector,PWH de Silva,0,{},{}
1st innings,Ireland,7.1,PR Stirling,C Karunaratne,0,{},{}
