inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Bangladesh,0.1,Nazmul Hossain Shanto,FJ Klaassen,1,{},{}
1st innings,Bangladesh,0.2,Soumya Sarkar,FJ Klaassen,0,{},{}
1st innings,Bangladesh,0.3,Soumya Sarkar,FJ Klaassen,1,{'wides': 1},{}
1st innings,Bangladesh,0.4,Soumya Sarkar,FJ Klaassen,1,{'wides': 1},{}
1st innings,Bangladesh,0.5,Soumya Sarkar,FJ Klaassen,4,{},{}
1st innings,Bangladesh,0.6,Soumya Sarkar,FJ Klaassen,0,{},{}
1st innings,Bangladesh,0.7,Soumya Sarkar,FJ Klaassen,4,{},{}
1st innings,Bangladesh,0.8,Soumya Sarkar,FJ Klaassen,1,{},{}
1st innings,Bangladesh,1.1,Soumya Sarkar,CN Ackermann,0,{},{}
1st innings,Bangladesh,1.2,Soumya Sarkar,CN Ackermann,1,{},{}
1st innings,Bangladesh,1.3,Nazmul Hossain Shanto,CN Ackermann,1,{},{}
1st innings,Bangladesh,1.4,Soumya Sarkar,CN Ackermann,1,{},{}
1st innings,Bangladesh,1.5,Nazmul Hossain Shanto,CN Ackermann,1,{},{}
1st innings,Bangladesh,1.6,Soumya Sarkar,CN Ackermann,0,{},{}
1st innings,Bangladesh,2.1,Nazmul Hossain Shanto,PA van Meekeren,0,{},{}
1st innings,Bangladesh,2.2,Nazmul Hossain Shanto,PA van Meekeren,0,{},{}
1st innings,Bangladesh,2.3,Nazmul Hossain Shanto,PA van Meekeren,1,{},{}
1st innings,Bangladesh,2.4,Soumya Sarkar,PA van Meekeren,2,{},{}
1st innings,Bangladesh,2.5,Soumya Sarkar,PA van Meekeren,0,{},{}
1st innings,Bangladesh,2.6,Soumya Sarkar,PA van Meekeren,0,{},{}
1st innings,Bangladesh,3.1,Nazmul Hossain Shanto,BFW de Leede,1,{'wides': 1},{}
1st innings,Bangladesh,3.2,Nazmul Hossain Shanto,BFW de Leede,2,{},{}
1st innings,Bangladesh,3.3,Nazmul Hossain Shanto,BFW de Leede,4,{},{}
1st innings,Bangladesh,3.4,Nazmul Hossain Shanto,BFW de Leede,4,{},{}
1st innings,Bangladesh,3.5,Nazmul Hossain Shanto,BFW de Leede,0,{},{}
1st innings,Bangladesh,3.6,Nazmul Hossain Shanto,BFW de Leede,1,{'wides': 1},{}
1st innings,Bangladesh,3.7,Nazmul Hossain Shanto,BFW de Leede,0,{},{}
1st innings,Bangladesh,3.8,Nazmul Hossain Shanto,BFW de Leede,1,{'wides': 1},{}
1st innings,Bangladesh,3.9,Nazmul Hossain Shanto,BFW de Leede,1,{},{}
1st innings,Bangladesh,4.1,Nazmul Hossain Shanto,FJ Klaassen,4,{},{}
1st innings,Bangladesh,4.2,Nazmul Hossain Shanto,FJ Klaassen,4,{},{}
1st innings,Bangladesh,4.3,Nazmul Hossain Shanto,FJ Klaassen,0,{},{}
1st innings,Bangladesh,4.4,Nazmul Hossain Shanto,FJ Klaassen,0,{},{}
1st innings,Bangladesh,4.5,Nazmul Hossain Shanto,FJ Klaassen,1,{},{}
1st innings,Bangladesh,4.6,Soumya Sarkar,FJ Klaassen,1,{},{}
1st innings,Bangladesh,5.1,Soumya Sarkar,PA van Meekeren,0,{},"{'player_out': 'Soumya Sarkar', 'fielders': ['BFW de Leede'], 'kind': 'caught'}"
1st innings,Bangladesh,5.2,Liton Das,PA van Meekeren,1,{},{}
1st innings,Bangladesh,5.3,Nazmul Hossain Shanto,PA van Meekeren,0,{},{}
1st innings,Bangladesh,5.4,Nazmul Hossain Shanto,PA van Meekeren,1,{},{}
1st innings,Bangladesh,5.5,Liton Das,PA van Meekeren,0,{},{}
1st innings,Bangladesh,5.6,Liton Das,PA van Meekeren,2,{},{}
1st innings,Bangladesh,6.1,Nazmul Hossain Shanto,TJG Pringle,0,{},"{'player_out': 'Nazmul Hossain Shanto', 'fielders': ['LV van Beek'], 'kind': 'caught'}"
1st innings,Bangladesh,6.2,Shakib Al Hasan,TJG Pringle,0,{},{}
1st innings,Bangladesh,6.3,Shakib Al Hasan,TJG Pringle,1,{},{}
1st innings,Bangladesh,6.4,Liton Das,TJG Pringle,1,{},{}
1st innings,Bangladesh,6.5,Shakib Al Hasan,TJG Pringle,1,{},{}
1st innings,Bangladesh,6.6,Liton Das,TJG Pringle,1,{'legbyes': 1},{}
1st innings,Bangladesh,7.1,Liton Das,Shariz Ahmad,2,{},{}
1st innings,Bangladesh,7.2,Liton Das,Shariz Ahmad,0,{},{}
1st innings,Bangladesh,7.3,Liton Das,Shariz Ahmad,1,{},{}
1st innings,Bangladesh,7.4,Shakib Al Hasan,Shariz Ahmad,1,{},{}
1st innings,Bangladesh,7.5,Liton Das,Shariz Ahmad,1,{},{}
1st innings,Bangladesh,7.6,Shakib Al Hasan,Shariz Ahmad,1,{},{}
1st innings,Bangladesh,8.1,Shakib Al Hasan,LV van Beek,1,{},{}
1st innings,Bangladesh,8.2,Liton Das,LV van Beek,1,{},{}
1st innings,Bangladesh,8.3,Shakib Al Hasan,LV van Beek,1,{},{}
1st innings,Bangladesh,8.4,Liton Das,LV van Beek,0,{},"{'player_out': 'Liton Das', 'fielders': ['TLW Cooper'], 'kind': 'caught'}"
1st innings,Bangladesh,8.5,Afif Hossain,LV van Beek,1,{'wides': 1},{}
1st innings,Bangladesh,8.6,Afif Hossain,LV van Beek,1,{'legbyes': 1},{}
1st innings,Bangladesh,8.7,Shakib Al Hasan,LV van Beek,1,{},{}
1st innings,Bangladesh,9.1,Shakib Al Hasan,Shariz Ahmad,0,{},"{'player_out': 'Shakib Al Hasan', 'fielders': ['BFW de Leede'], 'kind': 'caught'}"
1st innings,Bangladesh,9.2,Yasir Ali Chowdhury,Shariz Ahmad,1,{},{}
1st innings,Bangladesh,9.3,Afif Hossain,Shariz Ahmad,6,{},{}
1st innings,Bangladesh,9.4,Afif Hossain,Shariz Ahmad,0,{},{}
1st innings,Bangladesh,9.5,Afif Hossain,Shariz Ahmad,1,{},{}
1st innings,Bangladesh,9.6,Yasir Ali Chowdhury,Shariz Ahmad,1,{},{}
1st innings,Bangladesh,10.1,Yasir Ali Chowdhury,PA van Meekeren,1,{},{}
1st innings,Bangladesh,10.2,Afif Hossain,PA van Meekeren,2,{},{}
1st innings,Bangladesh,10.3,Afif Hossain,PA van Meekeren,0,{},{}
1st innings,Bangladesh,10.4,Afif Hossain,PA van Meekeren,1,{},{}
1st innings,Bangladesh,10.5,Yasir Ali Chowdhury,PA van Meekeren,0,{},{}
1st innings,Bangladesh,10.6,Yasir Ali Chowdhury,PA van Meekeren,0,{},"{'player_out': 'Yasir Ali Chowdhury', 'kind': 'bowled'}"
1st innings,Bangladesh,11.1,Afif Hossain,LV van Beek,1,{},{}
1st innings,Bangladesh,11.2,Nurul Hasan,LV van Beek,0,{},{}
1st innings,Bangladesh,11.3,Nurul Hasan,LV van Beek,0,{},{}
1st innings,Bangladesh,11.4,Nurul Hasan,LV van Beek,1,{},{}
1st innings,Bangladesh,11.5,Afif Hossain,LV van Beek,0,{},{}
1st innings,Bangladesh,11.6,Afif Hossain,LV van Beek,1,{},{}
1st innings,Bangladesh,12.1,Afif Hossain,TJG Pringle,1,{},{}
1st innings,Bangladesh,12.2,Nurul Hasan,TJG Pringle,0,{},{}
1st innings,Bangladesh,12.3,Nurul Hasan,TJG Pringle,3,{},{}
