inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Zimbabwe,0.1,RW Chakabva,K Rabada,1,{},{}
1st innings,Zimbabwe,0.2,CR Ervine,K Rabada,0,{},{}
1st innings,Zimbabwe,0.3,CR Ervine,K Rabada,1,{},{}
1st innings,Zimbabwe,0.4,RW Chakabva,K Rabada,1,{},{}
1st innings,Zimbabwe,0.5,CR Ervine,K Rabada,1,{'legbyes': 1},{}
1st innings,Zimbabwe,0.6,RW Chakabva,K Rabada,0,{},{}
1st innings,Zimbabwe,1.1,CR Ervine,WD Parnell,0,{},{}
1st innings,Zimbabwe,1.2,CR Ervine,WD Parnell,1,{},{}
1st innings,Zimbabwe,1.3,RW Chakabva,WD Parnell,0,{},{}
1st innings,Zimbabwe,1.4,RW Chakabva,WD Parnell,0,{},{}
1st innings,Zimbabwe,1.5,RW Chakabva,WD Parnell,1,{'legbyes': 1},{}
1st innings,Zimbabwe,1.6,CR Ervine,WD Parnell,0,{},"{'player_out': 'CR Ervine', 'fielders': ['L Ngidi'], 'kind': 'caught'}"
1st innings,Zimbabwe,2.1,RW Chakabva,L Ngidi,6,{},{}
1st innings,Zimbabwe,2.2,RW Chakabva,L Ngidi,0,{},"{'player_out': 'RW Chakabva', 'fielders': ['Q de Kock'], 'kind': 'caught'}"
1st innings,Zimbabwe,2.3,Sikandar Raza,L Ngidi,0,{},{}
1st innings,Zimbabwe,2.4,Sikandar Raza,L Ngidi,0,{},"{'player_out': 'Sikandar Raza', 'fielders': ['Q de Kock'], 'kind': 'caught'}"
1st innings,Zimbabwe,2.5,W Madhevere,L Ngidi,0,{},{}
1st innings,Zimbabwe,2.6,W Madhevere,L Ngidi,2,{},{}
1st innings,Zimbabwe,3.1,SC Williams,WD Parnell,1,{},{}
1st innings,Zimbabwe,3.2,W Madhevere,WD Parnell,4,{},{}
1st innings,Zimbabwe,3.3,W Madhevere,WD Parnell,0,{},{}
1st innings,Zimbabwe,3.4,W Madhevere,WD Parnell,0,{},"{'player_out': 'SC Williams', 'fielders': ['DA Miller'], 'kind': 'run out'}"
1st innings,Zimbabwe,3.5,M Shumba,WD Parnell,0,{},{}
1st innings,Zimbabwe,3.6,M Shumba,WD Parnell,0,{},{}
1st innings,Zimbabwe,4.1,W Madhevere,L Ngidi,4,{},{}
1st innings,Zimbabwe,4.2,W Madhevere,L Ngidi,1,{'wides': 1},{}
1st innings,Zimbabwe,4.3,W Madhevere,L Ngidi,1,{},{}
1st innings,Zimbabwe,4.4,M Shumba,L Ngidi,4,{},{}
1st innings,Zimbabwe,4.5,M Shumba,L Ngidi,0,{},{}
1st innings,Zimbabwe,4.6,M Shumba,L Ngidi,1,{'wides': 1},{}
1st innings,Zimbabwe,4.7,M Shumba,L Ngidi,0,{},{}
1st innings,Zimbabwe,4.8,M Shumba,L Ngidi,1,{},{}
1st innings,Zimbabwe,5.1,M Shumba,KA Maharaj,0,{},{}
1st innings,Zimbabwe,5.2,M Shumba,KA Maharaj,4,{},{}
1st innings,Zimbabwe,5.3,M Shumba,KA Maharaj,1,{},{}
1st innings,Zimbabwe,5.4,W Madhevere,KA Maharaj,2,{},{}
1st innings,Zimbabwe,5.5,W Madhevere,KA Maharaj,1,{},{}
1st innings,Zimbabwe,5.6,M Shumba,KA Maharaj,2,{},{}
1st innings,Zimbabwe,6.1,W Madhevere,A Nortje,1,{},{}
1st innings,Zimbabwe,6.2,M Shumba,A Nortje,0,{},{}
1st innings,Zimbabwe,6.3,M Shumba,A Nortje,1,{},{}
1st innings,Zimbabwe,6.4,W Madhevere,A Nortje,1,{},{}
1st innings,Zimbabwe,6.5,M Shumba,A Nortje,1,{},{}
1st innings,Zimbabwe,6.6,W Madhevere,A Nortje,2,{},{}
1st innings,Zimbabwe,7.1,M Shumba,K Rabada,0,{},{}
1st innings,Zimbabwe,7.2,M Shumba,K Rabada,1,{},{}
1st innings,Zimbabwe,7.3,W Madhevere,K Rabada,6,{},{}
1st innings,Zimbabwe,7.4,W Madhevere,K Rabada,2,{},{}
1st innings,Zimbabwe,7.5,W Madhevere,K Rabada,4,{},{}
1st innings,Zimbabwe,7.6,W Madhevere,K Rabada,4,{},{}
1st innings,Zimbabwe,8.1,M Shumba,A Nortje,4,{'legbyes': 4},{}
1st innings,Zimbabwe,8.2,M Shumba,A Nortje,2,{},{}
1st innings,Zimbabwe,8.3,M Shumba,A Nortje,6,{'penalty': 5},{}
1st innings,Zimbabwe,8.4,W Madhevere,A Nortje,1,{},{}
1st innings,Zimbabwe,8.5,M Shumba,A Nortje,1,{'legbyes': 1},{}
1st innings,Zimbabwe,8.6,W Madhevere,A Nortje,1,{'byes': 1},{}
1st innings,Zimbabwe,8.7,M Shumba,A Nortje,0,{},"{'player_out': 'M Shumba', 'fielders': ['Q de Kock'], 'kind': 'caught'}"
2nd innings,South Africa,0.1,Q de Kock,TL Chatara,4,{},{}
2nd innings,South Africa,0.2,Q de Kock,TL Chatara,4,{},{}
