inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Sri Lanka,0.1,P Nissanka,JR Hazlewood,0,{},{}
1st innings,Sri Lanka,0.2,P Nissanka,JR Hazlewood,1,{},{}
1st innings,Sri Lanka,0.3,BKG Mendis,JR Hazlewood,1,{},{}
1st innings,Sri Lanka,0.4,P Nissanka,JR Hazlewood,0,{},{}
1st innings,Sri Lanka,0.5,P Nissanka,JR Hazlewood,0,{},{}
1st innings,Sri Lanka,0.6,P Nissanka,JR Hazlewood,0,{},{}
1st innings,Sri Lanka,1.1,BKG Mendis,PJ Cummins,0,{},{}
1st innings,Sri Lanka,1.2,BKG Mendis,PJ Cummins,4,{},{}
1st innings,Sri Lanka,1.3,BKG Mendis,PJ Cummins,0,{},{}
1st innings,Sri Lanka,1.4,BKG Mendis,PJ Cummins,0,{},{}
1st innings,Sri Lanka,1.5,BKG Mendis,PJ Cummins,0,{},"{'player_out': 'BKG Mendis', 'fielders': ['MR Marsh'], 'kind': 'caught'}"
1st innings,Sri Lanka,1.6,DM de Silva,PJ Cummins,0,{},{}
1st innings,Sri Lanka,2.1,P Nissanka,JR Hazlewood,0,{},{}
1st innings,Sri Lanka,2.2,P Nissanka,JR Hazlewood,4,{},{}
1st innings,Sri Lanka,2.3,P Nissanka,JR Hazlewood,2,{},{}
1st innings,Sri Lanka,2.4,P Nissanka,JR Hazlewood,1,{},{}
1st innings,Sri Lanka,2.5,DM de Silva,JR Hazlewood,1,{},{}
1st innings,Sri Lanka,2.6,P Nissanka,JR Hazlewood,1,{'wides': 1},{}
1st innings,Sri Lanka,2.7,P Nissanka,JR Hazlewood,1,{'wides': 1},{}
1st innings,Sri Lanka,2.8,P Nissanka,JR Hazlewood,0,{},{}
1st innings,Sri Lanka,3.1,DM de Silva,PJ Cummins,1,{},{}
1st innings,Sri Lanka,3.2,P Nissanka,PJ Cummins,0,{},{}
1st innings,Sri Lanka,3.3,P Nissanka,PJ Cummins,0,{},{}
1st innings,Sri Lanka,3.4,P Nissanka,PJ Cummins,1,{},{}
1st innings,Sri Lanka,3.5,DM de Silva,PJ Cummins,4,{},{}
1st innings,Sri Lanka,3.6,DM de Silva,PJ Cummins,0,{},{}
1st innings,Sri Lanka,4.1,P Nissanka,MA Starc,0,{},{}
1st innings,Sri Lanka,4.2,P Nissanka,MA Starc,0,{},{}
1st innings,Sri Lanka,4.3,P Nissanka,MA Starc,1,{},{}
1st innings,Sri Lanka,4.4,DM de Silva,MA Starc,1,{'legbyes': 1},{}
1st innings,Sri Lanka,4.5,P Nissanka,MA Starc,0,{},{}
1st innings,Sri Lanka,4.6,P Nissanka,MA Starc,1,{'legbyes': 1},{}
