inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Ireland,0.1,PR Stirling,BA Stokes,0,{},{}
1st innings,Ireland,0.2,PR Stirling,BA Stokes,1,{},{}
1st innings,Ireland,0.3,A Balbirnie,BA Stokes,2,{},{}
1st innings,Ireland,0.4,A Balbirnie,BA Stokes,0,{},{}
1st innings,Ireland,0.5,A Balbirnie,BA Stokes,0,{},{}
1st innings,Ireland,0.6,A Balbirnie,BA Stokes,0,{},{}
1st innings,Ireland,1.1,PR Stirling,CR Woakes,4,{},{}
1st innings,Ireland,1.2,PR Stirling,CR Woakes,1,{'wides': 1},{}
1st innings,Ireland,1.3,PR Stirling,CR Woakes,0,{},{}
1st innings,Ireland,1.4,PR Stirling,CR Woakes,3,{},{}
1st innings,Ireland,1.5,A Balbirnie,CR Woakes,0,{},{}
1st innings,Ireland,1.6,A Balbirnie,CR Woakes,0,{},{}
1st innings,Ireland,1.7,A Balbirnie,CR Woakes,4,{},{}
1st innings,Ireland,2.1,PR Stirling,MA Wood,6,{},{}
1st innings,Ireland,2.2,PR Stirling,MA Wood,0,{},{}
1st innings,Ireland,2.3,PR Stirling,MA Wood,0,{},"{'player_out': 'PR Stirling', 'fielders': ['SM Curran'], 'kind': 'caught'}"
1st innings,Ireland,2.4,L Tucker,MA Wood,1,{},{}
1st innings,Ireland,2.5,A Balbirnie,MA Wood,0,{},{}
1st innings,Ireland,2.6,A Balbirnie,MA Wood,4,{'wides': 4},{}
1st innings,Ireland,2.7,L Tucker,MA Wood,0,{},{}
1st innings,Ireland,3.1,A Balbirnie,CR Woakes,1,{},{}
1st innings,Ireland,3.2,L Tucker,CR Woakes,4,{},{}
1st innings,Ireland,3.3,L Tucker,CR Woakes,1,{},{}
1st innings,Ireland,3.4,A Balbirnie,CR Woakes,1,{},{}
1st innings,Ireland,3.5,L Tucker,CR Woakes,0,{},{}
1st innings,Ireland,3.6,L Tucker,CR Woakes,4,{},{}
1st innings,Ireland,4.1,A Balbirnie,MA Wood,0,{},{}
1st innings,Ireland,4.2,A Balbirnie,MA Wood,4,{},{}
1st innings,Ireland,4.3,A Balbirnie,MA Wood,0,{},{}
1st innings,Ireland,4.4,A Balbirnie,MA Wood,1,{'legbyes': 1},{}
1st innings,Ireland,4.5,L Tucker,MA Wood,1,{},{}
1st innings,Ireland,4.6,A Balbirnie,MA Wood,2,{},{}
1st innings,Ireland,5.1,L Tucker,SM Curran,2,{},{}
1st innings,Ireland,5.2,L Tucker,SM Curran,4,{},{}
1st innings,Ireland,5.3,L Tucker,SM Curran,0,{},{}
1st innings,Ireland,5.4,L Tucker,SM Curran,2,{},{}
