inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,India,0.1,KL Rahul,FJ Klaassen,0,{},{}
1st innings,India,0.2,KL Rahul,FJ Klaassen,1,{'wides': 1},{}
1st innings,India,0.3,KL Rahul,FJ Klaassen,0,{},{}
1st innings,India,0.4,KL Rahul,FJ Klaassen,4,{},{}
1st innings,India,0.5,KL Rahul,FJ Klaassen,2,{},{}
1st innings,India,0.6,KL Rahul,FJ Klaassen,0,{},{}
1st innings,India,0.7,KL Rahul,FJ Klaassen,0,{},{}
1st innings,India,1.1,RG Sharma,TJG Pringle,0,{},{}
1st innings,India,1.2,RG Sharma,TJG Pringle,1,{},{}
1st innings,India,1.3,KL Rahul,TJG Pringle,0,{},{}
1st innings,India,1.4,KL Rahul,TJG Pringle,1,{},{}
1st innings,India,1.5,RG Sharma,TJG Pringle,0,{},{}
1st innings,India,1.6,RG Sharma,TJG Pringle,0,{},{}
1st innings,India,2.1,KL Rahul,PA van Meekeren,2,{},{}
1st innings,India,2.2,KL Rahul,PA van Meekeren,0,{},{}
1st innings,India,2.3,KL Rahul,PA van Meekeren,0,{},{}
1st innings,India,2.4,KL Rahul,PA van Meekeren,0,{},"{'player_out': 'KL Rahul', 'kind': 'lbw'}"
1st innings,India,2.5,V Kohli,PA van Meekeren,1,{},{}
1st innings,India,2.6,RG Sharma,PA van Meekeren,6,{},{}
1st innings,India,3.1,V Kohli,BFW de Leede,1,{},{}
1st innings,India,3.2,RG Sharma,BFW de Leede,0,{},{}
1st innings,India,3.3,RG Sharma,BFW de Leede,4,{},{}
1st innings,India,3.4,RG Sharma,BFW de Leede,0,{},{}
1st innings,India,3.5,RG Sharma,BFW de Leede,0,{},{}
1st innings,India,3.6,RG Sharma,BFW de Leede,0,{},{}
1st innings,India,4.1,V Kohli,FJ Klaassen,0,{},{}
1st innings,India,4.2,V Kohli,FJ Klaassen,1,{},{}
1st innings,India,4.3,RG Sharma,FJ Klaassen,2,{},{}
1st innings,India,4.4,RG Sharma,FJ Klaassen,0,{},{}
1st innings,India,4.5,RG Sharma,FJ Klaassen,0,{},{}
1st innings,India,4.6,RG Sharma,FJ Klaassen,2,{},{}
1st innings,India,5.1,V Kohli,PA van Meekeren,0,{},{}
1st innings,India,5.2,V Kohli,PA van Meekeren,2,{},{}
1st innings,India,5.3,V Kohli,PA van Meekeren,1,{},{}
1st innings,India,5.4,RG Sharma,PA van Meekeren,0,{},{}
1st innings,India,5.5,RG Sharma,PA van Meekeren,1,{},{}
1st innings,India,5.6,V Kohli,PA van Meekeren,0,{},{}
1st innings,India,6.1,RG Sharma,TJG Pringle,1,{},{}
1st innings,India,6.2,V Kohli,TJG Pringle,1,{},{}
1st innings,India,6.3,RG Sharma,TJG Pringle,0,{},{}
1st innings,India,6.4,RG Sharma,TJG Pringle,2,{},{}
