inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Zimbabwe,0.1,W Madhevere,Shaheen Shah Afridi,3,{},{}
1st innings,Zimbabwe,0.2,CR Ervine,Shaheen Shah Afridi,2,{},{}
1st innings,Zimbabwe,0.3,CR Ervine,Shaheen Shah Afridi,1,{},{}
1st innings,Zimbabwe,0.4,W Madhevere,Shaheen Shah Afridi,4,{},{}
1st innings,Zimbabwe,0.5,W Madhevere,Shaheen Shah Afridi,4,{},{}
1st innings,Zimbabwe,0.6,W Madhevere,Shaheen Shah Afridi,0,{},{}
1st innings,Zimbabwe,1.1,CR Ervine,Naseem Shah,4,{},{}
1st innings,Zimbabwe,1.2,CR Ervine,Naseem Shah,4,{},{}
1st innings,Zimbabwe,1.3,CR Ervine,Naseem Shah,0,{},{}
1st innings,Zimbabwe,1.4,CR Ervine,Naseem Shah,0,{},{}
1st innings,Zimbabwe,1.5,CR Ervine,Naseem Shah,0,{},{}
1st innings,Zimbabwe,1.6,CR Ervine,Naseem Shah,1,{},{}
1st innings,Zimbabwe,2.1,CR Ervine,Mohammad Wasim,1,{'wides': 1},{}
1st innings,Zimbabwe,2.2,CR Ervine,Mohammad Wasim,0,{},{}
1st innings,Zimbabwe,2.3,CR Ervine,Mohammad Wasim,1,{'legbyes': 1},{}
1st innings,Zimbabwe,2.4,W Madhevere,Mohammad Wasim,1,{'legbyes': 1},{}
1st innings,Zimbabwe,2.5,CR Ervine,Mohammad Wasim,1,{},{}
1st innings,Zimbabwe,2.6,W Madhevere,Mohammad Wasim,4,{},{}
1st innings,Zimbabwe,2.7,W Madhevere,Mohammad Wasim,0,{},{}
1st innings,Zimbabwe,3.1,CR Ervine,Naseem Shah,2,{},{}
1st innings,Zimbabwe,3.2,CR Ervine,Naseem Shah,1,{},{}
1st innings,Zimbabwe,3.3,W Madhevere,Naseem Shah,1,{'wides': 1},{}
1st innings,Zimbabwe,3.4,W Madhevere,Naseem Shah,0,{},{}
1st innings,Zimbabwe,3.5,W Madhevere,Naseem Shah,1,{},{}
1st innings,Zimbabwe,3.6,CR Ervine,Naseem Shah,1,{},{}
1st innings,Zimbabwe,3.7,W Madhevere,Naseem Shah,1,{'wides': 1},{}
1st innings,Zimbabwe,3.8,W Madhevere,Naseem Shah,0,{},{}
1st innings,Zimbabwe,4.1,CR Ervine,Haris Rauf,0,{},{}
1st innings,Zimbabwe,4.2,CR Ervine,Haris Rauf,1,{'legbyes': 1},{}
1st innings,Zimbabwe,4.3,W Madhevere,Haris Rauf,1,{},{}
1st innings,Zimbabwe,4.4,CR Ervine,Haris Rauf,2,{},{}
1st innings,Zimbabwe,4.5,CR Ervine,Haris Rauf,0,{},{}
