inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,New Zealand,0.1,FH Allen,M Theekshana,0,{},{}
1st innings,New Zealand,0.2,FH Allen,M Theekshana,1,{},{}
1st innings,New Zealand,0.3,DP Conway,M Theekshana,1,{},{}
1st innings,New Zealand,0.4,FH Allen,M Theekshana,0,{},"{'player_out': 'FH Allen', 'kind': 'bowled'}"
1st innings,New Zealand,0.5,KS Williamson,M Theekshana,1,{},{}
1st innings,New Zealand,0.6,DP Conway,M Theekshana,0,{},{}
1st innings,New Zealand,1.1,KS Williamson,CAK Rajitha,0,{},{}
1st innings,New Zealand,1.2,KS Williamson,CAK Rajitha,0,{},{}
1st innings,New Zealand,1.3,KS Williamson,CAK Rajitha,1,{},{}
1st innings,New Zealand,1.4,DP Conway,CAK Rajitha,1,{'legbyes': 1},{}
1st innings,New Zealand,1.5,KS Williamson,CAK Rajitha,0,{},{}
1st innings,New Zealand,1.6,KS Williamson,CAK Rajitha,1,{},{}
1st innings,New Zealand,2.1,KS Williamson,DM de Silva,1,{},{}
1st innings,New Zealand,2.2,DP Conway,DM de Silva,0,{},"{'player_out': 'DP Conway', 'kind': 'bowled'}"
1st innings,New Zealand,2.3,GD Phillips,DM de Silva,0,{},{}
1st innings,New Zealand,2.4,GD Phillips,DM de Silva,4,{},{}
1st innings,New Zealand,2.5,GD Phillips,DM de Silva,0,{},{}
1st innings,New Zealand,2.6,GD Phillips,DM de Silva,0,{},{}
1st innings,New Zealand,3.1,KS Williamson,CAK Rajitha,0,{},{}
1st innings,New Zealand,3.2,KS Williamson,CAK Rajitha,0,{},{}
1st innings,New Zealand,3.3,KS Williamson,CAK Rajitha,4,{},{}
1st innings,New Zealand,3.4,KS Williamson,CAK Rajitha,0,{},{}
1st innings,New Zealand,3.5,KS Williamson,CAK Rajitha,0,{},{}
1st innings,New Zealand,3.6,KS Williamson,CAK Rajitha,0,{},"{'player_out': 'KS Williamson', 'fielders': ['BKG Mendis'], 'kind': 'caught'}"
1st innings,New Zealand,4.1,GD Phillips,M Theekshana,0,{},{}
1st innings,New Zealand,4.2,GD Phillips,M Theekshana,1,{},{}
1st innings,New Zealand,4.3,DJ Mitchell,M Theekshana,1,{},{}
1st innings,New Zealand,4.4,GD Phillips,M Theekshana,1,{},{}
1st innings,New Zealand,4.5,DJ Mitchell,M Theekshana,0,{},{}
1st innings,New Zealand,4.6,DJ Mitchell,M Theekshana,1,{},{}
1st innings,New Zealand,5.1,DJ Mitchell,CAK Rajitha,1,{},{}
1st innings,New Zealand,5.2,GD Phillips,CAK Rajitha,4,{},{}
