inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Bangladesh,0.1,Nazmul Hossain Shanto,R Ngarava,0,{},{}
1st innings,Bangladesh,0.2,Nazmul Hossain Shanto,R Ngarava,0,{},{}
1st innings,Bangladesh,0.3,Nazmul Hossain Shanto,R Ngarava,0,{},{}
1st innings,Bangladesh,0.4,Nazmul Hossain Shanto,R Ngarava,4,{},{}
1st innings,Bangladesh,0.5,Nazmul Hossain Shanto,R Ngarava,0,{},{}
1st innings,Bangladesh,0.6,Nazmul Hossain Shanto,R Ngarava,1,{},{}
1st innings,Bangladesh,1.1,Nazmul Hossain Shanto,B Muzarabani,4,{},{}
1st innings,Bangladesh,1.2,Nazmul Hossain Shanto,B Muzarabani,1,{},{}
1st innings,Bangladesh,1.3,Soumya Sarkar,B Muzarabani,0,{},{}
1st innings,Bangladesh,1.4,Soumya Sarkar,B Muzarabani,0,{},"{'player_out': 'Soumya Sarkar', 'fielders': ['RW Chakabva'], 'kind': 'caught'}"
1st innings,Bangladesh,1.5,Liton Das,B Muzarabani,4,{},{}
1st innings,Bangladesh,1.6,Liton Das,B Muzarabani,0,{},{}
1st innings,Bangladesh,2.1,Nazmul Hossain Shanto,TL Chatara,0,{},{}
1st innings,Bangladesh,2.2,Nazmul Hossain Shanto,TL Chatara,0,{},{}
1st innings,Bangladesh,2.3,Nazmul Hossain Shanto,TL Chatara,2,{},{}
1st innings,Bangladesh,2.4,Nazmul Hossain Shanto,TL Chatara,1,{},{}
1st innings,Bangladesh,2.5,Liton Das,TL Chatara,0,{},{}
1st innings,Bangladesh,2.6,Liton Das,TL Chatara,0,{},{}
1st innings,Bangladesh,3.1,Nazmul Hossain Shanto,R Ngarava,1,{},{}
1st innings,Bangladesh,3.2,Liton Das,R Ngarava,0,{},{}
1st innings,Bangladesh,3.3,Liton Das,R Ngarava,0,{},{}
1st innings,Bangladesh,3.4,Liton Das,R Ngarava,1,{},{}
1st innings,Bangladesh,3.5,Nazmul Hossain Shanto,R Ngarava,1,{},{}
1st innings,Bangladesh,3.6,Liton Das,R Ngarava,4,{},{}
1st innings,Bangladesh,4.1,Nazmul Hossain Shanto,TL Chatara,1,{},{}
1st innings,Bangladesh,4.2,Liton Das,TL Chatara,1,{},{}
1st innings,Bangladesh,4.3,Nazmul Hossain Shanto,TL Chatara,2,{},{}
1st innings,Bangladesh,4.4,Nazmul Hossain Shanto,TL Chatara,0,{},{}
1st innings,Bangladesh,4.5,Nazmul Hossain Shanto,TL Chatara,0,{},{}
1st innings,Bangladesh,4.6,Nazmul Hossain Shanto,TL Chatara,0,{},{}
1st innings,Bangladesh,5.1,Liton Das,B Muzarabani,4,{},{}
1st innings,Bangladesh,5.2,Liton Das,B Muzarabani,0,{},{}
1st innings,Bangladesh,5.3,Liton Das,B Muzarabani,0,{},"{'player_out': 'Liton Das', 'fielders': ['TL Chatara'], 'kind': 'caught'}"
1st innings,Bangladesh,5.4,Shakib Al Hasan,B Muzarabani,0,{},{}
1st innings,Bangladesh,5.5,Shakib Al Hasan,B Muzarabani,0,{},{}
1st innings,Bangladesh,5.6,Shakib Al Hasan,B Muzarabani,0,{},{}
1st innings,Bangladesh,6.1,Nazmul Hossain Shanto,Sikandar Raza,1,{},{}
1st innings,Bangladesh,6.2,Shakib Al Hasan,Sikandar Raza,1,{},{}
1st innings,Bangladesh,6.3,Nazmul Hossain Shanto,Sikandar Raza,1,{},{}
1st innings,Bangladesh,6.4,Shakib Al Hasan,Sikandar Raza,1,{},{}
1st innings,Bangladesh,6.5,Nazmul Hossain Shanto,Sikandar Raza,1,{},{}
1st innings,Bangladesh,6.6,Shakib Al Hasan,Sikandar Raza,4,{},{}
1st innings,Bangladesh,7.1,Nazmul Hossain Shanto,B Evans,1,{},{}
1st innings,Bangladesh,7.2,Shakib Al Hasan,B Evans,2,{},{}
1st innings,Bangladesh,7.3,Shakib Al Hasan,B Evans,1,{},{}
1st innings,Bangladesh,7.4,Nazmul Hossain Shanto,B Evans,1,{},{}
1st innings,Bangladesh,7.5,Shakib Al Hasan,B Evans,1,{'wides': 1},{}
1st innings,Bangladesh,7.6,Shakib Al Hasan,B Evans,1,{},{}
1st innings,Bangladesh,7.7,Nazmul Hossain Shanto,B Evans,4,{},{}
