inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Netherlands,0.1,SJ Myburgh,Shaheen Shah Afridi,0,{},{}
1st innings,Netherlands,0.2,SJ Myburgh,Shaheen Shah Afridi,0,{},{}
1st innings,Netherlands,0.3,SJ Myburgh,Shaheen Shah Afridi,0,{},{}
1st innings,Netherlands,0.4,SJ Myburgh,Shaheen Shah Afridi,0,{},{}
1st innings,Netherlands,0.5,SJ Myburgh,Shaheen Shah Afridi,1,{},{}
1st innings,Netherlands,0.6,MP O'Dowd,Shaheen Shah Afridi,1,{'wides': 1},{}
1st innings,Netherlands,0.7,MP O'Dowd,Shaheen Shah Afridi,0,{},{}
1st innings,Netherlands,1.1,SJ Myburgh,Naseem Shah,0,{},{}
1st innings,Netherlands,1.2,SJ Myburgh,Naseem Shah,0,{},{}
1st innings,Netherlands,1.3,SJ Myburgh,Naseem Shah,0,{},{}
1st innings,Netherlands,1.4,SJ Myburgh,Naseem Shah,1,{},{}
1st innings,Netherlands,1.5,MP O'Dowd,Naseem Shah,0,{},{}
1st innings,Netherlands,1.6,MP O'Dowd,Naseem Shah,0,{},{}
1st innings,Netherlands,2.1,SJ Myburgh,Shaheen Shah Afridi,4,{},{}
1st innings,Netherlands,2.2,SJ Myburgh,Shaheen Shah Afridi,0,{},"{'player_out': 'SJ Myburgh', 'fielders': ['Mohammad Wasim'], 'kind': 'caught'}"
1st innings,Netherlands,2.3,BFW de Leede,Shaheen Shah Afridi,0,{},{}
1st innings,Netherlands,2.4,BFW de Leede,Shaheen Shah Afridi,1,{},{}
1st innings,Netherlands,2.5,MP O'Dowd,Shaheen Shah Afridi,1,{},{}
1st innings,Netherlands,2.6,BFW de Leede,Shaheen Shah Afridi,0,{},{}
1st innings,Netherlands,3.1,MP O'Dowd,Naseem Shah,2,{},{}
1st innings,Netherlands,3.2,MP O'Dowd,Naseem Shah,0,{},{}
1st innings,Netherlands,3.3,MP O'Dowd,Naseem Shah,1,{},{}
1st innings,Netherlands,3.4,BFW de Leede,Naseem Shah,0,{},{}
1st innings,Netherlands,3.5,BFW de Leede,Naseem Shah,0,{},{}
1st innings,Netherlands,3.6,BFW de Leede,Naseem Shah,0,{},{}
1st innings,Netherlands,4.1,MP O'Dowd,Mohammad Wasim,1,{},{}
1st innings,Netherlands,4.2,BFW de Leede,Mohammad Wasim,4,{},{}
1st innings,Netherlands,4.3,BFW de Leede,Mohammad Wasim,0,{},{}
1st innings,Netherlands,4.4,BFW de Leede,Mohammad Wasim,0,{},{}
1st innings,Netherlands,4.5,BFW de Leede,Mohammad Wasim,0,{},{}
1st innings,Netherlands,4.6,BFW de Leede,Mohammad Wasim,1,{},{}
1st innings,Netherlands,5.1,BFW de Leede,Haris Rauf,0,{},{}
1st innings,Netherlands,5.2,BFW de Leede,Haris Rauf,0,{},{}
1st innings,Netherlands,5.3,BFW de Leede,Haris Rauf,0,{},{}
1st innings,Netherlands,5.4,BFW de Leede,Haris Rauf,0,{},{}
1st innings,Netherlands,5.5,BFW de Leede,Haris Rauf,0,{},"{'player_out': 'BFW de Leede', 'kind': 'retired hurt'}"
1st innings,Netherlands,5.6,TLW Cooper,Haris Rauf,1,{},{}
1st innings,Netherlands,6.1,TLW Cooper,Shadab Khan,0,{},"{'player_out': 'TLW Cooper', 'fielders': ['Mohammad Wasim'], 'kind': 'caught'}"
1st innings,Netherlands,6.2,CN Ackermann,Shadab Khan,1,{},{}
1st innings,Netherlands,6.3,MP O'Dowd,Shadab Khan,0,{},{}
1st innings,Netherlands,6.4,MP O'Dowd,Shadab Khan,1,{},{}
1st innings,Netherlands,6.5,CN Ackermann,Shadab Khan,0,{},{}
1st innings,Netherlands,6.6,CN Ackermann,Shadab Khan,0,{},{}
1st innings,Netherlands,7.1,MP O'Dowd,Mohammad Nawaz,1,{},{}
1st innings,Netherlands,7.2,CN Ackermann,Mohammad Nawaz,0,{},{}
1st innings,Netherlands,7.3,CN Ackermann,Mohammad Nawaz,2,{},{}
1st innings,Netherlands,7.4,CN Ackermann,Mohammad Nawaz,1,{},{}
1st innings,Netherlands,7.5,MP O'Dowd,Mohammad Nawaz,1,{},{}
1st innings,Netherlands,7.6,CN Ackermann,Mohammad Nawaz,0,{},{}
1st innings,Netherlands,8.1,MP O'Dowd,Shadab Khan,0,{},"{'player_out': ""MP O'Dowd"", 'kind': 'lbw'}"
1st innings,Netherlands,8.2,SA Edwards,Shadab Khan,0,{},{}
1st innings,Netherlands,8.3,SA Edwards,Shadab Khan,0,{},{}
1st innings,Netherlands,8.4,SA Edwards,Shadab Khan,1,{},{}
1st innings,Netherlands,8.5,CN Ackermann,Shadab Khan,1,{},{}
1st innings,Netherlands,8.6,SA Edwards,Shadab Khan,0,{},{}
1st innings,Netherlands,9.1,CN Ackermann,Mohammad Nawaz,1,{},{}
1st innings,Netherlands,9.2,SA Edwards,Mohammad Nawaz,1,{},{}
1st innings,Netherlands,9.3,CN Ackermann,Mohammad Nawaz,1,{},{}
1st innings,Netherlands,9.4,SA Edwards,Mohammad Nawaz,2,{},{}
1st innings,Netherlands,9.5,SA Edwards,Mohammad Nawaz,0,{},{}
1st innings,Netherlands,9.6,SA Edwards,Mohammad Nawaz,1,{},{}
1st innings,Netherlands,10.1,SA Edwards,Shadab Khan,1,{},{}
1st innings,Netherlands,10.2,CN Ackermann,Shadab Khan,1,{},{}
1st innings,Netherlands,10.3,SA Edwards,Shadab Khan,1,{},{}
1st innings,Netherlands,10.4,CN Ackermann,Shadab Khan,4,{},{}
1st innings,Netherlands,10.5,CN Ackermann,Shadab Khan,1,{},{}
1st innings,Netherlands,10.6,SA Edwards,Shadab Khan,1,{},{}
1st innings,Netherlands,11.1,SA Edwards,Haris Rauf,1,{},{}
1st innings,Netherlands,11.2,CN Ackermann,Haris Rauf,0,{},{}
1st innings,Netherlands,11.3,CN Ackermann,Haris Rauf,0,{},{}
1st innings,Netherlands,11.4,CN Ackermann,Haris Rauf,0,{},{}
1st innings,Netherlands,11.5,CN Ackermann,Haris Rauf,4,{},{}
1st innings,Netherlands,11.6,CN Ackermann,Haris Rauf,1,{},{}
1st innings,Netherlands,12.1,CN Ackermann,Mohammad Wasim,1,{},{}
1st innings,Netherlands,12.2,SA Edwards,Mohammad Wasim,0,{},{}
1st innings,Netherlands,12.3,SA Edwards,Mohammad Wasim,1,{},{}
1st innings,Netherlands,12.4,CN Ackermann,Mohammad Wasim,1,{},{}
1st innings,Netherlands,12.5,SA Edwards,Mohammad Wasim,0,{},{}
1st innings,Netherlands,12.6,SA Edwards,Mohammad Wasim,1,{'legbyes': 1},{}
1st innings,Netherlands,13.1,SA Edwards,Shaheen Shah Afridi,1,{},{}
1st innings,Netherlands,13.2,CN Ackermann,Shaheen Shah Afridi,0,{},{}
1st innings,Netherlands,13.3,CN Ackermann,Shaheen Shah Afridi,2,{},{}
1st innings,Netherlands,13.4,CN Ackermann,Shaheen Shah Afridi,2,{},{}
1st innings,Netherlands,13.5,CN Ackermann,Shaheen Shah Afridi,0,{},{}
1st innings,Netherlands,13.6,CN Ackermann,Shaheen Shah Afridi,1,{},{}
1st innings,Netherlands,14.1,CN Ackermann,Shadab Khan,2,{},{}
1st innings,Netherlands,14.2,CN Ackermann,Shadab Khan,0,{},"{'player_out': 'CN Ackermann', 'kind': 'lbw'}"
1st innings,Netherlands,14.3,RE van der Merwe,Shadab Khan,0,{},{}
1st innings,Netherlands,14.4,RE van der Merwe,Shadab Khan,3,{},{}
1st innings,Netherlands,14.5,SA Edwards,Shadab Khan,4,{},{}
1st innings,Netherlands,14.6,SA Edwards,Shadab Khan,0,{},{}
1st innings,Netherlands,15.1,RE van der Merwe,Naseem Shah,0,{},{}
1st innings,Netherlands,15.2,RE van der Merwe,Naseem Shah,1,{},{}
1st innings,Netherlands,15.3,SA Edwards,Naseem Shah,0,{},"{'player_out': 'SA Edwards', 'fielders': ['Iftikhar Ahmed'], 'kind': 'caught'}"
1st innings,Netherlands,15.4,TJG Pringle,Naseem Shah,0,{},{}
1st innings,Netherlands,15.5,TJG Pringle,Naseem Shah,0,{},{}
1st innings,Netherlands,15.6,TJG Pringle,Naseem Shah,2,{},{}
1st innings,Netherlands,16.1,RE van der Merwe,Haris Rauf,1,{},{}
1st innings,Netherlands,16.2,TJG Pringle,Haris Rauf,1,{},{}
1st innings,Netherlands,16.3,RE van der Merwe,Haris Rauf,0,{},"{'player_out': 'RE van der Merwe', 'kind': 'bowled'}"
1st innings,Netherlands,16.4,LV van Beek,Haris Rauf,0,{},{}
1st innings,Netherlands,16.5,LV van Beek,Haris Rauf,0,{},{}
1st innings,Netherlands,16.6,LV van Beek,Haris Rauf,1,{},{}
1st innings,Netherlands,17.1,LV van Beek,Shaheen Shah Afridi,0,{},{}
1st innings,Netherlands,17.2,LV van Beek,Shaheen Shah Afridi,2,{},{}
1st innings,Netherlands,17.3,LV van Beek,Shaheen Shah Afridi,1,{},{}
1st innings,Netherlands,17.4,TJG Pringle,Shaheen Shah Afridi,0,{},{}
1st innings,Netherlands,17.5,TJG Pringle,Shaheen Shah Afridi,2,{},{}
