inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Australia,0.1,DA Warner,J Little,0,{},{}
1st innings,Australia,0.2,DA Warner,J Little,1,{},{}
1st innings,Australia,0.3,AJ Finch,J Little,2,{},{}
1st innings,Australia,0.4,AJ Finch,J Little,0,{},{}
1st innings,Australia,0.5,AJ Finch,J Little,2,{},{}
1st innings,Australia,0.6,AJ Finch,J Little,0,{},{}
1st innings,Australia,1.1,DA Warner,MR Adair,1,{},{}
1st innings,Australia,1.2,AJ Finch,MR Adair,0,{},{}
1st innings,Australia,1.3,AJ Finch,MR Adair,1,{},{}
1st innings,Australia,1.4,DA Warner,MR Adair,0,{},{}
1st innings,Australia,1.5,DA Warner,MR Adair,0,{},{}
1st innings,Australia,1.6,DA Warner,MR Adair,1,{},{}
1st innings,Australia,2.1,DA Warner,BJ McCarthy,0,{},"{'player_out': 'DA Warner', 'fielders': ['MR Adair'], 'kind': 'caught'}"
1st innings,Australia,2.2,MR Marsh,BJ McCarthy,4,{},{}
1st innings,Australia,2.3,MR Marsh,BJ McCarthy,1,{},{}
1st innings,Australia,2.4,AJ Finch,BJ McCarthy,0,{},{}
1st innings,Australia,2.5,AJ Finch,BJ McCarthy,1,{},{}
1st innings,Australia,2.6,MR Marsh,BJ McCarthy,0,{},{}
1st innings,Australia,3.1,AJ Finch,J Little,1,{},{}
1st innings,Australia,3.2,MR Marsh,J Little,0,{},{}
1st innings,Australia,3.3,MR Marsh,J Little,1,{},{}
1st innings,Australia,3.4,AJ Finch,J Little,0,{},{}
1st innings,Australia,3.5,AJ Finch,J Little,4,{},{}
1st innings,Australia,3.6,AJ Finch,J Little,0,{},{}
1st innings,Australia,4.1,MR Marsh,MR Adair,0,{},{}
1st innings,Australia,4.2,MR Marsh,MR Adair,1,{},{}
1st innings,Australia,4.3,AJ Finch,MR Adair,2,{},{}
1st innings,Australia,4.4,AJ Finch,MR Adair,6,{},{}
1st innings,Australia,4.5,AJ Finch,MR Adair,0,{},{}
1st innings,Australia,4.6,AJ Finch,MR Adair,1,{'wides': 1},{}
1st innings,Australia,4.7,AJ Finch,MR Adair,4,{},{}
1st innings,Australia,5.1,MR Marsh,GJ Delany,4,{},{}
1st innings,Australia,5.2,MR Marsh,GJ Delany,0,{},{}
1st innings,Australia,5.3,MR Marsh,GJ Delany,0,{},{}
1st innings,Australia,5.4,MR Marsh,GJ Delany,0,{},{}
1st innings,Australia,5.5,MR Marsh,GJ Delany,0,{},{}
1st innings,Australia,5.6,MR Marsh,GJ Delany,0,{},{}
1st innings,Australia,6.1,AJ Finch,F Hand,1,{},{}
1st innings,Australia,6.2,MR Marsh,F Hand,0,{},{}
1st innings,Australia,6.3,MR Marsh,F Hand,6,{},{}
1st innings,Australia,6.4,MR Marsh,F Hand,0,{},{}
1st innings,Australia,6.5,MR Marsh,F Hand,1,{'wides': 1},{}
1st innings,Australia,6.6,MR Marsh,F Hand,6,{},{}
1st innings,Australia,6.7,MR Marsh,F Hand,1,{},{}
1st innings,Australia,7.1,MR Marsh,GH Dockrell,1,{},{}
1st innings,Australia,7.2,AJ Finch,GH Dockrell,2,{},{}
1st innings,Australia,7.3,AJ Finch,GH Dockrell,0,{},{}
1st innings,Australia,7.4,AJ Finch,GH Dockrell,1,{},{}
1st innings,Australia,7.5,MR Marsh,GH Dockrell,2,{},{}
1st innings,Australia,7.6,MR Marsh,GH Dockrell,1,{},{}
1st innings,Australia,8.1,MR Marsh,BJ McCarthy,0,{},"{'player_out': 'MR Marsh', 'fielders': ['L Tucker'], 'kind': 'caught'}"
1st innings,Australia,8.2,GJ Maxwell,BJ McCarthy,2,{},{}
1st innings,Australia,8.3,GJ Maxwell,BJ McCarthy,2,{},{}
1st innings,Australia,8.4,GJ Maxwell,BJ McCarthy,2,{},{}
1st innings,Australia,8.5,GJ Maxwell,BJ McCarthy,1,{},{}
1st innings,Australia,8.6,AJ Finch,BJ McCarthy,1,{},{}
1st innings,Australia,9.1,AJ Finch,GJ Delany,1,{},{}
1st innings,Australia,9.2,GJ Maxwell,GJ Delany,0,{},{}
1st innings,Australia,9.3,GJ Maxwell,GJ Delany,0,{},{}
1st innings,Australia,9.4,GJ Maxwell,GJ Delany,0,{},{}
1st innings,Australia,9.5,GJ Maxwell,GJ Delany,2,{'wides': 2},{}
1st innings,Australia,9.6,AJ Finch,GJ Delany,1,{'legbyes': 1},{}
1st innings,Australia,9.7,GJ Maxwell,GJ Delany,6,{},{}
1st innings,Australia,10.1,AJ Finch,J Little,0,{},{}
1st innings,Australia,10.2,AJ Finch,J Little,0,{},{}
1st innings,Australia,10.3,AJ Finch,J Little,4,{},{}
1st innings,Australia,10.4,AJ Finch,J Little,1,{},{}
1st innings,Australia,10.5,GJ Maxwell,J Little,1,{'wides': 1},{}
1st innings,Australia,10.6,GJ Maxwell,J Little,0,{},"{'player_out': 'GJ Maxwell', 'fielders': ['L Tucker'], 'kind': 'caught'}"
1st innings,Australia,10.7,MP Stoinis,J Little,0,{},{}
1st innings,Australia,11.1,AJ Finch,GH Dockrell,0,{},{}
1st innings,Australia,11.2,AJ Finch,GH Dockrell,1,{},{}
1st innings,Australia,11.3,MP Stoinis,GH Dockrell,0,{},{}
1st innings,Australia,11.4,MP Stoinis,GH Dockrell,1,{},{}
1st innings,Australia,11.5,AJ Finch,GH Dockrell,0,{},{}
1st innings,Australia,11.6,AJ Finch,GH Dockrell,1,{},{}
1st innings,Australia,12.1,AJ Finch,BJ McCarthy,0,{},{}
1st innings,Australia,12.2,AJ Finch,BJ McCarthy,1,{'wides': 1},{}
1st innings,Australia,12.3,AJ Finch,BJ McCarthy,0,{},{}
1st innings,Australia,12.4,AJ Finch,BJ McCarthy,1,{},{}
1st innings,Australia,12.5,MP Stoinis,BJ McCarthy,1,{},{}
1st innings,Australia,12.6,AJ Finch,BJ McCarthy,1,{},{}
1st innings,Australia,12.7,MP Stoinis,BJ McCarthy,1,{},{}
1st innings,Australia,13.1,MP Stoinis,GJ Delany,0,{},{}
1st innings,Australia,13.2,MP Stoinis,GJ Delany,4,{},{}
1st innings,Australia,13.3,MP Stoinis,GJ Delany,2,{},{}
1st innings,Australia,13.4,MP Stoinis,GJ Delany,6,{},{}
1st innings,Australia,13.5,MP Stoinis,GJ Delany,1,{},{}
1st innings,Australia,13.6,AJ Finch,GJ Delany,1,{'wides': 1},{}
1st innings,Australia,13.7,AJ Finch,GJ Delany,2,{},{}
1st innings,Australia,14.1,MP Stoinis,MR Adair,4,{},{}
1st innings,Australia,14.2,MP Stoinis,MR Adair,1,{'wides': 1},{}
1st innings,Australia,14.3,MP Stoinis,MR Adair,2,{},{}
1st innings,Australia,14.4,MP Stoinis,MR Adair,4,{},{}
1st innings,Australia,14.5,MP Stoinis,MR Adair,1,{},{}
1st innings,Australia,14.6,AJ Finch,MR Adair,1,{'wides': 1},{}
1st innings,Australia,14.7,AJ Finch,MR Adair,1,{'wides': 1},{}
1st innings,Australia,14.8,AJ Finch,MR Adair,1,{'wides': 1},{}
1st innings,Australia,14.9,AJ Finch,MR Adair,4,{},{}
1st innings,Australia,14.1,AJ Finch,MR Adair,1,{'wides': 1},{}
1st innings,Australia,14.11,AJ Finch,MR Adair,6,{},{}
1st innings,Australia,15.1,MP Stoinis,GH Dockrell,2,{},{}
1st innings,Australia,15.2,MP Stoinis,GH Dockrell,1,{},{}
1st innings,Australia,15.3,AJ Finch,GH Dockrell,1,{},{}
1st innings,Australia,15.4,MP Stoinis,GH Dockrell,1,{},{}
1st innings,Australia,15.5,AJ Finch,GH Dockrell,0,{},{}
1st innings,Australia,15.6,AJ Finch,GH Dockrell,6,{},{}
1st innings,Australia,16.1,MP Stoinis,BJ McCarthy,2,{},{}
1st innings,Australia,16.2,MP Stoinis,BJ McCarthy,1,{},{}
1st innings,Australia,16.3,AJ Finch,BJ McCarthy,2,{},{}
1st innings,Australia,16.4,AJ Finch,BJ McCarthy,4,{},{}
1st innings,Australia,16.5,AJ Finch,BJ McCarthy,0,{},"{'player_out': 'AJ Finch', 'fielders': ['MR Adair'], 'kind': 'caught'}"
1st innings,Australia,16.6,TH David,BJ McCarthy,1,{},{}
1st innings,Australia,17.1,TH David,GH Dockrell,1,{},{}
1st innings,Australia,17.2,MP Stoinis,GH Dockrell,0,{},{}
1st innings,Australia,17.3,MP Stoinis,GH Dockrell,1,{},{}
1st innings,Australia,17.4,TH David,GH Dockrell,1,{},{}
1st innings,Australia,17.5,MP Stoinis,GH Dockrell,0,{},{}
1st innings,Australia,17.6,MP Stoinis,GH Dockrell,0,{},{}
1st innings,Australia,18.1,TH David,J Little,1,{'wides': 1},{}
1st innings,Australia,18.2,TH David,J Little,0,{},{}
1st innings,Australia,18.3,TH David,J Little,1,{},{}
1st innings,Australia,18.4,MP Stoinis,J Little,0,{},{}
1st innings,Australia,18.5,MP Stoinis,J Little,0,{},"{'player_out': 'MP Stoinis', 'fielders': ['GH Dockrell'], 'kind': 'caught'}"
1st innings,Australia,18.6,MS Wade,J Little,1,{},{}
1st innings,Australia,18.7,TH David,J Little,1,{},{}
1st innings,Australia,19.1,TH David,MR Adair,4,{},{}
1st innings,Australia,19.2,TH David,MR Adair,2,{},{}
1st innings,Australia,19.3,TH David,MR Adair,4,{},{}
1st innings,Australia,19.4,TH David,MR Adair,1,{'legbyes': 1},{}
1st innings,Australia,19.5,MS Wade,MR Adair,4,{},{}
1st innings,Australia,19.6,MS Wade,MR Adair,2,{},{}
2nd innings,Ireland,0.1,PR Stirling,JR Hazlewood,1,{},{}
2nd innings,Ireland,0.2,A Balbirnie,JR Hazlewood,0,{},{}
2nd innings,Ireland,0.3,A Balbirnie,JR Hazlewood,0,{},{}
2nd innings,Ireland,0.4,A Balbirnie,JR Hazlewood,0,{},{}
2nd innings,Ireland,0.5,A Balbirnie,JR Hazlewood,6,{},{}
2nd innings,Ireland,0.6,A Balbirnie,JR Hazlewood,0,{},{}
2nd innings,Ireland,1.1,PR Stirling,PJ Cummins,0,{},{}
2nd innings,Ireland,1.2,PR Stirling,PJ Cummins,4,{},{}
2nd innings,Ireland,1.3,PR Stirling,PJ Cummins,6,{},{}
2nd innings,Ireland,1.4,PR Stirling,PJ Cummins,1,{'legbyes': 1},{}
2nd innings,Ireland,1.5,A Balbirnie,PJ Cummins,0,{},{}
2nd innings,Ireland,1.6,A Balbirnie,PJ Cummins,0,{},"{'player_out': 'A Balbirnie', 'kind': 'bowled'}"
2nd innings,Ireland,2.1,PR Stirling,GJ Maxwell,0,{},{}
2nd innings,Ireland,2.2,PR Stirling,GJ Maxwell,0,{},"{'player_out': 'PR Stirling', 'fielders': ['PJ Cummins'], 'kind': 'caught'}"
2nd innings,Ireland,2.3,HT Tector,GJ Maxwell,0,{},{}
2nd innings,Ireland,2.4,HT Tector,GJ Maxwell,2,{},{}
2nd innings,Ireland,2.5,HT Tector,GJ Maxwell,4,{},{}
2nd innings,Ireland,2.6,HT Tector,GJ Maxwell,0,{},"{'player_out': 'HT Tector', 'fielders': ['SPD Smith (sub)'], 'kind': 'caught'}"
2nd innings,Ireland,3.1,L Tucker,MA Starc,1,{'legbyes': 1},{}
2nd innings,Ireland,3.2,C Campher,MA Starc,0,{},"{'player_out': 'C Campher', 'kind': 'bowled'}"
2nd innings,Ireland,3.3,GH Dockrell,MA Starc,0,{},{}
2nd innings,Ireland,3.4,GH Dockrell,MA Starc,0,{},{}
2nd innings,Ireland,3.5,GH Dockrell,MA Starc,0,{},{}
2nd innings,Ireland,3.6,GH Dockrell,MA Starc,0,{},"{'player_out': 'GH Dockrell', 'kind': 'bowled'}"
2nd innings,Ireland,4.1,L Tucker,PJ Cummins,0,{},{}
2nd innings,Ireland,4.2,L Tucker,PJ Cummins,4,{},{}
2nd innings,Ireland,4.3,L Tucker,PJ Cummins,0,{},{}
2nd innings,Ireland,4.4,L Tucker,PJ Cummins,2,{},{}
2nd innings,Ireland,4.5,L Tucker,PJ Cummins,1,{'wides': 1},{}
2nd innings,Ireland,4.6,L Tucker,PJ Cummins,0,{},{}
2nd innings,Ireland,4.7,L Tucker,PJ Cummins,3,{},{}
2nd innings,Ireland,5.1,L Tucker,MA Starc,4,{},{}
2nd innings,Ireland,5.2,L Tucker,MA Starc,4,{},{}
2nd innings,Ireland,5.3,L Tucker,MA Starc,0,{},{}
2nd innings,Ireland,5.4,L Tucker,MA Starc,1,{'noballs': 1},{}
2nd innings,Ireland,5.5,L Tucker,MA Starc,0,{},{}
2nd innings,Ireland,5.6,L Tucker,MA Starc,1,{'byes': 1},{}
2nd innings,Ireland,5.7,GJ Delany,MA Starc,4,{},{}
2nd innings,Ireland,6.1,L Tucker,GJ Maxwell,1,{},{}
2nd innings,Ireland,6.2,GJ Delany,GJ Maxwell,1,{},{}
2nd innings,Ireland,6.3,L Tucker,GJ Maxwell,0,{},{}
2nd innings,Ireland,6.4,L Tucker,GJ Maxwell,1,{},{}
2nd innings,Ireland,6.5,GJ Delany,GJ Maxwell,4,{},{}
2nd innings,Ireland,6.6,GJ Delany,GJ Maxwell,1,{},{}
2nd innings,Ireland,7.1,GJ Delany,JR Hazlewood,1,{},{}
2nd innings,Ireland,7.2,L Tucker,JR Hazlewood,1,{},{}
2nd innings,Ireland,7.3,GJ Delany,JR Hazlewood,1,{},{}
2nd innings,Ireland,7.4,L Tucker,JR Hazlewood,0,{},{}
2nd innings,Ireland,7.5,L Tucker,JR Hazlewood,1,{'wides': 1},{}
2nd innings,Ireland,7.6,L Tucker,JR Hazlewood,1,{},{}
2nd innings,Ireland,7.7,GJ Delany,JR Hazlewood,0,{},{}
2nd innings,Ireland,8.1,L Tucker,A Zampa,1,{},{}
2nd innings,Ireland,8.2,GJ Delany,A Zampa,1,{},{}
2nd innings,Ireland,8.3,L Tucker,A Zampa,0,{},{}
2nd innings,Ireland,8.4,L Tucker,A Zampa,1,{},{}
2nd innings,Ireland,8.5,GJ Delany,A Zampa,1,{},{}
2nd innings,Ireland,8.6,L Tucker,A Zampa,1,{},{}
2nd innings,Ireland,9.1,L Tucker,MP Stoinis,1,{},{}
2nd innings,Ireland,9.2,GJ Delany,MP Stoinis,0,{},"{'player_out': 'GJ Delany', 'fielders': ['GJ Maxwell'], 'kind': 'caught'}"
2nd innings,Ireland,9.3,MR Adair,MP Stoinis,2,{},{}
2nd innings,Ireland,9.4,MR Adair,MP Stoinis,2,{},{}
2nd innings,Ireland,9.5,MR Adair,MP Stoinis,0,{},{}
2nd innings,Ireland,9.6,MR Adair,MP Stoinis,1,{},{}
2nd innings,Ireland,10.1,MR Adair,A Zampa,0,{},{}
2nd innings,Ireland,10.2,MR Adair,A Zampa,0,{},{}
2nd innings,Ireland,10.3,MR Adair,A Zampa,4,{},{}
2nd innings,Ireland,10.4,MR Adair,A Zampa,0,{},{}
2nd innings,Ireland,10.5,MR Adair,A Zampa,1,{},{}
2nd innings,Ireland,10.6,L Tucker,A Zampa,0,{},{}
2nd innings,Ireland,11.1,MR Adair,MA Starc,1,{},{}
2nd innings,Ireland,11.2,L Tucker,MA Starc,4,{},{}
2nd innings,Ireland,11.3,L Tucker,MA Starc,4,{},{}
2nd innings,Ireland,11.4,L Tucker,MA Starc,0,{},{}
2nd innings,Ireland,11.5,L Tucker,MA Starc,2,{},{}
2nd innings,Ireland,11.6,L Tucker,MA Starc,1,{},{}
2nd innings,Ireland,12.1,L Tucker,A Zampa,1,{},{}
2nd innings,Ireland,12.2,MR Adair,A Zampa,0,{},"{'player_out': 'MR Adair', 'fielders': ['MS Wade'], 'kind': 'stumped'}"
2nd innings,Ireland,12.3,F Hand,A Zampa,0,{},{}
2nd innings,Ireland,12.4,F Hand,A Zampa,1,{},{}
2nd innings,Ireland,12.5,L Tucker,A Zampa,2,{},{}
2nd innings,Ireland,12.6,L Tucker,A Zampa,1,{},{}
2nd innings,Ireland,13.1,L Tucker,PJ Cummins,0,{},{}
2nd innings,Ireland,13.2,L Tucker,PJ Cummins,1,{},{}
2nd innings,Ireland,13.3,F Hand,PJ Cummins,1,{},{}
2nd innings,Ireland,13.4,L Tucker,PJ Cummins,1,{},{}
2nd innings,Ireland,13.5,F Hand,PJ Cummins,0,{},{}
2nd innings,Ireland,13.6,F Hand,PJ Cummins,4,{},{}
2nd innings,Ireland,14.1,L Tucker,A Zampa,1,{},{}
2nd innings,Ireland,14.2,F Hand,A Zampa,0,{},"{'player_out': 'F Hand', 'kind': 'bowled'}"
2nd innings,Ireland,14.3,BJ McCarthy,A Zampa,0,{},{}
2nd innings,Ireland,14.4,BJ McCarthy,A Zampa,1,{},{}
2nd innings,Ireland,14.5,L Tucker,A Zampa,1,{},{}
2nd innings,Ireland,14.6,BJ McCarthy,A Zampa,1,{},{}
2nd innings,Ireland,15.1,BJ McCarthy,JR Hazlewood,1,{},{}
2nd innings,Ireland,15.2,L Tucker,JR Hazlewood,0,{},{}
2nd innings,Ireland,15.3,L Tucker,JR Hazlewood,6,{},{}
2nd innings,Ireland,15.4,L Tucker,JR Hazlewood,4,{},{}
2nd innings,Ireland,15.5,L Tucker,JR Hazlewood,1,{},{}
2nd innings,Ireland,15.6,BJ McCarthy,JR Hazlewood,0,{},{}
2nd innings,Ireland,16.1,L Tucker,MA Starc,4,{},{}
2nd innings,Ireland,16.2,L Tucker,MA Starc,4,{},{}
2nd innings,Ireland,16.3,L Tucker,MA Starc,2,{},{}
2nd innings,Ireland,16.4,L Tucker,MA Starc,1,{'wides': 1},{}
2nd innings,Ireland,16.5,L Tucker,MA Starc,0,{},{}
2nd innings,Ireland,16.6,L Tucker,MA Starc,4,{},{}
2nd innings,Ireland,16.7,L Tucker,MA Starc,1,{'wides': 1},{}
2nd innings,Ireland,16.8,L Tucker,MA Starc,2,{},{}
2nd innings,Ireland,17.1,BJ McCarthy,PJ Cummins,0,{},{}
2nd innings,Ireland,17.2,BJ McCarthy,PJ Cummins,0,{},"{'player_out': 'BJ McCarthy', 'fielders': ['SPD Smith (sub)'], 'kind': 'caught'}"
2nd innings,Ireland,17.3,J Little,PJ Cummins,0,{},{}
2nd innings,Ireland,17.4,J Little,PJ Cummins,0,{},{}
2nd innings,Ireland,17.5,J Little,PJ Cummins,0,{},{}
2nd innings,Ireland,17.6,J Little,PJ Cummins,1,{},{}
2nd innings,Ireland,18.1,J Little,GJ Maxwell,0,{},"{'player_out': 'J Little', 'fielders': ['MR Marsh', 'GJ Maxwell'], 'kind': 'run out'}"
