inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,England,0.1,JC Buttler,TA Boult,0,{},{}
1st innings,England,0.2,JC Buttler,TA Boult,3,{},{}
1st innings,England,0.3,AD Hales,TA Boult,0,{},{}
1st innings,England,0.4,AD Hales,TA Boult,0,{},{}
1st innings,England,0.5,AD Hales,TA Boult,4,{},{}
1st innings,England,0.6,AD Hales,TA Boult,2,{},{}
1st innings,England,1.1,JC Buttler,TG Southee,1,{},{}
1st innings,England,1.2,AD Hales,TG Southee,0,{},{}
1st innings,England,1.3,AD Hales,TG Southee,0,{},{}
1st innings,England,1.4,AD Hales,TG Southee,4,{},{}
1st innings,England,1.5,AD Hales,TG Southee,2,{},{}
1st innings,England,1.6,AD Hales,TG Southee,0,{},{}
1st innings,England,2.1,JC Buttler,TA Boult,0,{},{}
1st innings,England,2.2,JC Buttler,TA Boult,0,{},{}
1st innings,England,2.3,JC Buttler,TA Boult,1,{},{}
1st innings,England,2.4,AD Hales,TA Boult,0,{},{}
1st innings,England,2.5,AD Hales,TA Boult,0,{},{}
1st innings,England,2.6,AD Hales,TA Boult,4,{},{}
1st innings,England,3.1,JC Buttler,MJ Santner,1,{},{}
1st innings,England,3.2,AD Hales,MJ Santner,0,{},{}
1st innings,England,3.3,AD Hales,MJ Santner,0,{},{}
1st innings,England,3.4,AD Hales,MJ Santner,0,{},{}
1st innings,England,3.5,AD Hales,MJ Santner,1,{'legbyes': 1},{}
1st innings,England,3.6,JC Buttler,MJ Santner,2,{},{}
1st innings,England,4.1,AD Hales,TG Southee,6,{},{}
1st innings,England,4.2,AD Hales,TG Southee,0,{},{}
1st innings,England,4.3,AD Hales,TG Southee,4,{},{}
1st innings,England,4.4,AD Hales,TG Southee,4,{},{}
1st innings,England,4.5,AD Hales,TG Southee,0,{},{}
1st innings,England,4.6,AD Hales,TG Southee,1,{},{}
1st innings,England,5.1,AD Hales,MJ Santner,4,{},{}
1st innings,England,5.2,AD Hales,MJ Santner,1,{},{}
1st innings,England,5.3,JC Buttler,MJ Santner,0,{},{}
1st innings,England,5.4,JC Buttler,MJ Santner,1,{},{}
1st innings,England,5.5,AD Hales,MJ Santner,1,{},{}
1st innings,England,5.6,JC Buttler,MJ Santner,1,{},{}
1st innings,England,6.1,JC Buttler,LH Ferguson,1,{},{}
1st innings,England,6.2,AD Hales,LH Ferguson,1,{},{}
1st innings,England,6.3,JC Buttler,LH Ferguson,6,{},{}
1st innings,England,6.4,JC Buttler,LH Ferguson,1,{},{}
1st innings,England,6.5,AD Hales,LH Ferguson,0,{},{}
1st innings,England,6.6,AD Hales,LH Ferguson,1,{},{}
1st innings,England,7.1,AD Hales,IS Sodhi,0,{},{}
1st innings,England,7.2,AD Hales,IS Sodhi,1,{},{}
1st innings,England,7.3,JC Buttler,IS Sodhi,1,{'legbyes': 1},{}
1st innings,England,7.4,AD Hales,IS Sodhi,1,{},{}
1st innings,England,7.5,JC Buttler,IS Sodhi,0,{},{}
1st innings,England,7.6,JC Buttler,IS Sodhi,0,{},{}
1st innings,England,8.1,AD Hales,MJ Santner,2,{},{}
1st innings,England,8.2,AD Hales,MJ Santner,0,{},{}
