inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Zimbabwe,0.1,W Madhevere,FJ Klaassen,0,{},{}
1st innings,Zimbabwe,0.2,W Madhevere,FJ Klaassen,0,{},{}
1st innings,Zimbabwe,0.3,W Madhevere,FJ Klaassen,1,{'wides': 1},{}
1st innings,Zimbabwe,0.4,W Madhevere,FJ Klaassen,1,{},{}
1st innings,Zimbabwe,0.5,CR Ervine,FJ Klaassen,0,{},{}
1st innings,Zimbabwe,0.6,CR Ervine,FJ Klaassen,1,{},{}
1st innings,Zimbabwe,0.7,W Madhevere,FJ Klaassen,0,{},{}
1st innings,Zimbabwe,1.1,CR Ervine,PA van Meekeren,5,{'wides': 5},{}
1st innings,Zimbabwe,1.2,CR Ervine,PA van Meekeren,0,{},{}
1st innings,Zimbabwe,1.3,CR Ervine,PA van Meekeren,1,{},{}
1st innings,Zimbabwe,1.4,W Madhevere,PA van Meekeren,0,{},"{'player_out': 'W Madhevere', 'kind': 'bowled'}"
1st innings,Zimbabwe,1.5,RW Chakabva,PA van Meekeren,0,{},{}
1st innings,Zimbabwe,1.6,RW Chakabva,PA van Meekeren,0,{},{}
1st innings,Zimbabwe,1.7,RW Chakabva,PA van Meekeren,4,{},{}
1st innings,Zimbabwe,2.1,CR Ervine,FJ Klaassen,0,{},{}
1st innings,Zimbabwe,2.2,CR Ervine,FJ Klaassen,1,{},{}
1st innings,Zimbabwe,2.3,RW Chakabva,FJ Klaassen,0,{},{}
1st innings,Zimbabwe,2.4,RW Chakabva,FJ Klaassen,0,{},{}
1st innings,Zimbabwe,2.5,RW Chakabva,FJ Klaassen,0,{},{}
1st innings,Zimbabwe,2.6,RW Chakabva,FJ Klaassen,0,{},{}
1st innings,Zimbabwe,3.1,CR Ervine,BD Glover,0,{},{}
1st innings,Zimbabwe,3.2,CR Ervine,BD Glover,0,{},{}
1st innings,Zimbabwe,3.3,CR Ervine,BD Glover,0,{},{}
1st innings,Zimbabwe,3.4,CR Ervine,BD Glover,0,{},{}
1st innings,Zimbabwe,3.5,CR Ervine,BD Glover,0,{},{}
1st innings,Zimbabwe,3.6,CR Ervine,BD Glover,0,{},"{'player_out': 'CR Ervine', 'fielders': ['SA Edwards'], 'kind': 'caught'}"
1st innings,Zimbabwe,4.1,RW Chakabva,FJ Klaassen,1,{},{}
1st innings,Zimbabwe,4.2,SC Williams,FJ Klaassen,0,{},{}
1st innings,Zimbabwe,4.3,SC Williams,FJ Klaassen,3,{},{}
1st innings,Zimbabwe,4.4,RW Chakabva,FJ Klaassen,0,{},{}
1st innings,Zimbabwe,4.5,RW Chakabva,FJ Klaassen,0,{},{}
1st innings,Zimbabwe,4.6,RW Chakabva,FJ Klaassen,0,{},{}
1st innings,Zimbabwe,5.1,SC Williams,BD Glover,1,{'legbyes': 1},{}
1st innings,Zimbabwe,5.2,RW Chakabva,BD Glover,1,{'wides': 1},{}
1st innings,Zimbabwe,5.3,RW Chakabva,BD Glover,0,{},{}
1st innings,Zimbabwe,5.4,RW Chakabva,BD Glover,0,{},{}
1st innings,Zimbabwe,5.5,RW Chakabva,BD Glover,0,{},{}
1st innings,Zimbabwe,5.6,RW Chakabva,BD Glover,0,{},{}
1st innings,Zimbabwe,5.7,RW Chakabva,BD Glover,0,{},"{'player_out': 'RW Chakabva', 'kind': 'lbw'}"
1st innings,Zimbabwe,6.1,SC Williams,PA van Meekeren,4,{},{}
1st innings,Zimbabwe,6.2,SC Williams,PA van Meekeren,2,{},{}
1st innings,Zimbabwe,6.3,SC Williams,PA van Meekeren,0,{},{}
1st innings,Zimbabwe,6.4,SC Williams,PA van Meekeren,2,{},{}
1st innings,Zimbabwe,6.5,SC Williams,PA van Meekeren,1,{},{}
1st innings,Zimbabwe,6.6,Sikandar Raza,PA van Meekeren,1,{'wides': 1},{}
1st innings,Zimbabwe,6.7,Sikandar Raza,PA van Meekeren,0,{},{}
1st innings,Zimbabwe,7.1,SC Williams,LV van Beek,0,{},{}
