inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Pakistan,0.1,Mohammad Rizwan,WD Parnell,0,{},{}
1st innings,Pakistan,0.2,Mohammad Rizwan,WD Parnell,4,{},{}
1st innings,Pakistan,0.3,Mohammad Rizwan,WD Parnell,0,{},{}
1st innings,Pakistan,0.4,Mohammad Rizwan,WD Parnell,0,{},"{'player_out': 'Mohammad Rizwan', 'kind': 'bowled'}"
1st innings,Pakistan,0.5,Mohammad Haris,WD Parnell,0,{},{}
1st innings,Pakistan,0.6,Mohammad Haris,WD Parnell,0,{},{}
1st innings,Pakistan,1.1,Babar Azam,K Rabada,0,{},{}
1st innings,Pakistan,1.2,Babar Azam,K Rabada,0,{},{}
1st innings,Pakistan,1.3,Babar Azam,K Rabada,1,{},{}
1st innings,Pakistan,1.4,Mohammad Haris,K Rabada,6,{},{}
1st innings,Pakistan,1.5,Mohammad Haris,K Rabada,6,{},{}
1st innings,Pakistan,1.6,Mohammad Haris,K Rabada,4,{},{}
1st innings,Pakistan,2.1,Babar Azam,WD Parnell,0,{},{}
1st innings,Pakistan,2.2,Babar Azam,WD Parnell,0,{},{}
1st innings,Pakistan,2.3,Babar Azam,WD Parnell,0,{},{}
1st innings,Pakistan,2.4,Babar Azam,WD Parnell,1,{},{}
1st innings,Pakistan,2.5,Mohammad Haris,WD Parnell,4,{},{}
1st innings,Pakistan,2.6,Mohammad Haris,WD Parnell,1,{},{}
1st innings,Pakistan,3.1,Mohammad Haris,L Ngidi,1,{},{}
1st innings,Pakistan,3.2,Babar Azam,L Ngidi,0,{},{}
1st innings,Pakistan,3.3,Babar Azam,L Ngidi,0,{},{}
1st innings,Pakistan,3.4,Babar Azam,L Ngidi,2,{},{}
1st innings,Pakistan,3.5,Babar Azam,L Ngidi,0,{},{}
1st innings,Pakistan,3.6,Babar Azam,L Ngidi,1,{},{}
1st innings,Pakistan,4.1,Babar Azam,A Nortje,1,{},{}
1st innings,Pakistan,4.2,Mohammad Haris,A Nortje,0,{},{}
1st innings,Pakistan,4.3,Mohammad Haris,A Nortje,6,{},{}
1st innings,Pakistan,4.4,Mohammad Haris,A Nortje,0,{},"{'player_out': 'Mohammad Haris', 'kind': 'lbw'}"
1st innings,Pakistan,4.5,Shan Masood,A Nortje,0,{},{}
1st innings,Pakistan,4.6,Shan Masood,A Nortje,2,{},{}
1st innings,Pakistan,5.1,Babar Azam,L Ngidi,0,{},{}
1st innings,Pakistan,5.2,Babar Azam,L Ngidi,0,{},"{'player_out': 'Babar Azam', 'fielders': ['K Rabada'], 'kind': 'caught'}"
1st innings,Pakistan,5.3,Iftikhar Ahmed,L Ngidi,0,{},{}
1st innings,Pakistan,5.4,Iftikhar Ahmed,L Ngidi,1,{},{}
1st innings,Pakistan,5.5,Shan Masood,L Ngidi,1,{'wides': 1},{}
1st innings,Pakistan,5.6,Shan Masood,L Ngidi,0,{},{}
1st innings,Pakistan,5.7,Shan Masood,L Ngidi,0,{},{}
1st innings,Pakistan,6.1,Iftikhar Ahmed,A Nortje,1,{},{}
1st innings,Pakistan,6.2,Shan Masood,A Nortje,0,{},{}
1st innings,Pakistan,6.3,Shan Masood,A Nortje,0,{},"{'player_out': 'Shan Masood', 'fielders': ['T Bavuma'], 'kind': 'caught'}"
1st innings,Pakistan,6.4,Mohammad Nawaz,A Nortje,0,{},{}
1st innings,Pakistan,6.5,Mohammad Nawaz,A Nortje,0,{},{}
1st innings,Pakistan,6.6,Mohammad Nawaz,A Nortje,0,{},{}
1st innings,Pakistan,7.1,Iftikhar Ahmed,K Rabada,1,{},{}
1st innings,Pakistan,7.2,Mohammad Nawaz,K Rabada,0,{},{}
1st innings,Pakistan,7.3,Mohammad Nawaz,K Rabada,4,{},{}
1st innings,Pakistan,7.4,Mohammad Nawaz,K Rabada,1,{},{}
1st innings,Pakistan,7.5,Iftikhar Ahmed,K Rabada,1,{},{}
1st innings,Pakistan,7.6,Mohammad Nawaz,K Rabada,0,{},{}
1st innings,Pakistan,8.1,Iftikhar Ahmed,T Shamsi,0,{},{}
1st innings,Pakistan,8.2,Iftikhar Ahmed,T Shamsi,1,{},{}
1st innings,Pakistan,8.3,Mohammad Nawaz,T Shamsi,1,{},{}
1st innings,Pakistan,8.4,Iftikhar Ahmed,T Shamsi,1,{},{}
1st innings,Pakistan,8.5,Mohammad Nawaz,T Shamsi,1,{},{}
1st innings,Pakistan,8.6,Iftikhar Ahmed,T Shamsi,1,{},{}
1st innings,Pakistan,9.1,Iftikhar Ahmed,K Rabada,4,{},{}
1st innings,Pakistan,9.2,Iftikhar Ahmed,K Rabada,2,{},{}
1st innings,Pakistan,9.3,Iftikhar Ahmed,K Rabada,4,{},{}
1st innings,Pakistan,9.4,Iftikhar Ahmed,K Rabada,1,{},{}
1st innings,Pakistan,9.5,Mohammad Nawaz,K Rabada,1,{'legbyes': 1},{}
1st innings,Pakistan,9.6,Iftikhar Ahmed,K Rabada,1,{},{}
1st innings,Pakistan,10.1,Iftikhar Ahmed,T Shamsi,1,{},{}
1st innings,Pakistan,10.2,Mohammad Nawaz,T Shamsi,0,{},{}
1st innings,Pakistan,10.3,Mohammad Nawaz,T Shamsi,1,{},{}
1st innings,Pakistan,10.4,Iftikhar Ahmed,T Shamsi,0,{},{}
1st innings,Pakistan,10.5,Iftikhar Ahmed,T Shamsi,0,{},{}
1st innings,Pakistan,10.6,Iftikhar Ahmed,T Shamsi,1,{},{}
1st innings,Pakistan,11.1,Iftikhar Ahmed,L Ngidi,1,{},{}
1st innings,Pakistan,11.2,Mohammad Nawaz,L Ngidi,0,{},{}
1st innings,Pakistan,11.3,Mohammad Nawaz,L Ngidi,0,{},{}
1st innings,Pakistan,11.4,Mohammad Nawaz,L Ngidi,2,{},{}
