inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,New Zealand,0.1,FH Allen,J Little,1,{},{}
1st innings,New Zealand,0.2,DP Conway,J Little,1,{},{}
1st innings,New Zealand,0.3,FH Allen,J Little,0,{},{}
1st innings,New Zealand,0.4,FH Allen,J Little,0,{},{}
1st innings,New Zealand,0.5,FH Allen,J Little,0,{},{}
1st innings,New Zealand,0.6,FH Allen,J Little,2,{},{}
1st innings,New Zealand,1.1,DP Conway,MR Adair,4,{'legbyes': 4},{}
1st innings,New Zealand,1.2,DP Conway,MR Adair,0,{},{}
1st innings,New Zealand,1.3,DP Conway,MR Adair,0,{},{}
1st innings,New Zealand,1.4,DP Conway,MR Adair,0,{},{}
1st innings,New Zealand,1.5,DP Conway,MR Adair,3,{},{}
1st innings,New Zealand,1.6,FH Allen,MR Adair,0,{},{}
1st innings,New Zealand,2.1,DP Conway,BJ McCarthy,1,{},{}
1st innings,New Zealand,2.2,FH Allen,BJ McCarthy,1,{},{}
1st innings,New Zealand,2.3,DP Conway,BJ McCarthy,0,{},{}
1st innings,New Zealand,2.4,DP Conway,BJ McCarthy,0,{},{}
1st innings,New Zealand,2.5,DP Conway,BJ McCarthy,1,{'legbyes': 1},{}
1st innings,New Zealand,2.6,FH Allen,BJ McCarthy,2,{},{}
1st innings,New Zealand,3.1,DP Conway,GJ Delany,1,{},{}
1st innings,New Zealand,3.2,FH Allen,GJ Delany,4,{},{}
1st innings,New Zealand,3.3,FH Allen,GJ Delany,0,{},{}
1st innings,New Zealand,3.4,FH Allen,GJ Delany,4,{},{}
1st innings,New Zealand,3.5,FH Allen,GJ Delany,4,{},{}
1st innings,New Zealand,3.6,FH Allen,GJ Delany,0,{},{}
1st innings,New Zealand,4.1,DP Conway,J Little,0,{},{}
1st innings,New Zealand,4.2,DP Conway,J Little,0,{},{}
1st innings,New Zealand,4.3,DP Conway,J Little,1,{},{}
1st innings,New Zealand,4.4,FH Allen,J Little,1,{'legbyes': 1},{}
1st innings,New Zealand,4.5,DP Conway,J Little,1,{'legbyes': 1},{}
1st innings,New Zealand,4.6,FH Allen,J Little,4,{},{}
1st innings,New Zealand,5.1,DP Conway,MR Adair,4,{},{}
1st innings,New Zealand,5.2,DP Conway,MR Adair,1,{},{}
1st innings,New Zealand,5.3,FH Allen,MR Adair,1,{'wides': 1},{}
1st innings,New Zealand,5.4,FH Allen,MR Adair,6,{},{}
1st innings,New Zealand,5.5,FH Allen,MR Adair,4,{},{}
1st innings,New Zealand,5.6,FH Allen,MR Adair,0,{},"{'player_out': 'FH Allen', 'fielders': ['F Hand'], 'kind': 'caught'}"
1st innings,New Zealand,5.7,KS Williamson,MR Adair,0,{},{}
1st innings,New Zealand,6.1,DP Conway,F Hand,1,{},{}
1st innings,New Zealand,6.2,KS Williamson,F Hand,0,{},{}
1st innings,New Zealand,6.3,KS Williamson,F Hand,1,{},{}
1st innings,New Zealand,6.4,DP Conway,F Hand,0,{},{}
1st innings,New Zealand,6.5,DP Conway,F Hand,1,{},{}
1st innings,New Zealand,6.6,KS Williamson,F Hand,1,{},{}
1st innings,New Zealand,7.1,KS Williamson,GJ Delany,0,{},{}
1st innings,New Zealand,7.2,KS Williamson,GJ Delany,0,{},{}
1st innings,New Zealand,7.3,KS Williamson,GJ Delany,1,{},{}
1st innings,New Zealand,7.4,DP Conway,GJ Delany,1,{},{}
1st innings,New Zealand,7.5,KS Williamson,GJ Delany,1,{},{}
1st innings,New Zealand,7.6,DP Conway,GJ Delany,0,{},{}
1st innings,New Zealand,8.1,KS Williamson,BJ McCarthy,4,{},{}
1st innings,New Zealand,8.2,KS Williamson,BJ McCarthy,1,{},{}
1st innings,New Zealand,8.3,DP Conway,BJ McCarthy,1,{},{}
1st innings,New Zealand,8.4,KS Williamson,BJ McCarthy,1,{},{}
1st innings,New Zealand,8.5,DP Conway,BJ McCarthy,1,{},{}
1st innings,New Zealand,8.6,KS Williamson,BJ McCarthy,2,{},{}
1st innings,New Zealand,9.1,DP Conway,GH Dockrell,0,{},{}
1st innings,New Zealand,9.2,DP Conway,GH Dockrell,1,{'wides': 1},{}
1st innings,New Zealand,9.3,DP Conway,GH Dockrell,1,{},{}
1st innings,New Zealand,9.4,KS Williamson,GH Dockrell,1,{},{}
1st innings,New Zealand,9.5,DP Conway,GH Dockrell,0,{},{}
1st innings,New Zealand,9.6,DP Conway,GH Dockrell,1,{'wides': 1},{}
1st innings,New Zealand,9.7,DP Conway,GH Dockrell,1,{},{}
1st innings,New Zealand,9.8,KS Williamson,GH Dockrell,1,{},{}
1st innings,New Zealand,10.1,KS Williamson,F Hand,1,{},{}
1st innings,New Zealand,10.2,DP Conway,F Hand,2,{},{}
1st innings,New Zealand,10.3,DP Conway,F Hand,4,{},{}
1st innings,New Zealand,10.4,DP Conway,F Hand,1,{},{}
1st innings,New Zealand,10.5,KS Williamson,F Hand,4,{},{}
1st innings,New Zealand,10.6,KS Williamson,F Hand,6,{},{}
1st innings,New Zealand,11.1,DP Conway,GJ Delany,1,{'wides': 1},{}
1st innings,New Zealand,11.2,DP Conway,GJ Delany,2,{},{}
1st innings,New Zealand,11.3,DP Conway,GJ Delany,0,{},"{'player_out': 'DP Conway', 'fielders': ['MR Adair'], 'kind': 'caught'}"
1st innings,New Zealand,11.4,GD Phillips,GJ Delany,0,{},{}
1st innings,New Zealand,11.5,GD Phillips,GJ Delany,6,{},{}
1st innings,New Zealand,11.6,GD Phillips,GJ Delany,1,{},{}
1st innings,New Zealand,11.7,KS Williamson,GJ Delany,0,{},{}
1st innings,New Zealand,12.1,GD Phillips,BJ McCarthy,1,{},{}
1st innings,New Zealand,12.2,KS Williamson,BJ McCarthy,1,{},{}
1st innings,New Zealand,12.3,GD Phillips,BJ McCarthy,0,{},{}
1st innings,New Zealand,12.4,GD Phillips,BJ McCarthy,4,{},{}
1st innings,New Zealand,12.5,GD Phillips,BJ McCarthy,4,{},{}
1st innings,New Zealand,12.6,GD Phillips,BJ McCarthy,1,{},{}
1st innings,New Zealand,13.1,GD Phillips,GJ Delany,0,{},"{'player_out': 'GD Phillips', 'fielders': ['GH Dockrell'], 'kind': 'caught'}"
1st innings,New Zealand,13.2,DJ Mitchell,GJ Delany,0,{},{}
1st innings,New Zealand,13.3,DJ Mitchell,GJ Delany,2,{},{}
1st innings,New Zealand,13.4,DJ Mitchell,GJ Delany,0,{},{}
1st innings,New Zealand,13.5,DJ Mitchell,GJ Delany,1,{},{}
1st innings,New Zealand,13.6,KS Williamson,GJ Delany,1,{},{}
1st innings,New Zealand,14.1,KS Williamson,J Little,1,{},{}
1st innings,New Zealand,14.2,DJ Mitchell,J Little,1,{},{}
1st innings,New Zealand,14.3,KS Williamson,J Little,1,{},{}
1st innings,New Zealand,14.4,DJ Mitchell,J Little,1,{},{}
1st innings,New Zealand,14.5,KS Williamson,J Little,1,{},{}
1st innings,New Zealand,14.6,DJ Mitchell,J Little,1,{'wides': 1},{}
1st innings,New Zealand,14.7,DJ Mitchell,J Little,4,{},{}
1st innings,New Zealand,15.1,KS Williamson,GH Dockrell,0,{},{}
1st innings,New Zealand,15.2,KS Williamson,GH Dockrell,4,{},{}
1st innings,New Zealand,15.3,KS Williamson,GH Dockrell,0,{},{}
1st innings,New Zealand,15.4,KS Williamson,GH Dockrell,2,{},{}
1st innings,New Zealand,15.5,KS Williamson,GH Dockrell,4,{},{}
1st innings,New Zealand,15.6,KS Williamson,GH Dockrell,2,{},{}
1st innings,New Zealand,16.1,DJ Mitchell,MR Adair,1,{'wides': 1},{}
1st innings,New Zealand,16.2,DJ Mitchell,MR Adair,1,{},{}
1st innings,New Zealand,16.3,KS Williamson,MR Adair,1,{},{}
