inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Sri Lanka,0.1,P Nissanka,BA Stokes,0,{},{}
1st innings,Sri Lanka,0.2,P Nissanka,BA Stokes,6,{},{}
1st innings,Sri Lanka,0.3,P Nissanka,BA Stokes,1,{},{}
1st innings,Sri Lanka,0.4,BKG Mendis,BA Stokes,0,{},{}
1st innings,Sri Lanka,0.5,BKG Mendis,BA Stokes,1,{},{}
1st innings,Sri Lanka,0.6,P Nissanka,BA Stokes,1,{},{}
1st innings,Sri Lanka,1.1,P Nissanka,CR Woakes,2,{},{}
1st innings,Sri Lanka,1.2,P Nissanka,CR Woakes,1,{},{}
1st innings,Sri Lanka,1.3,BKG Mendis,CR Woakes,1,{},{}
1st innings,Sri Lanka,1.4,P Nissanka,CR Woakes,1,{'legbyes': 1},{}
1st innings,Sri Lanka,1.5,BKG Mendis,CR Woakes,0,{},{}
1st innings,Sri Lanka,1.6,BKG Mendis,CR Woakes,1,{},{}
1st innings,Sri Lanka,2.1,BKG Mendis,MA Wood,6,{},{}
1st innings,Sri Lanka,2.2,BKG Mendis,MA Wood,0,{},{}
1st innings,Sri Lanka,2.3,BKG Mendis,MA Wood,3,{},{}
1st innings,Sri Lanka,2.4,P Nissanka,MA Wood,1,{},{}
1st innings,Sri Lanka,2.5,BKG Mendis,MA Wood,1,{},{}
1st innings,Sri Lanka,2.6,P Nissanka,MA Wood,6,{},{}
1st innings,Sri Lanka,3.1,BKG Mendis,CR Woakes,1,{},{}
1st innings,Sri Lanka,3.2,P Nissanka,CR Woakes,1,{},{}
1st innings,Sri Lanka,3.3,BKG Mendis,CR Woakes,0,{},{}
1st innings,Sri Lanka,3.4,BKG Mendis,CR Woakes,4,{},{}
1st innings,Sri Lanka,3.5,BKG Mendis,CR Woakes,0,{},{}
1st innings,Sri Lanka,3.6,BKG Mendis,CR Woakes,1,{'wides': 1},{}
1st innings,Sri Lanka,3.7,BKG Mendis,CR Woakes,0,{},"{'player_out': 'BKG Mendis', 'fielders': ['LS Livingstone'], 'kind': 'caught'}"
1st innings,Sri Lanka,4.1,P Nissanka,SM Curran,0,{},{}
1st innings,Sri Lanka,4.2,P Nissanka,SM Curran,1,{},{}
1st innings,Sri Lanka,4.3,DM de Silva,SM Curran,1,{},{}
1st innings,Sri Lanka,4.4,P Nissanka,SM Curran,4,{},{}
1st innings,Sri Lanka,4.5,P Nissanka,SM Curran,6,{},{}
1st innings,Sri Lanka,4.6,P Nissanka,SM Curran,1,{},{}
1st innings,Sri Lanka,5.1,P Nissanka,AU Rashid,0,{},{}
1st innings,Sri Lanka,5.2,P Nissanka,AU Rashid,0,{},{}
1st innings,Sri Lanka,5.3,P Nissanka,AU Rashid,0,{},{}
1st innings,Sri Lanka,5.4,P Nissanka,AU Rashid,0,{},{}
1st innings,Sri Lanka,5.5,P Nissanka,AU Rashid,1,{},{}
1st innings,Sri Lanka,5.6,DM de Silva,AU Rashid,1,{},{}
1st innings,Sri Lanka,6.1,DM de Silva,LS Livingstone,1,{},{}
1st innings,Sri Lanka,6.2,P Nissanka,LS Livingstone,1,{},{}
1st innings,Sri Lanka,6.3,DM de Silva,LS Livingstone,0,{},{}
1st innings,Sri Lanka,6.4,DM de Silva,LS Livingstone,1,{},{}
1st innings,Sri Lanka,6.5,P Nissanka,LS Livingstone,2,{},{}
1st innings,Sri Lanka,6.6,P Nissanka,LS Livingstone,6,{},{}
1st innings,Sri Lanka,7.1,DM de Silva,AU Rashid,0,{},{}
1st innings,Sri Lanka,7.2,DM de Silva,AU Rashid,2,{},{}
1st innings,Sri Lanka,7.3,DM de Silva,AU Rashid,1,{},{}
1st innings,Sri Lanka,7.4,P Nissanka,AU Rashid,1,{},{}
1st innings,Sri Lanka,7.5,DM de Silva,AU Rashid,2,{},{}
1st innings,Sri Lanka,7.6,DM de Silva,AU Rashid,0,{},{}
1st innings,Sri Lanka,8.1,P Nissanka,SM Curran,1,{},{}
1st innings,Sri Lanka,8.2,DM de Silva,SM Curran,0,{},"{'player_out': 'DM de Silva', 'fielders': ['BA Stokes'], 'kind': 'caught'}"
1st innings,Sri Lanka,8.3,KIC Asalanka,SM Curran,1,{},{}
1st innings,Sri Lanka,8.4,P Nissanka,SM Curran,1,{},{}
1st innings,Sri Lanka,8.5,KIC Asalanka,SM Curran,0,{},{}
1st innings,Sri Lanka,8.6,KIC Asalanka,SM Curran,1,{},{}
1st innings,Sri Lanka,9.1,KIC Asalanka,MM Ali,1,{},{}
1st innings,Sri Lanka,9.2,P Nissanka,MM Ali,1,{},{}
1st innings,Sri Lanka,9.3,KIC Asalanka,MM Ali,1,{},{}
1st innings,Sri Lanka,9.4,P Nissanka,MM Ali,1,{},{}
1st innings,Sri Lanka,9.5,KIC Asalanka,MM Ali,1,{},{}
1st innings,Sri Lanka,9.6,P Nissanka,MM Ali,0,{},{}
1st innings,Sri Lanka,10.1,KIC Asalanka,BA Stokes,2,{},{}
1st innings,Sri Lanka,10.2,KIC Asalanka,BA Stokes,1,{},{}
1st innings,Sri Lanka,10.3,P Nissanka,BA Stokes,1,{},{}
1st innings,Sri Lanka,10.4,KIC Asalanka,BA Stokes,0,{},"{'player_out': 'KIC Asalanka', 'fielders': ['DJ Malan'], 'kind': 'caught'}"
1st innings,Sri Lanka,10.5,PBB Rajapaksa,BA Stokes,0,{},{}
1st innings,Sri Lanka,10.6,PBB Rajapaksa,BA Stokes,0,{},{}
1st innings,Sri Lanka,11.1,P Nissanka,LS Livingstone,1,{},{}
1st innings,Sri Lanka,11.2,PBB Rajapaksa,LS Livingstone,1,{},{}
1st innings,Sri Lanka,11.3,P Nissanka,LS Livingstone,1,{},{}
1st innings,Sri Lanka,11.4,PBB Rajapaksa,LS Livingstone,0,{},{}
1st innings,Sri Lanka,11.5,PBB Rajapaksa,LS Livingstone,1,{},{}
1st innings,Sri Lanka,11.6,P Nissanka,LS Livingstone,1,{},{}
1st innings,Sri Lanka,12.1,P Nissanka,BA Stokes,0,{},{}
1st innings,Sri Lanka,12.2,P Nissanka,BA Stokes,6,{},{}
1st innings,Sri Lanka,12.3,P Nissanka,BA Stokes,0,{},{}
1st innings,Sri Lanka,12.4,P Nissanka,BA Stokes,1,{},{}
