inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Bangladesh,0.1,Nazmul Hossain Shanto,Shaheen Shah Afridi,0,{},{}
1st innings,Bangladesh,0.2,Nazmul Hossain Shanto,Shaheen Shah Afridi,1,{},{}
1st innings,Bangladesh,0.3,Liton Das,Shaheen Shah Afridi,1,{},{}
1st innings,Bangladesh,0.4,Nazmul Hossain Shanto,Shaheen Shah Afridi,4,{},{}
1st innings,Bangladesh,0.5,Nazmul Hossain Shanto,Shaheen Shah Afridi,0,{},{}
1st innings,Bangladesh,0.6,Nazmul Hossain Shanto,Shaheen Shah Afridi,0,{},{}
1st innings,Bangladesh,1.1,Liton Das,Naseem Shah,1,{},{}
1st innings,Bangladesh,1.2,Nazmul Hossain Shanto,Naseem Shah,1,{},{}
1st innings,Bangladesh,1.3,Liton Das,Naseem Shah,0,{},{}
1st innings,Bangladesh,1.4,Liton Das,Naseem Shah,1,{},{}
1st innings,Bangladesh,1.5,Nazmul Hossain Shanto,Naseem Shah,4,{},{}
1st innings,Bangladesh,1.6,Nazmul Hossain Shanto,Naseem Shah,0,{},{}
1st innings,Bangladesh,2.1,Liton Das,Shaheen Shah Afridi,0,{},{}
1st innings,Bangladesh,2.2,Liton Das,Shaheen Shah Afridi,6,{},{}
1st innings,Bangladesh,2.3,Liton Das,Shaheen Shah Afridi,1,{},{}
1st innings,Bangladesh,2.4,Nazmul Hossain Shanto,Shaheen Shah Afridi,1,{},{}
1st innings,Bangladesh,2.5,Liton Das,Shaheen Shah Afridi,0,{},"{'player_out': 'Liton Das', 'fielders': ['Shan Masood'], 'kind': 'caught'}"
1st innings,Bangladesh,2.6,Soumya Sarkar,Shaheen Shah Afridi,0,{},{}
1st innings,Bangladesh,3.1,Nazmul Hossain Shanto,Mohammad Wasim,0,{},{}
1st innings,Bangladesh,3.2,Nazmul Hossain Shanto,Mohammad Wasim,0,{},{}
1st innings,Bangladesh,3.3,Nazmul Hossain Shanto,Mohammad Wasim,4,{},{}
1st innings,Bangladesh,3.4,Nazmul Hossain Shanto,Mohammad Wasim,2,{},{}
1st innings,Bangladesh,3.5,Nazmul Hossain Shanto,Mohammad Wasim,1,{},{}
1st innings,Bangladesh,3.6,Soumya Sarkar,Mohammad Wasim,6,{},{}
1st innings,Bangladesh,4.1,Nazmul Hossain Shanto,Haris Rauf,2,{},{}
1st innings,Bangladesh,4.2,Nazmul Hossain Shanto,Haris Rauf,0,{},{}
1st innings,Bangladesh,4.3,Nazmul Hossain Shanto,Haris Rauf,0,{},{}
1st innings,Bangladesh,4.4,Nazmul Hossain Shanto,Haris Rauf,0,{},{}
1st innings,Bangladesh,4.5,Nazmul Hossain Shanto,Haris Rauf,1,{'byes': 1},{}
1st innings,Bangladesh,4.6,Soumya Sarkar,Haris Rauf,1,{},{}
1st innings,Bangladesh,5.1,Soumya Sarkar,Naseem Shah,0,{},{}
1st innings,Bangladesh,5.2,Soumya Sarkar,Naseem Shah,0,{},{}
1st innings,Bangladesh,5.3,Soumya Sarkar,Naseem Shah,0,{},{}
1st innings,Bangladesh,5.4,Soumya Sarkar,Naseem Shah,0,{},{}
1st innings,Bangladesh,5.5,Soumya Sarkar,Naseem Shah,1,{},{}
1st innings,Bangladesh,5.6,Nazmul Hossain Shanto,Naseem Shah,1,{},{}
1st innings,Bangladesh,6.1,Nazmul Hossain Shanto,Shadab Khan,2,{},{}
1st innings,Bangladesh,6.2,Nazmul Hossain Shanto,Shadab Khan,2,{},{}
1st innings,Bangladesh,6.3,Nazmul Hossain Shanto,Shadab Khan,0,{},{}
1st innings,Bangladesh,6.4,Nazmul Hossain Shanto,Shadab Khan,0,{},{}
1st innings,Bangladesh,6.5,Nazmul Hossain Shanto,Shadab Khan,4,{},{}
1st innings,Bangladesh,6.6,Nazmul Hossain Shanto,Shadab Khan,1,{},{}
1st innings,Bangladesh,7.1,Nazmul Hossain Shanto,Iftikhar Ahmed,0,{},{}
1st innings,Bangladesh,7.2,Nazmul Hossain Shanto,Iftikhar Ahmed,0,{},{}
1st innings,Bangladesh,7.3,Nazmul Hossain Shanto,Iftikhar Ahmed,1,{},{}
1st innings,Bangladesh,7.4,Soumya Sarkar,Iftikhar Ahmed,1,{},{}
1st innings,Bangladesh,7.5,Nazmul Hossain Shanto,Iftikhar Ahmed,4,{},{}
1st innings,Bangladesh,7.6,Nazmul Hossain Shanto,Iftikhar Ahmed,1,{},{}
1st innings,Bangladesh,8.1,Nazmul Hossain Shanto,Shadab Khan,1,{},{}
1st innings,Bangladesh,8.2,Soumya Sarkar,Shadab Khan,4,{},{}
1st innings,Bangladesh,8.3,Soumya Sarkar,Shadab Khan,1,{},{}
1st innings,Bangladesh,8.4,Nazmul Hossain Shanto,Shadab Khan,0,{},{}
1st innings,Bangladesh,8.5,Nazmul Hossain Shanto,Shadab Khan,2,{},{}
1st innings,Bangladesh,8.6,Nazmul Hossain Shanto,Shadab Khan,0,{},{}
1st innings,Bangladesh,9.1,Soumya Sarkar,Haris Rauf,0,{},{}
1st innings,Bangladesh,9.2,Soumya Sarkar,Haris Rauf,1,{},{}
1st innings,Bangladesh,9.3,Nazmul Hossain Shanto,Haris Rauf,1,{},{}
1st innings,Bangladesh,9.4,Soumya Sarkar,Haris Rauf,2,{},{}
1st innings,Bangladesh,9.5,Soumya Sarkar,Haris Rauf,1,{},{}
1st innings,Bangladesh,9.6,Nazmul Hossain Shanto,Haris Rauf,1,{},{}
1st innings,Bangladesh,10.1,Nazmul Hossain Shanto,Shadab Khan,0,{},{}
1st innings,Bangladesh,10.2,Nazmul Hossain Shanto,Shadab Khan,1,{},{}
1st innings,Bangladesh,10.3,Soumya Sarkar,Shadab Khan,2,{},{}
1st innings,Bangladesh,10.4,Soumya Sarkar,Shadab Khan,0,{},"{'player_out': 'Soumya Sarkar', 'fielders': ['Shan Masood'], 'kind': 'caught'}"
1st innings,Bangladesh,10.5,Shakib Al Hasan,Shadab Khan,0,{},"{'player_out': 'Shakib Al Hasan', 'kind': 'lbw'}"
1st innings,Bangladesh,10.6,Afif Hossain,Shadab Khan,1,{},{}
1st innings,Bangladesh,11.1,Afif Hossain,Iftikhar Ahmed,1,{'legbyes': 1},{}
1st innings,Bangladesh,11.2,Nazmul Hossain Shanto,Iftikhar Ahmed,1,{},{}
1st innings,Bangladesh,11.3,Afif Hossain,Iftikhar Ahmed,1,{},{}
1st innings,Bangladesh,11.4,Nazmul Hossain Shanto,Iftikhar Ahmed,0,{},{}
1st innings,Bangladesh,11.5,Nazmul Hossain Shanto,Iftikhar Ahmed,0,{},{}
1st innings,Bangladesh,11.6,Nazmul Hossain Shanto,Iftikhar Ahmed,1,{},{}
1st innings,Bangladesh,12.1,Nazmul Hossain Shanto,Shadab Khan,4,{},{}
1st innings,Bangladesh,12.2,Nazmul Hossain Shanto,Shadab Khan,1,{},{}
1st innings,Bangladesh,12.3,Afif Hossain,Shadab Khan,1,{},{}
1st innings,Bangladesh,12.4,Nazmul Hossain Shanto,Shadab Khan,1,{},{}
1st innings,Bangladesh,12.5,Afif Hossain,Shadab Khan,2,{},{}
1st innings,Bangladesh,12.6,Afif Hossain,Shadab Khan,0,{},{}
1st innings,Bangladesh,13.1,Nazmul Hossain Shanto,Iftikhar Ahmed,4,{},{}
1st innings,Bangladesh,13.2,Nazmul Hossain Shanto,Iftikhar Ahmed,0,{},"{'player_out': 'Nazmul Hossain Shanto', 'kind': 'bowled'}"
1st innings,Bangladesh,13.3,Mosaddek Hossain,Iftikhar Ahmed,0,{},{}
1st innings,Bangladesh,13.4,Mosaddek Hossain,Iftikhar Ahmed,0,{},{}
1st innings,Bangladesh,13.5,Mosaddek Hossain,Iftikhar Ahmed,0,{},{}
1st innings,Bangladesh,13.6,Mosaddek Hossain,Iftikhar Ahmed,1,{},{}
1st innings,Bangladesh,14.1,Mosaddek Hossain,Mohammad Wasim,1,{},{}
1st innings,Bangladesh,14.2,Afif Hossain,Mohammad Wasim,1,{'wides': 1},{}
1st innings,Bangladesh,14.3,Afif Hossain,Mohammad Wasim,0,{},{}
1st innings,Bangladesh,14.4,Afif Hossain,Mohammad Wasim,2,{},{}
1st innings,Bangladesh,14.5,Afif Hossain,Mohammad Wasim,1,{'legbyes': 1},{}
1st innings,Bangladesh,14.6,Mosaddek Hossain,Mohammad Wasim,0,{},{}
