inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,India,0.1,KL Rahul,R Ngarava,0,{},{}
1st innings,India,0.2,KL Rahul,R Ngarava,0,{},{}
1st innings,India,0.3,KL Rahul,R Ngarava,0,{},{}
1st innings,India,0.4,KL Rahul,R Ngarava,0,{},{}
1st innings,India,0.5,KL Rahul,R Ngarava,0,{},{}
1st innings,India,0.6,KL Rahul,R Ngarava,0,{},{}
1st innings,India,1.1,RG Sharma,TL Chatara,0,{},{}
1st innings,India,1.2,RG Sharma,TL Chatara,0,{},{}
1st innings,India,1.3,RG Sharma,TL Chatara,0,{},{}
1st innings,India,1.4,RG Sharma,TL Chatara,1,{},{}
1st innings,India,1.5,KL Rahul,TL Chatara,1,{},{}
1st innings,India,1.6,RG Sharma,TL Chatara,4,{},{}
1st innings,India,2.1,KL Rahul,R Ngarava,3,{},{}
1st innings,India,2.2,RG Sharma,R Ngarava,0,{},{}
1st innings,India,2.3,RG Sharma,R Ngarava,1,{},{}
1st innings,India,2.4,KL Rahul,R Ngarava,6,{},{}
1st innings,India,2.5,KL Rahul,R Ngarava,1,{},{}
1st innings,India,2.6,RG Sharma,R Ngarava,1,{},{}
1st innings,India,3.1,RG Sharma,B Muzarabani,2,{},{}
1st innings,India,3.2,RG Sharma,B Muzarabani,2,{},{}
1st innings,India,3.3,RG Sharma,B Muzarabani,1,{'wides': 1},{}
1st innings,India,3.4,RG Sharma,B Muzarabani,0,{},{}
1st innings,India,3.5,RG Sharma,B Muzarabani,4,{},{}
1st innings,India,3.6,RG Sharma,B Muzarabani,0,{},"{'player_out': 'RG Sharma', 'fielders': ['WP Masakadza'], 'kind': 'caught'}"
1st innings,India,3.7,V Kohli,B Muzarabani,4,{},{}
1st innings,India,4.1,KL Rahul,TL Chatara,1,{},{}
1st innings,India,4.2,V Kohli,TL Chatara,0,{},{}
1st innings,India,4.3,V Kohli,TL Chatara,1,{},{}
1st innings,India,4.4,KL Rahul,TL Chatara,1,{},{}
1st innings,India,4.5,V Kohli,TL Chatara,1,{},{}
1st innings,India,4.6,KL Rahul,TL Chatara,1,{},{}
1st innings,India,5.1,KL Rahul,B Muzarabani,0,{},{}
1st innings,India,5.2,KL Rahul,B Muzarabani,4,{},{}
1st innings,India,5.3,KL Rahul,B Muzarabani,1,{},{}
1st innings,India,5.4,V Kohli,B Muzarabani,3,{},{}
1st innings,India,5.5,KL Rahul,B Muzarabani,1,{},{}
1st innings,India,5.6,V Kohli,B Muzarabani,1,{},{}
1st innings,India,6.1,V Kohli,WP Masakadza,0,{},{}
1st innings,India,6.2,V Kohli,WP Masakadza,4,{},{}
1st innings,India,6.3,V Kohli,WP Masakadza,2,{},{}
1st innings,India,6.4,V Kohli,WP Masakadza,1,{},{}
1st innings,India,6.5,KL Rahul,WP Masakadza,0,{},{}
1st innings,India,6.6,KL Rahul,WP Masakadza,1,{},{}
1st innings,India,7.1,KL Rahul,RP Burl,1,{},{}
1st innings,India,7.2,V Kohli,RP Burl,1,{},{}
1st innings,India,7.3,KL Rahul,RP Burl,2,{},{}
1st innings,India,7.4,KL Rahul,RP Burl,6,{},{}
1st innings,India,7.5,KL Rahul,RP Burl,4,{},{}
1st innings,India,7.6,KL Rahul,RP Burl,0,{},{}
1st innings,India,8.1,V Kohli,Sikandar Raza,0,{},{}
1st innings,India,8.2,V Kohli,Sikandar Raza,0,{},{}
1st innings,India,8.3,V Kohli,Sikandar Raza,1,{},{}
1st innings,India,8.4,KL Rahul,Sikandar Raza,0,{},{}
1st innings,India,8.5,KL Rahul,Sikandar Raza,1,{},{}
1st innings,India,8.6,V Kohli,Sikandar Raza,1,{},{}
1st innings,India,9.1,V Kohli,TL Chatara,1,{},{}
1st innings,India,9.2,KL Rahul,TL Chatara,1,{},{}
1st innings,India,9.3,V Kohli,TL Chatara,1,{},{}
1st innings,India,9.4,KL Rahul,TL Chatara,4,{},{}
1st innings,India,9.5,KL Rahul,TL Chatara,1,{},{}
1st innings,India,9.6,V Kohli,TL Chatara,0,{},{}
1st innings,India,10.1,KL Rahul,Sikandar Raza,1,{},{}
1st innings,India,10.2,V Kohli,Sikandar Raza,1,{},{}
1st innings,India,10.3,KL Rahul,Sikandar Raza,1,{},{}
1st innings,India,10.4,V Kohli,Sikandar Raza,1,{},{}
1st innings,India,10.5,KL Rahul,Sikandar Raza,1,{},{}
1st innings,India,10.6,V Kohli,Sikandar Raza,1,{},{}
1st innings,India,11.1,V Kohli,SC Williams,0,{},{}
1st innings,India,11.2,V Kohli,SC Williams,0,{},{}
1st innings,India,11.3,V Kohli,SC Williams,1,{},{}
1st innings,India,11.4,KL Rahul,SC Williams,1,{},{}
1st innings,India,11.5,V Kohli,SC Williams,0,{},"{'player_out': 'V Kohli', 'fielders': ['RP Burl'], 'kind': 'caught'}"
1st innings,India,11.6,SA Yadav,SC Williams,2,{},{}
1st innings,India,12.1,KL Rahul,Sikandar Raza,6,{},{}
1st innings,India,12.2,KL Rahul,Sikandar Raza,0,{},"{'player_out': 'KL Rahul', 'fielders': ['WP Masakadza'], 'kind': 'caught'}"
1st innings,India,12.3,RR Pant,Sikandar Raza,1,{},{}
1st innings,India,12.4,SA Yadav,Sikandar Raza,1,{},{}
1st innings,India,12.5,RR Pant,Sikandar Raza,0,{},{}
1st innings,India,12.6,RR Pant,Sikandar Raza,1,{},{}
1st innings,India,13.1,RR Pant,SC Williams,1,{},{}
1st innings,India,13.2,SA Yadav,SC Williams,1,{},{}
1st innings,India,13.3,RR Pant,SC Williams,1,{'wides': 1},{}
1st innings,India,13.4,RR Pant,SC Williams,0,{},"{'player_out': 'RR Pant', 'fielders': ['RP Burl'], 'kind': 'caught'}"
1st innings,India,13.5,HH Pandya,SC Williams,0,{},{}
1st innings,India,13.6,HH Pandya,SC Williams,1,{'wides': 1},{}
1st innings,India,13.7,HH Pandya,SC Williams,0,{},{}
1st innings,India,13.8,HH Pandya,SC Williams,1,{},{}
1st innings,India,14.1,HH Pandya,WP Masakadza,1,{'wides': 1},{}
1st innings,India,14.2,HH Pandya,WP Masakadza,0,{},{}
1st innings,India,14.3,HH Pandya,WP Masakadza,1,{},{}
1st innings,India,14.4,SA Yadav,WP Masakadza,0,{},{}
1st innings,India,14.5,SA Yadav,WP Masakadza,1,{},{}
1st innings,India,14.6,HH Pandya,WP Masakadza,1,{},{}
1st innings,India,14.7,SA Yadav,WP Masakadza,0,{},{}
1st innings,India,15.1,HH Pandya,B Muzarabani,1,{},{}
1st innings,India,15.2,SA Yadav,B Muzarabani,4,{},{}
1st innings,India,15.3,SA Yadav,B Muzarabani,4,{},{}
1st innings,India,15.4,SA Yadav,B Muzarabani,1,{},{}
1st innings,India,15.5,HH Pandya,B Muzarabani,4,{},{}
1st innings,India,15.6,HH Pandya,B Muzarabani,4,{'legbyes': 4},{}
1st innings,India,16.1,SA Yadav,R Ngarava,4,{},{}
1st innings,India,16.2,SA Yadav,R Ngarava,0,{},{}
1st innings,India,16.3,SA Yadav,R Ngarava,6,{},{}
1st innings,India,16.4,SA Yadav,R Ngarava,1,{'legbyes': 1},{}
1st innings,India,16.5,HH Pandya,R Ngarava,1,{},{}
1st innings,India,16.6,SA Yadav,R Ngarava,0,{},{}
1st innings,India,17.1,HH Pandya,TL Chatara,1,{},{}
1st innings,India,17.2,SA Yadav,TL Chatara,4,{},{}
1st innings,India,17.3,SA Yadav,TL Chatara,2,{},{}
1st innings,India,17.4,SA Yadav,TL Chatara,1,{},{}
1st innings,India,17.5,HH Pandya,TL Chatara,1,{},{}
1st innings,India,17.6,SA Yadav,TL Chatara,6,{},{}
1st innings,India,18.1,HH Pandya,B Muzarabani,4,{},{}
1st innings,India,18.2,HH Pandya,B Muzarabani,2,{},{}
1st innings,India,18.3,HH Pandya,B Muzarabani,1,{},{}
1st innings,India,18.4,SA Yadav,B Muzarabani,4,{},{}
1st innings,India,18.5,SA Yadav,B Muzarabani,2,{},{}
1st innings,India,18.6,SA Yadav,B Muzarabani,0,{},{}
1st innings,India,19.1,HH Pandya,R Ngarava,1,{'noballs': 1},{}
1st innings,India,19.2,HH Pandya,R Ngarava,0,{},{}
1st innings,India,19.3,HH Pandya,R Ngarava,0,{},"{'player_out': 'HH Pandya', 'fielders': ['B Muzarabani'], 'kind': 'caught'}"
1st innings,India,19.4,AR Patel,R Ngarava,2,{'wides': 2},{}
1st innings,India,19.5,SA Yadav,R Ngarava,6,{},{}
1st innings,India,19.6,SA Yadav,R Ngarava,2,{},{}
1st innings,India,19.7,SA Yadav,R Ngarava,4,{},{}
1st innings,India,19.8,SA Yadav,R Ngarava,6,{},{}
2nd innings,Zimbabwe,0.1,W Madhevere,B Kumar,0,{},"{'player_out': 'W Madhevere', 'fielders': ['V Kohli'], 'kind': 'caught'}"
2nd innings,Zimbabwe,0.2,RW Chakabva,B Kumar,0,{},{}
2nd innings,Zimbabwe,0.3,RW Chakabva,B Kumar,0,{},{}
2nd innings,Zimbabwe,0.4,RW Chakabva,B Kumar,0,{},{}
2nd innings,Zimbabwe,0.5,RW Chakabva,B Kumar,0,{},{}
2nd innings,Zimbabwe,0.6,RW Chakabva,B Kumar,0,{},{}
2nd innings,Zimbabwe,1.1,CR Ervine,Arshdeep Singh,0,{},{}
2nd innings,Zimbabwe,1.2,CR Ervine,Arshdeep Singh,0,{},{}
2nd innings,Zimbabwe,1.3,CR Ervine,Arshdeep Singh,0,{},{}
2nd innings,Zimbabwe,1.4,CR Ervine,Arshdeep Singh,2,{'wides': 2},{}
2nd innings,Zimbabwe,1.5,RW Chakabva,Arshdeep Singh,0,{},"{'player_out': 'RW Chakabva', 'kind': 'bowled'}"
2nd innings,Zimbabwe,1.6,SC Williams,Arshdeep Singh,0,{},{}
2nd innings,Zimbabwe,1.7,SC Williams,Arshdeep Singh,1,{},{}
2nd innings,Zimbabwe,2.1,SC Williams,B Kumar,0,{},{}
2nd innings,Zimbabwe,2.2,SC Williams,B Kumar,0,{},{}
2nd innings,Zimbabwe,2.3,SC Williams,B Kumar,0,{},{}
