inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Pakistan,0.1,Mohammad Rizwan,BA Stokes,1,{'noballs': 1},{}
1st innings,Pakistan,0.2,Mohammad Rizwan,BA Stokes,1,{'wides': 1},{}
1st innings,Pakistan,0.3,Mohammad Rizwan,BA Stokes,0,{},{}
1st innings,Pakistan,0.4,Mohammad Rizwan,BA Stokes,2,{},{}
1st innings,Pakistan,0.5,Mohammad Rizwan,BA Stokes,0,{},{}
1st innings,Pakistan,0.6,Mohammad Rizwan,BA Stokes,1,{},{}
1st innings,Pakistan,0.7,Babar Azam,BA Stokes,0,{},{}
1st innings,Pakistan,0.8,Babar Azam,BA Stokes,3,{},{}
1st innings,Pakistan,1.1,Babar Azam,CR Woakes,1,{'wides': 1},{}
1st innings,Pakistan,1.2,Babar Azam,CR Woakes,0,{},{}
1st innings,Pakistan,1.3,Babar Azam,CR Woakes,0,{},{}
1st innings,Pakistan,1.4,Babar Azam,CR Woakes,1,{},{}
1st innings,Pakistan,1.5,Mohammad Rizwan,CR Woakes,1,{},{}
1st innings,Pakistan,1.6,Babar Azam,CR Woakes,1,{},{}
1st innings,Pakistan,1.7,Mohammad Rizwan,CR Woakes,0,{},{}
1st innings,Pakistan,2.1,Babar Azam,SM Curran,0,{},{}
1st innings,Pakistan,2.2,Babar Azam,SM Curran,1,{},{}
1st innings,Pakistan,2.3,Mohammad Rizwan,SM Curran,2,{},{}
1st innings,Pakistan,2.4,Mohammad Rizwan,SM Curran,1,{},{}
1st innings,Pakistan,2.5,Babar Azam,SM Curran,0,{},{}
1st innings,Pakistan,2.6,Babar Azam,SM Curran,0,{},{}
1st innings,Pakistan,3.1,Mohammad Rizwan,CR Woakes,6,{},{}
1st innings,Pakistan,3.2,Mohammad Rizwan,CR Woakes,1,{},{}
1st innings,Pakistan,3.3,Babar Azam,CR Woakes,1,{},{}
1st innings,Pakistan,3.4,Mohammad Rizwan,CR Woakes,0,{},{}
1st innings,Pakistan,3.5,Mohammad Rizwan,CR Woakes,1,{},{}
1st innings,Pakistan,3.6,Babar Azam,CR Woakes,3,{},{}
1st innings,Pakistan,4.1,Babar Azam,SM Curran,1,{},{}
1st innings,Pakistan,4.2,Mohammad Rizwan,SM Curran,0,{},"{'player_out': 'Mohammad Rizwan', 'kind': 'bowled'}"
1st innings,Pakistan,4.3,Mohammad Haris,SM Curran,0,{},{}
1st innings,Pakistan,4.4,Mohammad Haris,SM Curran,0,{},{}
