inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Oman,0.1,KH Prajapati,R Trumpelmann,0,{},"{'player_out': 'KH Prajapati', 'kind': 'lbw'}"
1st innings,Oman,0.2,Aqib Ilyas,R Trumpelmann,0,{},"{'player_out': 'Aqib Ilyas', 'kind': 'lbw'}"
1st innings,Oman,0.3,Zeeshan Maqsood,R Trumpelmann,0,{},{}
1st innings,Oman,0.4,Zeeshan Maqsood,R Trumpelmann,0,{},{}
1st innings,Oman,0.5,Zeeshan Maqsood,R Trumpelmann,2,{},{}
1st innings,Oman,0.6,Zeeshan Maqsood,R Trumpelmann,1,{'noballs': 1},{}
1st innings,Oman,0.7,Zeeshan Maqsood,R Trumpelmann,0,{},{}
1st innings,Oman,1.1,Naseem Khushi,D Wiese,4,{},{}
1st innings,Oman,1.2,Naseem Khushi,D Wiese,0,{},{}
1st innings,Oman,1.3,Naseem Khushi,D Wiese,0,{},{}
1st innings,Oman,1.4,Naseem Khushi,D Wiese,1,{},{}
1st innings,Oman,1.5,Zeeshan Maqsood,D Wiese,0,{},{}
1st innings,Oman,1.6,Zeeshan Maqsood,D Wiese,0,{},{}
1st innings,Oman,2.1,Naseem Khushi,R Trumpelmann,1,{},{}
1st innings,Oman,2.2,Zeeshan Maqsood,R Trumpelmann,1,{},{}
1st innings,Oman,2.3,Naseem Khushi,R Trumpelmann,0,{},"{'player_out': 'Naseem Khushi', 'fielders': ['MG Erasmus'], 'kind': 'caught'}"
1st innings,Oman,2.4,Khalid Kail,R Trumpelmann,2,{},{}
1st innings,Oman,2.5,Khalid Kail,R Trumpelmann,0,{},{}
1st innings,Oman,2.6,Khalid Kail,R Trumpelmann,0,{},{}
1st innings,Oman,3.1,Zeeshan Maqsood,T Lungameni,0,{},{}
1st innings,Oman,3.2,Zeeshan Maqsood,T Lungameni,0,{},{}
1st innings,Oman,3.3,Zeeshan Maqsood,T Lungameni,4,{},{}
