inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Papua New Guinea,0.1,TP Ura,AJ Hosein,0,{},{}
1st innings,Papua New Guinea,0.2,TP Ura,AJ Hosein,1,{},{}
1st innings,Papua New Guinea,0.3,A Vala,AJ Hosein,0,{},{}
1st innings,Papua New Guinea,0.4,A Vala,AJ Hosein,0,{},{}
1st innings,Papua New Guinea,0.5,A Vala,AJ Hosein,0,{},{}
1st innings,Papua New Guinea,0.6,A Vala,AJ Hosein,0,{},{}
1st innings,Papua New Guinea,1.1,TP Ura,R Shepherd,1,{},{}
1st innings,Papua New Guinea,1.2,A Vala,R Shepherd,0,{},{}
1st innings,Papua New Guinea,1.3,A Vala,R Shepherd,3,{},{}
1st innings,Papua New Guinea,1.4,TP Ura,R Shepherd,0,{},{}
1st innings,Papua New Guinea,1.5,TP Ura,R Shepherd,0,{},"{'player_out': 'TP Ura', 'fielders': ['N Pooran'], 'kind': 'caught'}"
1st innings,Papua New Guinea,1.6,L Siaka,R Shepherd,1,{'wides': 1},{}
1st innings,Papua New Guinea,1.7,L Siaka,R Shepherd,1,{},{}
1st innings,Papua New Guinea,2.1,L Siaka,AJ Hosein,0,{},"{'player_out': 'L Siaka', 'kind': 'bowled'}"
1st innings,Papua New Guinea,2.2,S Bau,AJ Hosein,1,{},{}
1st innings,Papua New Guinea,2.3,A Vala,AJ Hosein,0,{},{}
1st innings,Papua New Guinea,2.4,A Vala,AJ Hosein,0,{},{}
1st innings,Papua New Guinea,2.5,A Vala,AJ Hosein,0,{},{}
1st innings,Papua New Guinea,2.6,A Vala,AJ Hosein,2,{},{}
1st innings,Papua New Guinea,3.1,S Bau,AD Russell,0,{},{}
1st innings,Papua New Guinea,3.2,S Bau,AD Russell,0,{},{}
1st innings,Papua New Guinea,3.3,S Bau,AD Russell,0,{},{}
1st innings,Papua New Guinea,3.4,S Bau,AD Russell,0,{},{}
1st innings,Papua New Guinea,3.5,S Bau,AD Russell,4,{},{}
1st innings,Papua New Guinea,3.6,S Bau,AD Russell,1,{'wides': 1},{}
1st innings,Papua New Guinea,3.7,S Bau,AD Russell,0,{},{}
1st innings,Papua New Guinea,4.1,A Vala,RL Chase,6,{},{}
1st innings,Papua New Guinea,4.2,A Vala,RL Chase,0,{},{}
1st innings,Papua New Guinea,4.3,A Vala,RL Chase,1,{},{}
1st innings,Papua New Guinea,4.4,S Bau,RL Chase,2,{'wides': 2},{}
1st innings,Papua New Guinea,4.5,A Vala,RL Chase,0,{},{}
1st innings,Papua New Guinea,4.6,A Vala,RL Chase,0,{},{}
1st innings,Papua New Guinea,4.7,A Vala,RL Chase,1,{'wides': 1},{}
1st innings,Papua New Guinea,4.8,A Vala,RL Chase,1,{},{}
1st innings,Papua New Guinea,5.1,A Vala,AS Joseph,0,{},{}
1st innings,Papua New Guinea,5.2,A Vala,AS Joseph,0,{},{}
1st innings,Papua New Guinea,5.3,A Vala,AS Joseph,4,{},{}
1st innings,Papua New Guinea,5.4,A Vala,AS Joseph,0,{},{}
1st innings,Papua New Guinea,5.5,A Vala,AS Joseph,4,{},{}
1st innings,Papua New Guinea,5.6,A Vala,AS Joseph,0,{},"{'player_out': 'A Vala', 'fielders': ['RL Chase'], 'kind': 'caught'}"
1st innings,Papua New Guinea,6.1,S Bau,AJ Hosein,0,{},{}
1st innings,Papua New Guinea,6.2,S Bau,AJ Hosein,0,{},{}
1st innings,Papua New Guinea,6.3,S Bau,AJ Hosein,4,{},{}
1st innings,Papua New Guinea,6.4,S Bau,AJ Hosein,0,{},{}
1st innings,Papua New Guinea,6.5,S Bau,AJ Hosein,1,{},{}
1st innings,Papua New Guinea,6.6,H Hiri,AJ Hosein,0,{},{}
1st innings,Papua New Guinea,7.1,S Bau,RL Chase,4,{},{}
1st innings,Papua New Guinea,7.2,S Bau,RL Chase,0,{},{}
1st innings,Papua New Guinea,7.3,S Bau,RL Chase,1,{},{}
1st innings,Papua New Guinea,7.4,H Hiri,RL Chase,1,{'wides': 1},{}
1st innings,Papua New Guinea,7.5,H Hiri,RL Chase,1,{},{}
