inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Nepal,0.1,K Bhurtel,VJ Kingma,0,{},{}
1st innings,Nepal,0.2,K Bhurtel,VJ Kingma,1,{},{}
1st innings,Nepal,0.3,Aasif Sheikh,VJ Kingma,0,{},{}
1st innings,Nepal,0.4,Aasif Sheikh,VJ Kingma,0,{},{}
1st innings,Nepal,0.5,Aasif Sheikh,VJ Kingma,0,{},{}
1st innings,Nepal,0.6,Aasif Sheikh,VJ Kingma,4,{},{}
1st innings,Nepal,1.1,K Bhurtel,TJG Pringle,4,{},{}
1st innings,Nepal,1.2,K Bhurtel,TJG Pringle,1,{},{}
1st innings,Nepal,1.3,Aasif Sheikh,TJG Pringle,0,{},{}
1st innings,Nepal,1.4,Aasif Sheikh,TJG Pringle,0,{},{}
1st innings,Nepal,1.5,Aasif Sheikh,TJG Pringle,0,{},{}
1st innings,Nepal,1.6,Aasif Sheikh,TJG Pringle,0,{},"{'player_out': 'Aasif Sheikh', 'fielders': ['VJ Kingma'], 'kind': 'caught'}"
1st innings,Nepal,2.1,K Bhurtel,VJ Kingma,0,{},{}
1st innings,Nepal,2.2,K Bhurtel,VJ Kingma,0,{},{}
1st innings,Nepal,2.3,K Bhurtel,VJ Kingma,0,{},{}
1st innings,Nepal,2.4,K Bhurtel,VJ Kingma,0,{},{}
1st innings,Nepal,2.5,K Bhurtel,VJ Kingma,1,{},{}
1st innings,Nepal,2.6,AK Sah,VJ Kingma,4,{},{}
1st innings,Nepal,3.1,K Bhurtel,LV van Beek,0,{},"{'player_out': 'K Bhurtel', 'kind': 'lbw'}"
1st innings,Nepal,3.2,RK Paudel,LV van Beek,2,{},{}
1st innings,Nepal,3.3,RK Paudel,LV van Beek,0,{},{}
1st innings,Nepal,3.4,RK Paudel,LV van Beek,0,{},{}
1st innings,Nepal,3.5,RK Paudel,LV van Beek,0,{},{}
1st innings,Nepal,3.6,RK Paudel,LV van Beek,4,{'legbyes': 4},{}
1st innings,Nepal,4.1,AK Sah,VJ Kingma,0,{},{}
1st innings,Nepal,4.2,AK Sah,VJ Kingma,0,{},{}
1st innings,Nepal,4.3,AK Sah,VJ Kingma,0,{},{}
