inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Australia,0.1,DA Warner,Bilal Khan,1,{},{}
1st innings,Australia,0.2,TM Head,Bilal Khan,4,{},{}
1st innings,Australia,0.3,TM Head,Bilal Khan,0,{},{}
1st innings,Australia,0.4,TM Head,Bilal Khan,0,{},{}
1st innings,Australia,0.5,TM Head,Bilal Khan,1,{},{}
1st innings,Australia,0.6,DA Warner,Bilal Khan,0,{},{}
1st innings,Australia,1.1,TM Head,Kaleemullah,1,{},{}
1st innings,Australia,1.2,DA Warner,Kaleemullah,4,{},{}
1st innings,Australia,1.3,DA Warner,Kaleemullah,0,{},{}
1st innings,Australia,1.4,DA Warner,Kaleemullah,1,{'legbyes': 1},{}
1st innings,Australia,1.5,TM Head,Kaleemullah,0,{},{}
1st innings,Australia,1.6,TM Head,Kaleemullah,1,{},{}
1st innings,Australia,2.1,TM Head,Bilal Khan,1,{},{}
1st innings,Australia,2.2,DA Warner,Bilal Khan,1,{},{}
1st innings,Australia,2.3,TM Head,Bilal Khan,4,{},{}
1st innings,Australia,2.4,TM Head,Bilal Khan,0,{},"{'player_out': 'TM Head', 'fielders': ['Khalid Kail'], 'kind': 'caught'}"
1st innings,Australia,2.5,MR Marsh,Bilal Khan,0,{},{}
1st innings,Australia,2.6,MR Marsh,Bilal Khan,0,{},{}
1st innings,Australia,3.1,DA Warner,Shakeel Ahmed,4,{},{}
1st innings,Australia,3.2,DA Warner,Shakeel Ahmed,0,{},{}
1st innings,Australia,3.3,DA Warner,Shakeel Ahmed,0,{},{}
1st innings,Australia,3.4,DA Warner,Shakeel Ahmed,0,{},{}
1st innings,Australia,3.5,DA Warner,Shakeel Ahmed,1,{},{}
1st innings,Australia,3.6,MR Marsh,Shakeel Ahmed,1,{},{}
1st innings,Australia,4.1,MR Marsh,Kaleemullah,0,{},{}
1st innings,Australia,4.2,MR Marsh,Kaleemullah,0,{},{}
1st innings,Australia,4.3,MR Marsh,Kaleemullah,0,{},{}
1st innings,Australia,4.4,MR Marsh,Kaleemullah,1,{},{}
1st innings,Australia,4.5,DA Warner,Kaleemullah,2,{},{}
1st innings,Australia,4.6,DA Warner,Kaleemullah,4,{},{}
1st innings,Australia,5.1,MR Marsh,Shakeel Ahmed,0,{},{}
1st innings,Australia,5.2,MR Marsh,Shakeel Ahmed,0,{},{}
1st innings,Australia,5.3,MR Marsh,Shakeel Ahmed,4,{},{}
1st innings,Australia,5.4,MR Marsh,Shakeel Ahmed,1,{},{}
1st innings,Australia,5.5,DA Warner,Shakeel Ahmed,0,{},{}
1st innings,Australia,5.6,DA Warner,Shakeel Ahmed,0,{},{}
1st innings,Australia,6.1,MR Marsh,Mehran Khan,0,{},{}
1st innings,Australia,6.2,MR Marsh,Mehran Khan,0,{},{}
1st innings,Australia,6.3,MR Marsh,Mehran Khan,2,{'noballs': 1},{}
1st innings,Australia,6.4,DA Warner,Mehran Khan,4,{},{}
1st innings,Australia,6.5,DA Warner,Mehran Khan,0,{},{}
1st innings,Australia,6.6,DA Warner,Mehran Khan,0,{},{}
1st innings,Australia,6.7,DA Warner,Mehran Khan,0,{},{}
1st innings,Australia,7.1,MR Marsh,Aqib Ilyas,1,{},{}
1st innings,Australia,7.2,DA Warner,Aqib Ilyas,1,{},{}
1st innings,Australia,7.3,MR Marsh,Aqib Ilyas,0,{},{}
1st innings,Australia,7.4,MR Marsh,Aqib Ilyas,0,{},{}
1st innings,Australia,7.5,MR Marsh,Aqib Ilyas,4,{},{}
1st innings,Australia,7.6,MR Marsh,Aqib Ilyas,1,{},{}
1st innings,Australia,8.1,MR Marsh,Mehran Khan,0,{},{}
1st innings,Australia,8.2,MR Marsh,Mehran Khan,0,{},"{'player_out': 'MR Marsh', 'fielders': ['Shoaib Khan'], 'kind': 'caught'}"
1st innings,Australia,8.3,GJ Maxwell,Mehran Khan,0,{},"{'player_out': 'GJ Maxwell', 'fielders': ['Aqib Ilyas'], 'kind': 'caught'}"
1st innings,Australia,8.4,MP Stoinis,Mehran Khan,1,{},{}
1st innings,Australia,8.5,DA Warner,Mehran Khan,0,{},{}
1st innings,Australia,8.6,DA Warner,Mehran Khan,1,{},{}
1st innings,Australia,9.1,DA Warner,Aqib Ilyas,0,{},{}
1st innings,Australia,9.2,DA Warner,Aqib Ilyas,0,{},{}
1st innings,Australia,9.3,DA Warner,Aqib Ilyas,1,{},{}
1st innings,Australia,9.4,MP Stoinis,Aqib Ilyas,1,{},{}
1st innings,Australia,9.5,DA Warner,Aqib Ilyas,2,{},{}
1st innings,Australia,9.6,DA Warner,Aqib Ilyas,0,{},{}
1st innings,Australia,10.1,MP Stoinis,Mehran Khan,0,{},{}
1st innings,Australia,10.2,MP Stoinis,Mehran Khan,1,{},{}
1st innings,Australia,10.3,DA Warner,Mehran Khan,1,{},{}
1st innings,Australia,10.4,MP Stoinis,Mehran Khan,1,{},{}
1st innings,Australia,10.5,DA Warner,Mehran Khan,0,{},{}
1st innings,Australia,10.6,DA Warner,Mehran Khan,1,{},{}
1st innings,Australia,11.1,DA Warner,Aqib Ilyas,1,{},{}
1st innings,Australia,11.2,MP Stoinis,Aqib Ilyas,1,{},{}
1st innings,Australia,11.3,DA Warner,Aqib Ilyas,1,{},{}
1st innings,Australia,11.4,MP Stoinis,Aqib Ilyas,0,{},{}
1st innings,Australia,11.5,MP Stoinis,Aqib Ilyas,0,{},{}
1st innings,Australia,11.6,MP Stoinis,Aqib Ilyas,0,{},{}
1st innings,Australia,12.1,DA Warner,Zeeshan Maqsood,1,{},{}
1st innings,Australia,12.2,MP Stoinis,Zeeshan Maqsood,1,{},{}
1st innings,Australia,12.3,DA Warner,Zeeshan Maqsood,1,{},{}
1st innings,Australia,12.4,MP Stoinis,Zeeshan Maqsood,1,{},{}
1st innings,Australia,12.5,DA Warner,Zeeshan Maqsood,4,{},{}
1st innings,Australia,12.6,DA Warner,Zeeshan Maqsood,4,{},{}
1st innings,Australia,13.1,MP Stoinis,Aqib Ilyas,1,{'legbyes': 1},{}
1st innings,Australia,13.2,DA Warner,Aqib Ilyas,0,{},{}
1st innings,Australia,13.3,DA Warner,Aqib Ilyas,1,{},{}
1st innings,Australia,13.4,MP Stoinis,Aqib Ilyas,1,{},{}
1st innings,Australia,13.5,DA Warner,Aqib Ilyas,1,{},{}
1st innings,Australia,13.6,MP Stoinis,Aqib Ilyas,1,{},{}
1st innings,Australia,14.1,MP Stoinis,Mehran Khan,2,{},{}
1st innings,Australia,14.2,MP Stoinis,Mehran Khan,6,{},{}
1st innings,Australia,14.3,MP Stoinis,Mehran Khan,6,{},{}
1st innings,Australia,14.4,MP Stoinis,Mehran Khan,0,{},{}
1st innings,Australia,14.5,MP Stoinis,Mehran Khan,6,{},{}
1st innings,Australia,14.6,MP Stoinis,Mehran Khan,6,{},{}
1st innings,Australia,15.1,DA Warner,Shakeel Ahmed,2,{'noballs': 1},{}
1st innings,Australia,15.2,MP Stoinis,Shakeel Ahmed,1,{},{}
1st innings,Australia,15.3,DA Warner,Shakeel Ahmed,1,{},{}
1st innings,Australia,15.4,MP Stoinis,Shakeel Ahmed,1,{},{}
1st innings,Australia,15.5,DA Warner,Shakeel Ahmed,1,{},{}
1st innings,Australia,15.6,MP Stoinis,Shakeel Ahmed,2,{},{}
1st innings,Australia,15.7,MP Stoinis,Shakeel Ahmed,0,{},{}
1st innings,Australia,16.1,DA Warner,Bilal Khan,1,{},{}
1st innings,Australia,16.2,MP Stoinis,Bilal Khan,4,{},{}
1st innings,Australia,16.3,MP Stoinis,Bilal Khan,1,{},{}
1st innings,Australia,16.4,DA Warner,Bilal Khan,0,{},{}
1st innings,Australia,16.5,DA Warner,Bilal Khan,1,{'wides': 1},{}
1st innings,Australia,16.6,DA Warner,Bilal Khan,1,{},{}
1st innings,Australia,16.7,MP Stoinis,Bilal Khan,7,{'noballs': 1},{}
1st innings,Australia,16.8,MP Stoinis,Bilal Khan,1,{},{}
1st innings,Australia,17.1,MP Stoinis,Shakeel Ahmed,1,{},{}
1st innings,Australia,17.2,DA Warner,Shakeel Ahmed,6,{},{}
1st innings,Australia,17.3,DA Warner,Shakeel Ahmed,0,{},{}
1st innings,Australia,17.4,DA Warner,Shakeel Ahmed,1,{},{}
1st innings,Australia,17.5,MP Stoinis,Shakeel Ahmed,1,{},{}
1st innings,Australia,17.6,DA Warner,Shakeel Ahmed,0,{},{}
1st innings,Australia,18.1,MP Stoinis,Kaleemullah,4,{},{}
1st innings,Australia,18.2,MP Stoinis,Kaleemullah,6,{},{}
