inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Ireland,0.1,A Balbirnie,Arshdeep Singh,1,{},{}
1st innings,Ireland,0.2,PR Stirling,Arshdeep Singh,2,{},{}
1st innings,Ireland,0.3,PR Stirling,Arshdeep Singh,0,{},{}
1st innings,Ireland,0.4,PR Stirling,Arshdeep Singh,0,{},{}
1st innings,Ireland,0.5,PR Stirling,Arshdeep Singh,0,{},{}
1st innings,Ireland,0.6,PR Stirling,Arshdeep Singh,0,{},{}
1st innings,Ireland,1.1,A Balbirnie,Mohammed Siraj,0,{},{}
1st innings,Ireland,1.2,A Balbirnie,Mohammed Siraj,0,{},{}
1st innings,Ireland,1.3,A Balbirnie,Mohammed Siraj,0,{},{}
1st innings,Ireland,1.4,A Balbirnie,Mohammed Siraj,0,{},{}
1st innings,Ireland,1.5,A Balbirnie,Mohammed Siraj,4,{},{}
1st innings,Ireland,1.6,A Balbirnie,Mohammed Siraj,0,{},{}
1st innings,Ireland,2.1,PR Stirling,Arshdeep Singh,0,{},"{'player_out': 'PR Stirling', 'fielders': ['RR Pant'], 'kind': 'caught'}"
1st innings,Ireland,2.2,L Tucker,Arshdeep Singh,0,{},{}
1st innings,Ireland,2.3,L Tucker,Arshdeep Singh,1,{},{}
1st innings,Ireland,2.4,A Balbirnie,Arshdeep Singh,0,{},{}
1st innings,Ireland,2.5,A Balbirnie,Arshdeep Singh,1,{'wides': 1},{}
1st innings,Ireland,2.6,A Balbirnie,Arshdeep Singh,0,{},{}
1st innings,Ireland,2.7,A Balbirnie,Arshdeep Singh,0,{},"{'player_out': 'A Balbirnie', 'kind': 'bowled'}"
1st innings,Ireland,3.1,L Tucker,Mohammed Siraj,0,{},{}
1st innings,Ireland,3.2,L Tucker,Mohammed Siraj,0,{},{}
1st innings,Ireland,3.3,L Tucker,Mohammed Siraj,0,{},{}
1st innings,Ireland,3.4,L Tucker,Mohammed Siraj,4,{},{}
1st innings,Ireland,3.5,L Tucker,Mohammed Siraj,0,{},{}
1st innings,Ireland,3.6,L Tucker,Mohammed Siraj,0,{},{}
1st innings,Ireland,4.1,HT Tector,Arshdeep Singh,0,{},{}
1st innings,Ireland,4.2,HT Tector,Arshdeep Singh,5,{'wides': 5},{}
1st innings,Ireland,4.3,HT Tector,Arshdeep Singh,0,{},{}
1st innings,Ireland,4.4,HT Tector,Arshdeep Singh,1,{'wides': 1},{}
1st innings,Ireland,4.5,HT Tector,Arshdeep Singh,0,{},{}
1st innings,Ireland,4.6,HT Tector,Arshdeep Singh,1,{'wides': 1},{}
1st innings,Ireland,4.7,HT Tector,Arshdeep Singh,1,{},{}
1st innings,Ireland,4.8,L Tucker,Arshdeep Singh,1,{'wides': 1},{}
1st innings,Ireland,4.9,L Tucker,Arshdeep Singh,0,{},{}
1st innings,Ireland,4.1,L Tucker,Arshdeep Singh,4,{},{}
1st innings,Ireland,5.1,HT Tector,JJ Bumrah,0,{},{}
1st innings,Ireland,5.2,HT Tector,JJ Bumrah,0,{},{}
1st innings,Ireland,5.3,HT Tector,JJ Bumrah,0,{},{}
1st innings,Ireland,5.4,HT Tector,JJ Bumrah,0,{},{}
1st innings,Ireland,5.5,HT Tector,JJ Bumrah,0,{},{}
1st innings,Ireland,5.6,HT Tector,JJ Bumrah,0,{},{}
1st innings,Ireland,6.1,L Tucker,HH Pandya,0,{},{}
1st innings,Ireland,6.2,L Tucker,HH Pandya,1,{},{}
1st innings,Ireland,6.3,HT Tector,HH Pandya,0,{},{}
1st innings,Ireland,6.4,HT Tector,HH Pandya,1,{'legbyes': 1},{}
1st innings,Ireland,6.5,L Tucker,HH Pandya,0,{},"{'player_out': 'L Tucker', 'kind': 'bowled'}"
1st innings,Ireland,6.6,C Campher,HH Pandya,4,{},{}
1st innings,Ireland,7.1,HT Tector,JJ Bumrah,1,{},{}
1st innings,Ireland,7.2,C Campher,JJ Bumrah,0,{},{}
1st innings,Ireland,7.3,C Campher,JJ Bumrah,1,{},{}
1st innings,Ireland,7.4,HT Tector,JJ Bumrah,0,{},{}
1st innings,Ireland,7.5,HT Tector,JJ Bumrah,2,{},{}
1st innings,Ireland,7.6,HT Tector,JJ Bumrah,0,{},"{'player_out': 'HT Tector', 'fielders': ['V Kohli'], 'kind': 'caught'}"
1st innings,Ireland,8.1,C Campher,HH Pandya,6,{},{}
1st innings,Ireland,8.2,C Campher,HH Pandya,1,{},{}
1st innings,Ireland,8.3,GH Dockrell,HH Pandya,1,{},{}
1st innings,Ireland,8.4,C Campher,HH Pandya,0,{},{}
1st innings,Ireland,8.5,C Campher,HH Pandya,0,{},{}
1st innings,Ireland,8.6,C Campher,HH Pandya,0,{},"{'player_out': 'C Campher', 'fielders': ['RR Pant'], 'kind': 'caught'}"
1st innings,Ireland,9.1,GH Dockrell,Mohammed Siraj,0,{},{}
1st innings,Ireland,9.2,GH Dockrell,Mohammed Siraj,2,{},{}
1st innings,Ireland,9.3,GH Dockrell,Mohammed Siraj,0,{},{}
1st innings,Ireland,9.4,GH Dockrell,Mohammed Siraj,0,{},"{'player_out': 'GH Dockrell', 'fielders': ['JJ Bumrah'], 'kind': 'caught'}"
1st innings,Ireland,9.5,MR Adair,Mohammed Siraj,3,{},{}
1st innings,Ireland,9.6,GJ Delany,Mohammed Siraj,0,{},{}
1st innings,Ireland,10.1,MR Adair,HH Pandya,0,{},"{'player_out': 'MR Adair', 'fielders': ['S Dube'], 'kind': 'caught'}"
1st innings,Ireland,10.2,BJ McCarthy,HH Pandya,0,{},{}
1st innings,Ireland,10.3,BJ McCarthy,HH Pandya,0,{},{}
1st innings,Ireland,10.4,BJ McCarthy,HH Pandya,0,{},{}
1st innings,Ireland,10.5,BJ McCarthy,HH Pandya,0,{},{}
1st innings,Ireland,10.6,BJ McCarthy,HH Pandya,0,{},{}
1st innings,Ireland,11.1,GJ Delany,AR Patel,1,{},{}
1st innings,Ireland,11.2,BJ McCarthy,AR Patel,0,{},"{'player_out': 'BJ McCarthy', 'kind': 'caught and bowled'}"
1st innings,Ireland,11.3,J Little,AR Patel,1,{},{}
1st innings,Ireland,11.4,GJ Delany,AR Patel,0,{},{}
1st innings,Ireland,11.5,GJ Delany,AR Patel,1,{},{}
1st innings,Ireland,11.6,J Little,AR Patel,0,{},{}
1st innings,Ireland,12.1,GJ Delany,HH Pandya,6,{},{}
1st innings,Ireland,12.2,GJ Delany,HH Pandya,1,{},{}
1st innings,Ireland,12.3,J Little,HH Pandya,4,{},{}
1st innings,Ireland,12.4,J Little,HH Pandya,2,{},{}
1st innings,Ireland,12.5,J Little,HH Pandya,0,{},{}
1st innings,Ireland,12.6,J Little,HH Pandya,1,{},{}
1st innings,Ireland,13.1,J Little,RA Jadeja,0,{},{}
1st innings,Ireland,13.2,J Little,RA Jadeja,4,{},{}
1st innings,Ireland,13.3,J Little,RA Jadeja,0,{},{}
1st innings,Ireland,13.4,J Little,RA Jadeja,1,{},{}
