inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Papua New Guinea,0.1,A Vala,AR Ramjani,0,{},{}
1st innings,Papua New Guinea,0.2,A Vala,AR Ramjani,0,{},"{'player_out': 'A Vala', 'kind': 'lbw'}"
1st innings,Papua New Guinea,0.3,S Bau,AR Ramjani,0,{},{}
1st innings,Papua New Guinea,0.4,S Bau,AR Ramjani,0,{},{}
1st innings,Papua New Guinea,0.5,S Bau,AR Ramjani,0,{},{}
1st innings,Papua New Guinea,0.6,S Bau,AR Ramjani,0,{},{}
1st innings,Papua New Guinea,1.1,TP Ura,C Kyewuta,0,{},{}
1st innings,Papua New Guinea,1.2,TP Ura,C Kyewuta,1,{'legbyes': 1},{}
1st innings,Papua New Guinea,1.3,S Bau,C Kyewuta,4,{},{}
1st innings,Papua New Guinea,1.4,S Bau,C Kyewuta,1,{},{}
1st innings,Papua New Guinea,1.5,TP Ura,C Kyewuta,4,{'legbyes': 4},{}
1st innings,Papua New Guinea,1.6,TP Ura,C Kyewuta,1,{},{}
1st innings,Papua New Guinea,2.1,TP Ura,J Miyaji,2,"{'legbyes': 1, 'noballs': 1}",{}
1st innings,Papua New Guinea,2.2,S Bau,J Miyaji,0,{},{}
1st innings,Papua New Guinea,2.3,S Bau,J Miyaji,4,{'byes': 4},{}
1st innings,Papua New Guinea,2.4,S Bau,J Miyaji,0,{},"{'player_out': 'S Bau', 'fielders': ['RG Mukasa'], 'kind': 'caught'}"
1st innings,Papua New Guinea,2.5,L Siaka,J Miyaji,0,{},{}
1st innings,Papua New Guinea,2.6,L Siaka,J Miyaji,0,{},{}
1st innings,Papua New Guinea,2.7,L Siaka,J Miyaji,1,{},{}
1st innings,Papua New Guinea,3.1,L Siaka,C Kyewuta,0,{},{}
1st innings,Papua New Guinea,3.2,L Siaka,C Kyewuta,1,{'legbyes': 1},{}
