inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Namibia,0.1,JP Kotze,BTJ Wheal,0,{},{}
1st innings,Namibia,0.2,JP Kotze,BTJ Wheal,0,{},{}
1st innings,Namibia,0.3,JP Kotze,BTJ Wheal,0,{},"{'player_out': 'JP Kotze', 'fielders': ['BJ McMullen'], 'kind': 'caught'}"
1st innings,Namibia,0.4,JN Frylinck,BTJ Wheal,0,{},{}
1st innings,Namibia,0.5,JN Frylinck,BTJ Wheal,4,{},{}
1st innings,Namibia,0.6,JN Frylinck,BTJ Wheal,2,"{'legbyes': 1, 'noballs': 1}",{}
1st innings,Namibia,0.7,N Davin,BTJ Wheal,1,{},{}
1st innings,Namibia,1.1,N Davin,BJ Currie,1,{},{}
1st innings,Namibia,1.2,JN Frylinck,BJ Currie,0,{},{}
1st innings,Namibia,1.3,JN Frylinck,BJ Currie,0,{},{}
1st innings,Namibia,1.4,JN Frylinck,BJ Currie,0,{},{}
1st innings,Namibia,1.5,JN Frylinck,BJ Currie,1,{},{}
1st innings,Namibia,1.6,N Davin,BJ Currie,0,{},{}
1st innings,Namibia,2.1,JN Frylinck,BTJ Wheal,0,{},{}
1st innings,Namibia,2.2,JN Frylinck,BTJ Wheal,2,{'wides': 2},{}
1st innings,Namibia,2.3,N Davin,BTJ Wheal,1,{},{}
1st innings,Namibia,2.4,JN Frylinck,BTJ Wheal,0,{},{}
1st innings,Namibia,2.5,JN Frylinck,BTJ Wheal,4,{},{}
1st innings,Namibia,2.6,JN Frylinck,BTJ Wheal,2,{},{}
1st innings,Namibia,2.7,JN Frylinck,BTJ Wheal,1,{},{}
1st innings,Namibia,3.1,JN Frylinck,BJ Currie,0,{},{}
1st innings,Namibia,3.2,JN Frylinck,BJ Currie,0,{},"{'player_out': 'JN Frylinck', 'kind': 'bowled'}"
1st innings,Namibia,3.3,MG Erasmus,BJ Currie,1,{},{}
1st innings,Namibia,3.4,N Davin,BJ Currie,4,{},{}
1st innings,Namibia,3.5,N Davin,BJ Currie,0,{},{}
1st innings,Namibia,3.6,N Davin,BJ Currie,1,{},{}
1st innings,Namibia,4.1,N Davin,CB Sole,4,{},{}
1st innings,Namibia,4.2,N Davin,CB Sole,4,{},{}
1st innings,Namibia,4.3,N Davin,CB Sole,0,{},{}
1st innings,Namibia,4.4,N Davin,CB Sole,4,{},{}
1st innings,Namibia,4.5,N Davin,CB Sole,0,{},"{'player_out': 'N Davin', 'fielders': ['BJ Currie'], 'kind': 'caught'}"
1st innings,Namibia,4.6,MB Kruger,CB Sole,0,{},{}
1st innings,Namibia,5.1,MG Erasmus,MRJ Watt,6,{},{}
1st innings,Namibia,5.2,MG Erasmus,MRJ Watt,4,{},{}
1st innings,Namibia,5.3,MG Erasmus,MRJ Watt,0,{},{}
1st innings,Namibia,5.4,MG Erasmus,MRJ Watt,1,{},{}
1st innings,Namibia,5.5,MB Kruger,MRJ Watt,0,{},{}
1st innings,Namibia,5.6,MB Kruger,MRJ Watt,0,{},{}
1st innings,Namibia,6.1,MG Erasmus,CB Sole,1,{'legbyes': 1},{}
1st innings,Namibia,6.2,MB Kruger,CB Sole,2,{'noballs': 1},{}
1st innings,Namibia,6.3,MG Erasmus,CB Sole,0,{},{}
1st innings,Namibia,6.4,MG Erasmus,CB Sole,1,{},{}
1st innings,Namibia,6.5,MB Kruger,CB Sole,0,{},{}
1st innings,Namibia,6.6,MB Kruger,CB Sole,1,{},{}
1st innings,Namibia,6.7,MG Erasmus,CB Sole,1,{},{}
1st innings,Namibia,7.1,MG Erasmus,CN Greaves,1,{},{}
1st innings,Namibia,7.2,MB Kruger,CN Greaves,0,{},{}
