inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Canada,0.1,A Johnson,MR Adair,0,{},{}
1st innings,Canada,0.2,A Johnson,MR Adair,4,{},{}
1st innings,Canada,0.3,A Johnson,MR Adair,0,{},{}
1st innings,Canada,0.4,A Johnson,MR Adair,1,{},{}
1st innings,Canada,0.5,NS Dhaliwal,MR Adair,0,{},{}
1st innings,Canada,0.6,NS Dhaliwal,MR Adair,1,{},{}
1st innings,Canada,1.1,NS Dhaliwal,J Little,0,{},{}
1st innings,Canada,1.2,NS Dhaliwal,J Little,0,{},{}
1st innings,Canada,1.3,NS Dhaliwal,J Little,1,{'wides': 1},{}
1st innings,Canada,1.4,NS Dhaliwal,J Little,0,{},{}
1st innings,Canada,1.5,NS Dhaliwal,J Little,4,{},{}
1st innings,Canada,1.6,NS Dhaliwal,J Little,0,{},{}
1st innings,Canada,1.7,NS Dhaliwal,J Little,1,{},{}
1st innings,Canada,2.1,NS Dhaliwal,MR Adair,0,{},{}
1st innings,Canada,2.2,NS Dhaliwal,MR Adair,0,{},"{'player_out': 'NS Dhaliwal', 'fielders': ['GH Dockrell'], 'kind': 'caught'}"
1st innings,Canada,2.3,Pargat Singh,MR Adair,0,{},{}
1st innings,Canada,2.4,Pargat Singh,MR Adair,0,{},{}
1st innings,Canada,2.5,Pargat Singh,MR Adair,1,{},{}
1st innings,Canada,2.6,A Johnson,MR Adair,0,{},{}
1st innings,Canada,3.1,Pargat Singh,J Little,0,{},{}
1st innings,Canada,3.2,Pargat Singh,J Little,1,{},{}
1st innings,Canada,3.3,A Johnson,J Little,4,{},{}
1st innings,Canada,3.4,A Johnson,J Little,4,{},{}
1st innings,Canada,3.5,A Johnson,J Little,1,{},{}
1st innings,Canada,3.6,Pargat Singh,J Little,1,{'wides': 1},{}
1st innings,Canada,3.7,Pargat Singh,J Little,3,{},{}
1st innings,Canada,4.1,Pargat Singh,CA Young,1,{},{}
1st innings,Canada,4.2,A Johnson,CA Young,0,{},{}
1st innings,Canada,4.3,A Johnson,CA Young,0,{},{}
1st innings,Canada,4.4,A Johnson,CA Young,0,{},{}
1st innings,Canada,4.5,A Johnson,CA Young,0,{},{}
1st innings,Canada,4.6,A Johnson,CA Young,0,{},"{'player_out': 'A Johnson', 'fielders': ['C Campher'], 'kind': 'caught'}"
1st innings,Canada,5.1,Pargat Singh,BJ McCarthy,4,{},{}
1st innings,Canada,5.2,Pargat Singh,BJ McCarthy,4,{},{}
1st innings,Canada,5.3,Pargat Singh,BJ McCarthy,1,{},{}
1st innings,Canada,5.4,DS Bajwa,BJ McCarthy,0,{},{}
1st innings,Canada,5.5,DS Bajwa,BJ McCarthy,0,{},{}
1st innings,Canada,5.6,DS Bajwa,BJ McCarthy,0,{},{}
1st innings,Canada,6.1,Pargat Singh,CA Young,1,{},{}
1st innings,Canada,6.2,DS Bajwa,CA Young,1,{},{}
1st innings,Canada,6.3,Pargat Singh,CA Young,0,{},{}
1st innings,Canada,6.4,Pargat Singh,CA Young,2,{},{}
1st innings,Canada,6.5,Pargat Singh,CA Young,1,{'wides': 1},{}
1st innings,Canada,6.6,Pargat Singh,CA Young,0,{},"{'player_out': 'Pargat Singh', 'fielders': ['J Little'], 'kind': 'caught'}"
1st innings,Canada,6.7,NR Kirton,CA Young,0,{},{}
1st innings,Canada,7.1,DS Bajwa,BJ McCarthy,1,{},{}
1st innings,Canada,7.2,NR Kirton,BJ McCarthy,1,{},{}
1st innings,Canada,7.3,DS Bajwa,BJ McCarthy,0,{},{}
1st innings,Canada,7.4,DS Bajwa,BJ McCarthy,4,{},{}
1st innings,Canada,7.5,DS Bajwa,BJ McCarthy,1,{},{}
1st innings,Canada,7.6,NR Kirton,BJ McCarthy,4,{},{}
1st innings,Canada,8.1,DS Bajwa,GJ Delany,0,{},"{'player_out': 'DS Bajwa', 'kind': 'caught and bowled'}"
1st innings,Canada,8.2,S Movva,GJ Delany,0,{},{}
1st innings,Canada,8.3,S Movva,GJ Delany,1,{},{}
1st innings,Canada,8.4,NR Kirton,GJ Delany,0,{},{}
1st innings,Canada,8.5,NR Kirton,GJ Delany,2,{},{}
1st innings,Canada,8.6,NR Kirton,GJ Delany,1,{},{}
1st innings,Canada,9.1,NR Kirton,C Campher,1,{},{}
1st innings,Canada,9.2,S Movva,C Campher,0,{},{}
1st innings,Canada,9.3,S Movva,C Campher,0,{},{}
1st innings,Canada,9.4,S Movva,C Campher,2,{},{}
1st innings,Canada,9.5,S Movva,C Campher,1,{},{}
1st innings,Canada,9.6,NR Kirton,C Campher,2,{},{}
1st innings,Canada,10.1,S Movva,GJ Delany,1,{},{}
1st innings,Canada,10.2,NR Kirton,GJ Delany,2,{},{}
1st innings,Canada,10.3,NR Kirton,GJ Delany,1,{},{}
1st innings,Canada,10.4,S Movva,GJ Delany,0,{},{}
1st innings,Canada,10.5,S Movva,GJ Delany,2,{},{}
1st innings,Canada,10.6,S Movva,GJ Delany,0,{},{}
1st innings,Canada,11.1,NR Kirton,C Campher,1,{},{}
1st innings,Canada,11.2,S Movva,C Campher,1,{},{}
1st innings,Canada,11.3,NR Kirton,C Campher,0,{},{}
1st innings,Canada,11.4,NR Kirton,C Campher,0,{},{}
1st innings,Canada,11.5,NR Kirton,C Campher,1,{'wides': 1},{}
1st innings,Canada,11.6,NR Kirton,C Campher,1,{},{}
1st innings,Canada,11.7,S Movva,C Campher,1,{},{}
