inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Sri Lanka,0.1,P Nissanka,Tanzim Hasan Sakib,0,{},{}
1st innings,Sri Lanka,0.2,P Nissanka,Tanzim Hasan Sakib,4,{},{}
1st innings,Sri Lanka,0.3,P Nissanka,Tanzim Hasan Sakib,0,{},{}
1st innings,Sri Lanka,0.4,P Nissanka,Tanzim Hasan Sakib,1,{},{}
1st innings,Sri Lanka,0.5,BKG Mendis,Tanzim Hasan Sakib,0,{},{}
1st innings,Sri Lanka,0.6,BKG Mendis,Tanzim Hasan Sakib,0,{},{}
1st innings,Sri Lanka,1.1,P Nissanka,Shakib Al Hasan,0,{},{}
1st innings,Sri Lanka,1.2,P Nissanka,Shakib Al Hasan,5,{},{}
1st innings,Sri Lanka,1.3,BKG Mendis,Shakib Al Hasan,0,{},{}
1st innings,Sri Lanka,1.4,BKG Mendis,Shakib Al Hasan,1,{},{}
1st innings,Sri Lanka,1.5,P Nissanka,Shakib Al Hasan,1,{},{}
1st innings,Sri Lanka,1.6,BKG Mendis,Shakib Al Hasan,1,{},{}
1st innings,Sri Lanka,2.1,BKG Mendis,Taskin Ahmed,4,{},{}
1st innings,Sri Lanka,2.2,BKG Mendis,Taskin Ahmed,4,{},{}
1st innings,Sri Lanka,2.3,BKG Mendis,Taskin Ahmed,0,{},"{'player_out': 'BKG Mendis', 'kind': 'bowled'}"
1st innings,Sri Lanka,2.4,PHKD Mendis,Taskin Ahmed,4,{},{}
1st innings,Sri Lanka,2.5,PHKD Mendis,Taskin Ahmed,0,{},{}
1st innings,Sri Lanka,2.6,PHKD Mendis,Taskin Ahmed,0,{},{}
1st innings,Sri Lanka,3.1,P Nissanka,Tanzim Hasan Sakib,0,{},{}
1st innings,Sri Lanka,3.2,P Nissanka,Tanzim Hasan Sakib,6,{},{}
1st innings,Sri Lanka,3.3,P Nissanka,Tanzim Hasan Sakib,0,{},{}
1st innings,Sri Lanka,3.4,P Nissanka,Tanzim Hasan Sakib,0,{},{}
1st innings,Sri Lanka,3.5,P Nissanka,Tanzim Hasan Sakib,1,{},{}
1st innings,Sri Lanka,3.6,PHKD Mendis,Tanzim Hasan Sakib,0,{},{}
1st innings,Sri Lanka,4.1,P Nissanka,Shakib Al Hasan,4,{},{}
1st innings,Sri Lanka,4.2,P Nissanka,Shakib Al Hasan,4,{},{}
1st innings,Sri Lanka,4.3,P Nissanka,Shakib Al Hasan,0,{},{}
1st innings,Sri Lanka,4.4,P Nissanka,Shakib Al Hasan,4,{},{}
1st innings,Sri Lanka,4.5,P Nissanka,Shakib Al Hasan,4,{},{}
1st innings,Sri Lanka,4.6,P Nissanka,Shakib Al Hasan,0,{},{}
1st innings,Sri Lanka,5.1,PHKD Mendis,Mustafizur Rahman,0,{},"{'player_out': 'PHKD Mendis', 'fielders': ['Tanzim Hasan Sakib'], 'kind': 'caught'}"
1st innings,Sri Lanka,5.2,DM de Silva,Mustafizur Rahman,0,{},{}
1st innings,Sri Lanka,5.3,DM de Silva,Mustafizur Rahman,4,{},{}
1st innings,Sri Lanka,5.4,DM de Silva,Mustafizur Rahman,0,{},{}
1st innings,Sri Lanka,5.5,DM de Silva,Mustafizur Rahman,0,{},{}
1st innings,Sri Lanka,5.6,DM de Silva,Mustafizur Rahman,1,{},{}
1st innings,Sri Lanka,6.1,DM de Silva,Taskin Ahmed,1,{},{}
1st innings,Sri Lanka,6.2,P Nissanka,Taskin Ahmed,1,{},{}
1st innings,Sri Lanka,6.3,DM de Silva,Taskin Ahmed,1,{},{}
1st innings,Sri Lanka,6.4,P Nissanka,Taskin Ahmed,1,{},{}
1st innings,Sri Lanka,6.5,DM de Silva,Taskin Ahmed,0,{},{}
1st innings,Sri Lanka,6.6,DM de Silva,Taskin Ahmed,0,{},{}
1st innings,Sri Lanka,7.1,P Nissanka,Rishad Hossain,4,{},{}
1st innings,Sri Lanka,7.2,P Nissanka,Rishad Hossain,0,{},{}
1st innings,Sri Lanka,7.3,P Nissanka,Rishad Hossain,1,{},{}
1st innings,Sri Lanka,7.4,DM de Silva,Rishad Hossain,0,{},{}
1st innings,Sri Lanka,7.5,DM de Silva,Rishad Hossain,1,{},{}
1st innings,Sri Lanka,7.6,P Nissanka,Rishad Hossain,1,{},{}
1st innings,Sri Lanka,8.1,P Nissanka,Mustafizur Rahman,1,{},{}
1st innings,Sri Lanka,8.2,DM de Silva,Mustafizur Rahman,1,{},{}
1st innings,Sri Lanka,8.3,P Nissanka,Mustafizur Rahman,0,{},{}
1st innings,Sri Lanka,8.4,P Nissanka,Mustafizur Rahman,4,{},{}
1st innings,Sri Lanka,8.5,P Nissanka,Mustafizur Rahman,0,{},"{'player_out': 'P Nissanka', 'fielders': ['Nazmul Hossain Shanto'], 'kind': 'caught'}"
1st innings,Sri Lanka,8.6,KIC Asalanka,Mustafizur Rahman,0,{},{}
1st innings,Sri Lanka,9.1,DM de Silva,Mahmudullah,1,{},{}
1st innings,Sri Lanka,9.2,KIC Asalanka,Mahmudullah,1,{},{}
1st innings,Sri Lanka,9.3,DM de Silva,Mahmudullah,1,{},{}
1st innings,Sri Lanka,9.4,KIC Asalanka,Mahmudullah,0,{},{}
1st innings,Sri Lanka,9.5,KIC Asalanka,Mahmudullah,0,{},{}
1st innings,Sri Lanka,9.6,KIC Asalanka,Mahmudullah,1,{},{}
1st innings,Sri Lanka,10.1,KIC Asalanka,Rishad Hossain,0,{},{}
1st innings,Sri Lanka,10.2,KIC Asalanka,Rishad Hossain,0,{},{}
1st innings,Sri Lanka,10.3,KIC Asalanka,Rishad Hossain,1,{},{}
1st innings,Sri Lanka,10.4,DM de Silva,Rishad Hossain,1,{},{}
1st innings,Sri Lanka,10.5,KIC Asalanka,Rishad Hossain,6,{},{}
1st innings,Sri Lanka,10.6,KIC Asalanka,Rishad Hossain,1,{},{}
1st innings,Sri Lanka,11.1,KIC Asalanka,Taskin Ahmed,0,{},{}
1st innings,Sri Lanka,11.2,KIC Asalanka,Taskin Ahmed,1,{},{}
1st innings,Sri Lanka,11.3,DM de Silva,Taskin Ahmed,0,{},{}
1st innings,Sri Lanka,11.4,DM de Silva,Taskin Ahmed,1,{},{}
1st innings,Sri Lanka,11.5,KIC Asalanka,Taskin Ahmed,0,{},{}
1st innings,Sri Lanka,11.6,KIC Asalanka,Taskin Ahmed,4,{},{}
1st innings,Sri Lanka,12.1,DM de Silva,Shakib Al Hasan,1,{},{}
1st innings,Sri Lanka,12.2,KIC Asalanka,Shakib Al Hasan,1,{},{}
1st innings,Sri Lanka,12.3,DM de Silva,Shakib Al Hasan,1,{},{}
1st innings,Sri Lanka,12.4,KIC Asalanka,Shakib Al Hasan,0,{},{}
1st innings,Sri Lanka,12.5,KIC Asalanka,Shakib Al Hasan,1,{},{}
1st innings,Sri Lanka,12.6,DM de Silva,Shakib Al Hasan,2,{},{}
1st innings,Sri Lanka,13.1,KIC Asalanka,Mustafizur Rahman,1,{},{}
1st innings,Sri Lanka,13.2,DM de Silva,Mustafizur Rahman,0,{},{}
1st innings,Sri Lanka,13.3,DM de Silva,Mustafizur Rahman,1,{},{}
1st innings,Sri Lanka,13.4,KIC Asalanka,Mustafizur Rahman,1,{},{}
1st innings,Sri Lanka,13.5,DM de Silva,Mustafizur Rahman,1,{},{}
1st innings,Sri Lanka,13.6,KIC Asalanka,Mustafizur Rahman,1,{'legbyes': 1},{}
1st innings,Sri Lanka,14.1,KIC Asalanka,Rishad Hossain,0,{},"{'player_out': 'KIC Asalanka', 'fielders': ['Shakib Al Hasan'], 'kind': 'caught'}"
1st innings,Sri Lanka,14.2,PWH de Silva,Rishad Hossain,0,{},"{'player_out': 'PWH de Silva', 'fielders': ['Soumya Sarkar'], 'kind': 'caught'}"
1st innings,Sri Lanka,14.3,AD Mathews,Rishad Hossain,0,{},{}
1st innings,Sri Lanka,14.4,AD Mathews,Rishad Hossain,1,{},{}
1st innings,Sri Lanka,14.5,DM de Silva,Rishad Hossain,1,{},{}
1st innings,Sri Lanka,14.6,AD Mathews,Rishad Hossain,1,{},{}
1st innings,Sri Lanka,15.1,AD Mathews,Tanzim Hasan Sakib,1,{},{}
1st innings,Sri Lanka,15.2,DM de Silva,Tanzim Hasan Sakib,1,{},{}
1st innings,Sri Lanka,15.3,AD Mathews,Tanzim Hasan Sakib,2,{},{}
1st innings,Sri Lanka,15.4,AD Mathews,Tanzim Hasan Sakib,0,{},{}
1st innings,Sri Lanka,15.5,AD Mathews,Tanzim Hasan Sakib,2,{},{}
1st innings,Sri Lanka,15.6,AD Mathews,Tanzim Hasan Sakib,0,{},{}
1st innings,Sri Lanka,16.1,DM de Silva,Rishad Hossain,0,{},"{'player_out': 'DM de Silva', 'fielders': ['Liton Das'], 'kind': 'stumped'}"
1st innings,Sri Lanka,16.2,MD Shanaka,Rishad Hossain,0,{},{}
1st innings,Sri Lanka,16.3,MD Shanaka,Rishad Hossain,1,{},{}
1st innings,Sri Lanka,16.4,AD Mathews,Rishad Hossain,0,{},{}
1st innings,Sri Lanka,16.5,AD Mathews,Rishad Hossain,1,{},{}
1st innings,Sri Lanka,16.6,MD Shanaka,Rishad Hossain,1,{},{}
1st innings,Sri Lanka,17.1,MD Shanaka,Taskin Ahmed,1,{},{}
1st innings,Sri Lanka,17.2,AD Mathews,Taskin Ahmed,0,{},{}
1st innings,Sri Lanka,17.3,AD Mathews,Taskin Ahmed,1,{'wides': 1},{}
1st innings,Sri Lanka,17.4,AD Mathews,Taskin Ahmed,1,{},{}
1st innings,Sri Lanka,17.5,MD Shanaka,Taskin Ahmed,0,{},{}
1st innings,Sri Lanka,17.6,MD Shanaka,Taskin Ahmed,0,{},{}
1st innings,Sri Lanka,17.7,MD Shanaka,Taskin Ahmed,0,{},"{'player_out': 'MD Shanaka', 'fielders': ['Liton Das'], 'kind': 'caught'}"
1st innings,Sri Lanka,18.1,AD Mathews,Mustafizur Rahman,0,{},{}
1st innings,Sri Lanka,18.2,AD Mathews,Mustafizur Rahman,1,{},{}
1st innings,Sri Lanka,18.3,M Theekshana,Mustafizur Rahman,0,{},{}
1st innings,Sri Lanka,18.4,M Theekshana,Mustafizur Rahman,1,{'wides': 1},{}
1st innings,Sri Lanka,18.5,M Theekshana,Mustafizur Rahman,0,{},{}
1st innings,Sri Lanka,18.6,M Theekshana,Mustafizur Rahman,0,{},"{'player_out': 'M Theekshana', 'fielders': ['Tanzim Hasan Sakib'], 'kind': 'caught'}"
1st innings,Sri Lanka,18.7,M Pathirana,Mustafizur Rahman,0,{},{}
1st innings,Sri Lanka,19.1,AD Mathews,Tanzim Hasan Sakib,4,{},{}
1st innings,Sri Lanka,19.2,AD Mathews,Tanzim Hasan Sakib,2,{},{}
1st innings,Sri Lanka,19.3,AD Mathews,Tanzim Hasan Sakib,0,{},{}
1st innings,Sri Lanka,19.4,AD Mathews,Tanzim Hasan Sakib,0,{},{}
1st innings,Sri Lanka,19.5,AD Mathews,Tanzim Hasan Sakib,0,{},"{'player_out': 'AD Mathews', 'fielders': ['Mustafizur Rahman'], 'kind': 'caught'}"
1st innings,Sri Lanka,19.6,N Thushara,Tanzim Hasan Sakib,1,{'legbyes': 1},{}
2nd innings,Bangladesh,0.1,Tanzid Hasan,DM de Silva,1,{},{}
2nd innings,Bangladesh,0.2,Soumya Sarkar,DM de Silva,0,{},{}
2nd innings,Bangladesh,0.3,Soumya Sarkar,DM de Silva,0,{},"{'player_out': 'Soumya Sarkar', 'fielders': ['PWH de Silva'], 'kind': 'caught'}"
2nd innings,Bangladesh,0.4,Liton Das,DM de Silva,1,{},{}
2nd innings,Bangladesh,0.5,Tanzid Hasan,DM de Silva,0,{},{}
2nd innings,Bangladesh,0.6,Tanzid Hasan,DM de Silva,1,{},{}
2nd innings,Bangladesh,1.1,Tanzid Hasan,N Thushara,1,{'wides': 1},{}
2nd innings,Bangladesh,1.2,Tanzid Hasan,N Thushara,0,{},{}
2nd innings,Bangladesh,1.3,Tanzid Hasan,N Thushara,1,{},{}
2nd innings,Bangladesh,1.4,Liton Das,N Thushara,1,{},{}
2nd innings,Bangladesh,1.5,Tanzid Hasan,N Thushara,0,{},"{'player_out': 'Tanzid Hasan', 'kind': 'bowled'}"
2nd innings,Bangladesh,1.6,Nazmul Hossain Shanto,N Thushara,1,{'wides': 1},{}
2nd innings,Bangladesh,1.7,Nazmul Hossain Shanto,N Thushara,1,{},{}
2nd innings,Bangladesh,1.8,Liton Das,N Thushara,0,{},{}
2nd innings,Bangladesh,2.1,Nazmul Hossain Shanto,M Theekshana,0,{},{}
2nd innings,Bangladesh,2.2,Nazmul Hossain Shanto,M Theekshana,1,{'wides': 1},{}
2nd innings,Bangladesh,2.3,Nazmul Hossain Shanto,M Theekshana,1,{},{}
2nd innings,Bangladesh,2.4,Liton Das,M Theekshana,3,{},{}
2nd innings,Bangladesh,2.5,Nazmul Hossain Shanto,M Theekshana,1,{},{}
2nd innings,Bangladesh,2.6,Liton Das,M Theekshana,1,{},{}
2nd innings,Bangladesh,2.7,Nazmul Hossain Shanto,M Theekshana,1,{'legbyes': 1},{}
2nd innings,Bangladesh,3.1,Nazmul Hossain Shanto,N Thushara,0,{},{}
2nd innings,Bangladesh,3.2,Nazmul Hossain Shanto,N Thushara,1,{},{}
2nd innings,Bangladesh,3.3,Liton Das,N Thushara,1,{},{}
2nd innings,Bangladesh,3.4,Nazmul Hossain Shanto,N Thushara,1,{},{}
2nd innings,Bangladesh,3.5,Liton Das,N Thushara,1,{},{}
2nd innings,Bangladesh,3.6,Nazmul Hossain Shanto,N Thushara,0,{},{}
2nd innings,Bangladesh,4.1,Liton Das,M Theekshana,0,{},{}
2nd innings,Bangladesh,4.2,Liton Das,M Theekshana,1,{},{}
2nd innings,Bangladesh,4.3,Nazmul Hossain Shanto,M Theekshana,1,{},{}
2nd innings,Bangladesh,4.4,Liton Das,M Theekshana,1,{},{}
2nd innings,Bangladesh,4.5,Nazmul Hossain Shanto,M Theekshana,1,{},{}
2nd innings,Bangladesh,4.6,Liton Das,M Theekshana,4,{},{}
2nd innings,Bangladesh,5.1,Nazmul Hossain Shanto,N Thushara,0,{},{}
2nd innings,Bangladesh,5.2,Nazmul Hossain Shanto,N Thushara,0,{},"{'player_out': 'Nazmul Hossain Shanto', 'fielders': ['KIC Asalanka'], 'kind': 'caught'}"
2nd innings,Bangladesh,5.3,Towhid Hridoy,N Thushara,0,{},{}
2nd innings,Bangladesh,5.4,Towhid Hridoy,N Thushara,1,{'wides': 1},{}
2nd innings,Bangladesh,5.5,Towhid Hridoy,N Thushara,1,{},{}
2nd innings,Bangladesh,5.6,Liton Das,N Thushara,0,{},{}
2nd innings,Bangladesh,5.7,Liton Das,N Thushara,4,{},{}
2nd innings,Bangladesh,6.1,Towhid Hridoy,PWH de Silva,1,{},{}
2nd innings,Bangladesh,6.2,Liton Das,PWH de Silva,1,{},{}
2nd innings,Bangladesh,6.3,Towhid Hridoy,PWH de Silva,0,{},{}
2nd innings,Bangladesh,6.4,Towhid Hridoy,PWH de Silva,1,{},{}
2nd innings,Bangladesh,6.5,Liton Das,PWH de Silva,0,{},{}
2nd innings,Bangladesh,6.6,Liton Das,PWH de Silva,0,{},{}
2nd innings,Bangladesh,7.1,Towhid Hridoy,M Pathirana,1,{'wides': 1},{}
2nd innings,Bangladesh,7.2,Towhid Hridoy,M Pathirana,0,{},{}
2nd innings,Bangladesh,7.3,Towhid Hridoy,M Pathirana,3,{},{}
2nd innings,Bangladesh,7.4,Liton Das,M Pathirana,0,{},{}
2nd innings,Bangladesh,7.5,Liton Das,M Pathirana,1,{},{}
2nd innings,Bangladesh,7.6,Towhid Hridoy,M Pathirana,1,{'wides': 1},{}
2nd innings,Bangladesh,7.7,Towhid Hridoy,M Pathirana,2,{},{}
2nd innings,Bangladesh,7.8,Towhid Hridoy,M Pathirana,4,{},{}
2nd innings,Bangladesh,8.1,Liton Das,PWH de Silva,1,{},{}
2nd innings,Bangladesh,8.2,Towhid Hridoy,PWH de Silva,1,{},{}
2nd innings,Bangladesh,8.3,Liton Das,PWH de Silva,0,{},{}
2nd innings,Bangladesh,8.4,Liton Das,PWH de Silva,0,{},{}
2nd innings,Bangladesh,8.5,Liton Das,PWH de Silva,1,{},{}
2nd innings,Bangladesh,8.6,Towhid Hridoy,PWH de Silva,6,{},{}
2nd innings,Bangladesh,9.1,Liton Das,M Theekshana,0,{},{}
2nd innings,Bangladesh,9.2,Liton Das,M Theekshana,0,{},{}
2nd innings,Bangladesh,9.3,Liton Das,M Theekshana,1,{'wides': 1},{}
2nd innings,Bangladesh,9.4,Liton Das,M Theekshana,1,{'wides': 1},{}
2nd innings,Bangladesh,9.5,Liton Das,M Theekshana,2,{},{}
2nd innings,Bangladesh,9.6,Liton Das,M Theekshana,1,{},{}
2nd innings,Bangladesh,9.7,Towhid Hridoy,M Theekshana,0,{},{}
2nd innings,Bangladesh,9.8,Towhid Hridoy,M Theekshana,1,{},{}
2nd innings,Bangladesh,10.1,Towhid Hridoy,M Pathirana,0,{},{}
2nd innings,Bangladesh,10.2,Towhid Hridoy,M Pathirana,1,{},{}
2nd innings,Bangladesh,10.3,Liton Das,M Pathirana,1,{},{}
2nd innings,Bangladesh,10.4,Towhid Hridoy,M Pathirana,1,{},{}
2nd innings,Bangladesh,10.5,Liton Das,M Pathirana,6,{},{}
2nd innings,Bangladesh,10.6,Liton Das,M Pathirana,0,{},{}
2nd innings,Bangladesh,11.1,Towhid Hridoy,PWH de Silva,6,{},{}
2nd innings,Bangladesh,11.2,Towhid Hridoy,PWH de Silva,6,{},{}
2nd innings,Bangladesh,11.3,Towhid Hridoy,PWH de Silva,6,{},{}
2nd innings,Bangladesh,11.4,Towhid Hridoy,PWH de Silva,0,{},"{'player_out': 'Towhid Hridoy', 'kind': 'lbw'}"
2nd innings,Bangladesh,11.5,Shakib Al Hasan,PWH de Silva,1,{},{}
2nd innings,Bangladesh,11.6,Liton Das,PWH de Silva,0,{},{}
2nd innings,Bangladesh,12.1,Shakib Al Hasan,M Pathirana,1,{},{}
2nd innings,Bangladesh,12.2,Liton Das,M Pathirana,0,{},{}
2nd innings,Bangladesh,12.3,Liton Das,M Pathirana,2,{},{}
2nd innings,Bangladesh,12.4,Liton Das,M Pathirana,0,{},{}
2nd innings,Bangladesh,12.5,Liton Das,M Pathirana,0,{},{}
2nd innings,Bangladesh,12.6,Liton Das,M Pathirana,0,{},{}
2nd innings,Bangladesh,13.1,Shakib Al Hasan,M Theekshana,0,{},{}
2nd innings,Bangladesh,13.2,Shakib Al Hasan,M Theekshana,1,{},{}
2nd innings,Bangladesh,13.3,Liton Das,M Theekshana,1,{},{}
2nd innings,Bangladesh,13.4,Shakib Al Hasan,M Theekshana,0,{},{}
2nd innings,Bangladesh,13.5,Shakib Al Hasan,M Theekshana,1,{},{}
2nd innings,Bangladesh,13.6,Liton Das,M Theekshana,1,{},{}
2nd innings,Bangladesh,14.1,Liton Das,PWH de Silva,0,{},"{'player_out': 'Liton Das', 'kind': 'lbw'}"
2nd innings,Bangladesh,14.2,Mahmudullah,PWH de Silva,1,{},{}
2nd innings,Bangladesh,14.3,Shakib Al Hasan,PWH de Silva,0,{},{}
2nd innings,Bangladesh,14.4,Shakib Al Hasan,PWH de Silva,0,{},{}
2nd innings,Bangladesh,14.5,Shakib Al Hasan,PWH de Silva,0,{},{}
2nd innings,Bangladesh,14.6,Shakib Al Hasan,PWH de Silva,0,{},{}
2nd innings,Bangladesh,15.1,Mahmudullah,DM de Silva,1,{},{}
2nd innings,Bangladesh,15.2,Shakib Al Hasan,DM de Silva,1,{},{}
2nd innings,Bangladesh,15.3,Mahmudullah,DM de Silva,1,{},{}
2nd innings,Bangladesh,15.4,Shakib Al Hasan,DM de Silva,2,{},{}
2nd innings,Bangladesh,15.5,Shakib Al Hasan,DM de Silva,1,{},{}
2nd innings,Bangladesh,15.6,Mahmudullah,DM de Silva,1,{'wides': 1},{}
2nd innings,Bangladesh,15.7,Mahmudullah,DM de Silva,1,{},{}
2nd innings,Bangladesh,16.1,Mahmudullah,M Pathirana,1,{},{}
2nd innings,Bangladesh,16.2,Shakib Al Hasan,M Pathirana,0,{},"{'player_out': 'Shakib Al Hasan', 'fielders': ['M Theekshana'], 'kind': 'caught'}"
2nd innings,Bangladesh,16.3,Rishad Hossain,M Pathirana,1,{},{}
2nd innings,Bangladesh,16.4,Mahmudullah,M Pathirana,0,{},{}
2nd innings,Bangladesh,16.5,Mahmudullah,M Pathirana,1,{},{}
2nd innings,Bangladesh,16.6,Rishad Hossain,M Pathirana,0,{},{}
2nd innings,Bangladesh,17.1,Mahmudullah,N Thushara,0,{},{}
2nd innings,Bangladesh,17.2,Mahmudullah,N Thushara,1,{},{}
2nd innings,Bangladesh,17.3,Rishad Hossain,N Thushara,1,{'wides': 1},{}
2nd innings,Bangladesh,17.4,Rishad Hossain,N Thushara,0,{},"{'player_out': 'Rishad Hossain', 'kind': 'bowled'}"
2nd innings,Bangladesh,17.5,Taskin Ahmed,N Thushara,0,{},"{'player_out': 'Taskin Ahmed', 'kind': 'lbw'}"
2nd innings,Bangladesh,17.6,Tanzim Hasan Sakib,N Thushara,1,{'wides': 1},{}
2nd innings,Bangladesh,17.7,Tanzim Hasan Sakib,N Thushara,0,{},{}
2nd innings,Bangladesh,17.8,Tanzim Hasan Sakib,N Thushara,0,{},{}
2nd innings,Bangladesh,18.1,Mahmudullah,MD Shanaka,6,{},{}
2nd innings,Bangladesh,18.2,Mahmudullah,MD Shanaka,1,{},{}
2nd innings,Bangladesh,18.3,Tanzim Hasan Sakib,MD Shanaka,0,{},{}
2nd innings,Bangladesh,18.4,Tanzim Hasan Sakib,MD Shanaka,1,{},{}
2nd innings,Bangladesh,18.5,Mahmudullah,MD Shanaka,0,{},{}
2nd innings,Bangladesh,18.6,Mahmudullah,MD Shanaka,1,{'wides': 1},{}
2nd innings,Bangladesh,18.7,Mahmudullah,MD Shanaka,2,{},{}
