inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Netherlands,0.1,M Levitt,M Jansen,0,{},{}
1st innings,Netherlands,0.2,M Levitt,M Jansen,0,{},{}
1st innings,Netherlands,0.3,M Levitt,M Jansen,1,{'wides': 1},{}
1st innings,Netherlands,0.4,M Levitt,M Jansen,0,{},"{'player_out': 'M Levitt', 'fielders': ['Q de Kock'], 'kind': 'caught'}"
1st innings,Netherlands,0.5,Vikramjit Singh,M Jansen,0,{},{}
1st innings,Netherlands,0.6,Vikramjit Singh,M Jansen,0,{},{}
1st innings,Netherlands,0.7,Vikramjit Singh,M Jansen,0,{},{}
1st innings,Netherlands,1.1,MP O'Dowd,K Rabada,1,{},{}
1st innings,Netherlands,1.2,Vikramjit Singh,K Rabada,0,{},{}
1st innings,Netherlands,1.3,Vikramjit Singh,K Rabada,0,{},{}
1st innings,Netherlands,1.4,Vikramjit Singh,K Rabada,4,{},{}
1st innings,Netherlands,1.5,Vikramjit Singh,K Rabada,0,{},{}
1st innings,Netherlands,1.6,Vikramjit Singh,K Rabada,1,{},{}
1st innings,Netherlands,2.1,Vikramjit Singh,M Jansen,2,{},{}
1st innings,Netherlands,2.2,Vikramjit Singh,M Jansen,0,{},{}
1st innings,Netherlands,2.3,Vikramjit Singh,M Jansen,1,{'noballs': 1},{}
1st innings,Netherlands,2.4,Vikramjit Singh,M Jansen,0,{},{}
1st innings,Netherlands,2.5,Vikramjit Singh,M Jansen,2,{},{}
1st innings,Netherlands,2.6,Vikramjit Singh,M Jansen,1,{},{}
1st innings,Netherlands,2.7,MP O'Dowd,M Jansen,1,{},{}
1st innings,Netherlands,3.1,MP O'Dowd,OEG Baartman,0,{},{}
1st innings,Netherlands,3.2,MP O'Dowd,OEG Baartman,0,{},{}
1st innings,Netherlands,3.3,MP O'Dowd,OEG Baartman,1,{'wides': 1},{}
1st innings,Netherlands,3.4,MP O'Dowd,OEG Baartman,0,{},{}
1st innings,Netherlands,3.5,MP O'Dowd,OEG Baartman,0,{},"{'player_out': ""MP O'Dowd"", 'fielders': ['M Jansen'], 'kind': 'caught'}"
1st innings,Netherlands,3.6,SA Engelbrecht,OEG Baartman,0,{},{}
1st innings,Netherlands,3.7,SA Engelbrecht,OEG Baartman,0,{},{}
1st innings,Netherlands,4.1,Vikramjit Singh,M Jansen,2,{},{}
1st innings,Netherlands,4.2,Vikramjit Singh,M Jansen,0,{},{}
1st innings,Netherlands,4.3,Vikramjit Singh,M Jansen,0,{},"{'player_out': 'Vikramjit Singh', 'kind': 'bowled'}"
1st innings,Netherlands,4.4,BFW de Leede,M Jansen,0,{},{}
1st innings,Netherlands,4.5,BFW de Leede,M Jansen,1,{},{}
1st innings,Netherlands,4.6,SA Engelbrecht,M Jansen,0,{},{}
1st innings,Netherlands,5.1,BFW de Leede,OEG Baartman,0,{},{}
1st innings,Netherlands,5.2,BFW de Leede,OEG Baartman,0,{},{}
1st innings,Netherlands,5.3,BFW de Leede,OEG Baartman,1,{},{}
1st innings,Netherlands,5.4,SA Engelbrecht,OEG Baartman,1,{},{}
1st innings,Netherlands,5.5,BFW de Leede,OEG Baartman,0,{},{}
1st innings,Netherlands,5.6,BFW de Leede,OEG Baartman,0,{},{}
1st innings,Netherlands,6.1,SA Engelbrecht,K Rabada,2,{},{}
1st innings,Netherlands,6.2,SA Engelbrecht,K Rabada,0,{},{}
1st innings,Netherlands,6.3,SA Engelbrecht,K Rabada,0,{},{}
1st innings,Netherlands,6.4,SA Engelbrecht,K Rabada,0,{},{}
1st innings,Netherlands,6.5,SA Engelbrecht,K Rabada,1,{},{}
1st innings,Netherlands,6.6,BFW de Leede,K Rabada,0,{},{}
1st innings,Netherlands,7.1,SA Engelbrecht,A Nortje,1,{},{}
1st innings,Netherlands,7.2,BFW de Leede,A Nortje,0,{},{}
1st innings,Netherlands,7.3,BFW de Leede,A Nortje,0,{},{}
1st innings,Netherlands,7.4,BFW de Leede,A Nortje,0,{},{}
1st innings,Netherlands,7.5,BFW de Leede,A Nortje,0,{},{}
1st innings,Netherlands,7.6,BFW de Leede,A Nortje,2,{},{}
1st innings,Netherlands,8.1,SA Engelbrecht,KA Maharaj,2,{},{}
1st innings,Netherlands,8.2,SA Engelbrecht,KA Maharaj,0,{},{}
1st innings,Netherlands,8.3,SA Engelbrecht,KA Maharaj,1,{},{}
1st innings,Netherlands,8.4,BFW de Leede,KA Maharaj,1,{},{}
1st innings,Netherlands,8.5,SA Engelbrecht,KA Maharaj,1,{},{}
1st innings,Netherlands,8.6,BFW de Leede,KA Maharaj,1,{},{}
1st innings,Netherlands,9.1,BFW de Leede,A Nortje,0,{},"{'player_out': 'BFW de Leede', 'fielders': ['DA Miller'], 'kind': 'caught'}"
1st innings,Netherlands,9.2,SA Edwards,A Nortje,0,{},{}
1st innings,Netherlands,9.3,SA Edwards,A Nortje,1,{},{}
1st innings,Netherlands,9.4,SA Engelbrecht,A Nortje,0,{},{}
1st innings,Netherlands,9.5,SA Engelbrecht,A Nortje,0,{},{}
1st innings,Netherlands,9.6,SA Engelbrecht,A Nortje,2,{},{}
1st innings,Netherlands,10.1,SA Edwards,KA Maharaj,1,{},{}
1st innings,Netherlands,10.2,SA Engelbrecht,KA Maharaj,1,{},{}
1st innings,Netherlands,10.3,SA Edwards,KA Maharaj,0,{},{}
1st innings,Netherlands,10.4,SA Edwards,KA Maharaj,1,{},{}
1st innings,Netherlands,10.5,SA Engelbrecht,KA Maharaj,1,{},{}
1st innings,Netherlands,10.6,SA Edwards,KA Maharaj,1,{},{}
1st innings,Netherlands,11.1,SA Edwards,A Nortje,0,{},{}
1st innings,Netherlands,11.2,SA Edwards,A Nortje,6,{},{}
1st innings,Netherlands,11.3,SA Edwards,A Nortje,0,{},"{'player_out': 'SA Edwards', 'fielders': ['AK Markram'], 'kind': 'run out'}"
1st innings,Netherlands,11.4,SA Engelbrecht,A Nortje,1,{},{}
1st innings,Netherlands,11.5,AT Nidamanuru,A Nortje,1,{'wides': 1},{}
1st innings,Netherlands,11.6,AT Nidamanuru,A Nortje,0,{},"{'player_out': 'AT Nidamanuru', 'fielders': ['H Klaasen'], 'kind': 'caught'}"
1st innings,Netherlands,11.7,LV van Beek,A Nortje,0,{},{}
1st innings,Netherlands,12.1,SA Engelbrecht,KA Maharaj,1,{},{}
1st innings,Netherlands,12.2,LV van Beek,KA Maharaj,1,{},{}
1st innings,Netherlands,12.3,SA Engelbrecht,KA Maharaj,1,{},{}
1st innings,Netherlands,12.4,LV van Beek,KA Maharaj,0,{},{}
1st innings,Netherlands,12.5,LV van Beek,KA Maharaj,0,{},{}
1st innings,Netherlands,12.6,LV van Beek,KA Maharaj,1,{'wides': 1},{}
1st innings,Netherlands,12.7,LV van Beek,KA Maharaj,0,{},{}
1st innings,Netherlands,13.1,SA Engelbrecht,K Rabada,0,{},{}
1st innings,Netherlands,13.2,SA Engelbrecht,K Rabada,1,{'legbyes': 1},{}
1st innings,Netherlands,13.3,LV van Beek,K Rabada,1,{},{}
1st innings,Netherlands,13.4,SA Engelbrecht,K Rabada,1,{},{}
1st innings,Netherlands,13.5,LV van Beek,K Rabada,1,{},{}
1st innings,Netherlands,13.6,SA Engelbrecht,K Rabada,1,{'wides': 1},{}
1st innings,Netherlands,13.7,SA Engelbrecht,K Rabada,0,{},{}
1st innings,Netherlands,14.1,LV van Beek,KA Maharaj,0,{},{}
1st innings,Netherlands,14.2,LV van Beek,KA Maharaj,1,{},{}
1st innings,Netherlands,14.3,SA Engelbrecht,KA Maharaj,4,{},{}
1st innings,Netherlands,14.4,SA Engelbrecht,KA Maharaj,1,{},{}
1st innings,Netherlands,14.5,LV van Beek,KA Maharaj,2,{},{}
1st innings,Netherlands,14.6,LV van Beek,KA Maharaj,1,{},{}
1st innings,Netherlands,15.1,LV van Beek,A Nortje,0,{},{}
1st innings,Netherlands,15.2,LV van Beek,A Nortje,1,{},{}
1st innings,Netherlands,15.3,SA Engelbrecht,A Nortje,0,{},{}
1st innings,Netherlands,15.4,SA Engelbrecht,A Nortje,1,{},{}
1st innings,Netherlands,15.5,LV van Beek,A Nortje,1,{},{}
1st innings,Netherlands,15.6,SA Engelbrecht,A Nortje,1,{'noballs': 1},{}
