inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,West Indies,0.1,BA King,AR Ramjani,0,{},{}
1st innings,West Indies,0.2,BA King,AR Ramjani,1,{},{}
1st innings,West Indies,0.3,J Charles,AR Ramjani,4,{'byes': 4},{}
1st innings,West Indies,0.4,J Charles,AR Ramjani,0,{},{}
1st innings,West Indies,0.5,J Charles,AR Ramjani,0,{},{}
1st innings,West Indies,0.6,J Charles,AR Ramjani,1,{},{}
1st innings,West Indies,1.1,J Charles,C Kyewuta,0,{},{}
1st innings,West Indies,1.2,J Charles,C Kyewuta,0,{},{}
1st innings,West Indies,1.3,J Charles,C Kyewuta,0,{},{}
1st innings,West Indies,1.4,J Charles,C Kyewuta,0,{},{}
1st innings,West Indies,1.5,J Charles,C Kyewuta,0,{},{}
1st innings,West Indies,1.6,J Charles,C Kyewuta,4,{},{}
1st innings,West Indies,2.1,BA King,J Miyaji,4,{},{}
1st innings,West Indies,2.2,BA King,J Miyaji,1,{},{}
1st innings,West Indies,2.3,J Charles,J Miyaji,1,{'noballs': 1},{}
1st innings,West Indies,2.4,J Charles,J Miyaji,4,{},{}
1st innings,West Indies,2.5,J Charles,J Miyaji,0,{},{}
1st innings,West Indies,2.6,J Charles,J Miyaji,4,{},{}
1st innings,West Indies,2.7,J Charles,J Miyaji,1,{},{}
1st innings,West Indies,3.1,J Charles,C Kyewuta,0,{},{}
1st innings,West Indies,3.2,J Charles,C Kyewuta,6,{},{}
1st innings,West Indies,3.3,J Charles,C Kyewuta,0,{},{}
1st innings,West Indies,3.4,J Charles,C Kyewuta,3,{},{}
1st innings,West Indies,3.5,BA King,C Kyewuta,1,{},{}
1st innings,West Indies,3.6,J Charles,C Kyewuta,0,{},{}
1st innings,West Indies,4.1,BA King,AR Ramjani,2,{},{}
1st innings,West Indies,4.2,BA King,AR Ramjani,4,{},{}
1st innings,West Indies,4.3,BA King,AR Ramjani,0,{},"{'player_out': 'BA King', 'kind': 'bowled'}"
1st innings,West Indies,4.4,N Pooran,AR Ramjani,0,{},{}
1st innings,West Indies,4.5,N Pooran,AR Ramjani,0,{},{}
1st innings,West Indies,4.6,N Pooran,AR Ramjani,6,{},{}
1st innings,West Indies,5.1,J Charles,J Miyaji,1,{},{}
1st innings,West Indies,5.2,N Pooran,J Miyaji,0,{},{}
1st innings,West Indies,5.3,N Pooran,J Miyaji,6,{},{}
1st innings,West Indies,5.4,N Pooran,J Miyaji,0,{},{}
1st innings,West Indies,5.5,N Pooran,J Miyaji,0,{},{}
1st innings,West Indies,5.6,N Pooran,J Miyaji,0,{},{}
1st innings,West Indies,6.1,J Charles,F Nsubuga,0,{},{}
1st innings,West Indies,6.2,J Charles,F Nsubuga,1,{},{}
1st innings,West Indies,6.3,N Pooran,F Nsubuga,1,{},{}
1st innings,West Indies,6.4,J Charles,F Nsubuga,0,{},{}
1st innings,West Indies,6.5,J Charles,F Nsubuga,6,{},{}
1st innings,West Indies,6.6,J Charles,F Nsubuga,2,{},{}
1st innings,West Indies,7.1,N Pooran,B Masaba,0,{},{}
1st innings,West Indies,7.2,N Pooran,B Masaba,0,{},{}
1st innings,West Indies,7.3,N Pooran,B Masaba,6,{},{}
