inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,India,0.1,RG Sharma,Shaheen Shah Afridi,2,{},{}
1st innings,India,0.2,RG Sharma,Shaheen Shah Afridi,0,{},{}
1st innings,India,0.3,RG Sharma,Shaheen Shah Afridi,6,{},{}
1st innings,India,0.4,RG Sharma,Shaheen Shah Afridi,0,{},{}
1st innings,India,0.5,RG Sharma,Shaheen Shah Afridi,0,{},{}
1st innings,India,0.6,RG Sharma,Shaheen Shah Afridi,0,{},{}
1st innings,India,1.1,V Kohli,Naseem Shah,4,{},{}
1st innings,India,1.2,V Kohli,Naseem Shah,0,{},{}
1st innings,India,1.3,V Kohli,Naseem Shah,0,{},"{'player_out': 'V Kohli', 'fielders': ['Usman Khan'], 'kind': 'caught'}"
1st innings,India,1.4,RR Pant,Naseem Shah,0,{},{}
1st innings,India,1.5,RR Pant,Naseem Shah,2,{'wides': 2},{}
1st innings,India,1.6,RG Sharma,Naseem Shah,4,{},{}
1st innings,India,1.7,RG Sharma,Naseem Shah,1,{},{}
1st innings,India,2.1,RG Sharma,Shaheen Shah Afridi,0,{},{}
1st innings,India,2.2,RG Sharma,Shaheen Shah Afridi,0,{},{}
1st innings,India,2.3,RG Sharma,Shaheen Shah Afridi,0,{},{}
1st innings,India,2.4,RG Sharma,Shaheen Shah Afridi,0,{},"{'player_out': 'RG Sharma', 'fielders': ['Haris Rauf'], 'kind': 'caught'}"
1st innings,India,2.5,AR Patel,Shaheen Shah Afridi,1,{'wides': 1},{}
1st innings,India,2.6,AR Patel,Shaheen Shah Afridi,0,{},{}
1st innings,India,2.7,AR Patel,Shaheen Shah Afridi,0,{},{}
1st innings,India,3.1,RR Pant,Mohammad Amir,0,{},{}
1st innings,India,3.2,RR Pant,Mohammad Amir,3,{},{}
1st innings,India,3.3,AR Patel,Mohammad Amir,0,{},{}
1st innings,India,3.4,AR Patel,Mohammad Amir,0,{},{}
1st innings,India,3.5,AR Patel,Mohammad Amir,0,{},{}
1st innings,India,3.6,AR Patel,Mohammad Amir,1,{},{}
1st innings,India,4.1,AR Patel,Shaheen Shah Afridi,4,{},{}
1st innings,India,4.2,AR Patel,Shaheen Shah Afridi,6,{},{}
1st innings,India,4.3,AR Patel,Shaheen Shah Afridi,1,{},{}
1st innings,India,4.4,RR Pant,Shaheen Shah Afridi,0,{},{}
1st innings,India,4.5,RR Pant,Shaheen Shah Afridi,1,{},{}
1st innings,India,4.6,AR Patel,Shaheen Shah Afridi,2,{},{}
1st innings,India,5.1,RR Pant,Mohammad Amir,4,{},{}
1st innings,India,5.2,RR Pant,Mohammad Amir,3,{},{}
1st innings,India,5.3,AR Patel,Mohammad Amir,0,{},{}
1st innings,India,5.4,AR Patel,Mohammad Amir,1,{},{}
1st innings,India,5.5,RR Pant,Mohammad Amir,4,{},{}
1st innings,India,5.6,RR Pant,Mohammad Amir,0,{},{}
1st innings,India,6.1,AR Patel,Iftikhar Ahmed,0,{},{}
1st innings,India,6.2,AR Patel,Iftikhar Ahmed,1,{},{}
1st innings,India,6.3,RR Pant,Iftikhar Ahmed,0,{},{}
1st innings,India,6.4,RR Pant,Iftikhar Ahmed,0,{},{}
1st innings,India,6.5,RR Pant,Iftikhar Ahmed,1,{'wides': 1},{}
1st innings,India,6.6,RR Pant,Iftikhar Ahmed,1,{},{}
