inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,South Africa,0.1,Q de Kock,Tanzim Hasan Sakib,0,{},{}
1st innings,South Africa,0.2,Q de Kock,Tanzim Hasan Sakib,6,{},{}
1st innings,South Africa,0.3,Q de Kock,Tanzim Hasan Sakib,4,{},{}
1st innings,South Africa,0.4,Q de Kock,Tanzim Hasan Sakib,0,{},{}
1st innings,South Africa,0.5,Q de Kock,Tanzim Hasan Sakib,1,{},{}
1st innings,South Africa,0.6,RR Hendricks,Tanzim Hasan Sakib,0,{},"{'player_out': 'RR Hendricks', 'kind': 'lbw'}"
1st innings,South Africa,1.1,Q de Kock,Taskin Ahmed,0,{},{}
1st innings,South Africa,1.2,Q de Kock,Taskin Ahmed,6,{},{}
1st innings,South Africa,1.3,Q de Kock,Taskin Ahmed,1,{},{}
1st innings,South Africa,1.4,AK Markram,Taskin Ahmed,0,{},{}
1st innings,South Africa,1.5,AK Markram,Taskin Ahmed,0,{},{}
1st innings,South Africa,1.6,AK Markram,Taskin Ahmed,0,{},{}
1st innings,South Africa,2.1,Q de Kock,Tanzim Hasan Sakib,0,{},{}
1st innings,South Africa,2.2,Q de Kock,Tanzim Hasan Sakib,0,{},{}
1st innings,South Africa,2.3,Q de Kock,Tanzim Hasan Sakib,1,{'wides': 1},{}
1st innings,South Africa,2.4,Q de Kock,Tanzim Hasan Sakib,0,{},"{'player_out': 'Q de Kock', 'kind': 'bowled'}"
1st innings,South Africa,2.5,T Stubbs,Tanzim Hasan Sakib,0,{},{}
1st innings,South Africa,2.6,T Stubbs,Tanzim Hasan Sakib,0,{},{}
1st innings,South Africa,2.7,T Stubbs,Tanzim Hasan Sakib,0,{},{}
1st innings,South Africa,3.1,AK Markram,Taskin Ahmed,0,{},{}
1st innings,South Africa,3.2,AK Markram,Taskin Ahmed,4,{},{}
1st innings,South Africa,3.3,AK Markram,Taskin Ahmed,0,{},{}
1st innings,South Africa,3.4,AK Markram,Taskin Ahmed,0,{},{}
1st innings,South Africa,3.5,AK Markram,Taskin Ahmed,0,{},"{'player_out': 'AK Markram', 'kind': 'bowled'}"
1st innings,South Africa,3.6,H Klaasen,Taskin Ahmed,0,{},{}
1st innings,South Africa,4.1,T Stubbs,Tanzim Hasan Sakib,0,{},{}
1st innings,South Africa,4.2,T Stubbs,Tanzim Hasan Sakib,0,{},"{'player_out': 'T Stubbs', 'fielders': ['Shakib Al Hasan'], 'kind': 'caught'}"
1st innings,South Africa,4.3,DA Miller,Tanzim Hasan Sakib,0,{},{}
1st innings,South Africa,4.4,DA Miller,Tanzim Hasan Sakib,1,{},{}
1st innings,South Africa,4.5,H Klaasen,Tanzim Hasan Sakib,0,{},{}
1st innings,South Africa,4.6,H Klaasen,Tanzim Hasan Sakib,0,{},{}
1st innings,South Africa,5.1,DA Miller,Mustafizur Rahman,0,{},{}
1st innings,South Africa,5.2,DA Miller,Mustafizur Rahman,0,{},{}
1st innings,South Africa,5.3,DA Miller,Mustafizur Rahman,1,{},{}
1st innings,South Africa,5.4,H Klaasen,Mustafizur Rahman,0,{},{}
1st innings,South Africa,5.5,H Klaasen,Mustafizur Rahman,0,{},{}
1st innings,South Africa,5.6,H Klaasen,Mustafizur Rahman,0,{},{}
1st innings,South Africa,6.1,DA Miller,Rishad Hossain,0,{},{}
1st innings,South Africa,6.2,DA Miller,Rishad Hossain,4,{},{}
1st innings,South Africa,6.3,DA Miller,Rishad Hossain,0,{},{}
1st innings,South Africa,6.4,DA Miller,Rishad Hossain,1,{},{}
1st innings,South Africa,6.5,H Klaasen,Rishad Hossain,0,{},{}
1st innings,South Africa,6.6,H Klaasen,Rishad Hossain,1,{},{}
1st innings,South Africa,7.1,H Klaasen,Mustafizur Rahman,0,{},{}
1st innings,South Africa,7.2,H Klaasen,Mustafizur Rahman,0,{},{}
1st innings,South Africa,7.3,H Klaasen,Mustafizur Rahman,4,{},{}
1st innings,South Africa,7.4,H Klaasen,Mustafizur Rahman,0,{},{}
1st innings,South Africa,7.5,H Klaasen,Mustafizur Rahman,1,{},{}
1st innings,South Africa,7.6,DA Miller,Mustafizur Rahman,1,{},{}
1st innings,South Africa,8.1,DA Miller,Shakib Al Hasan,1,{},{}
1st innings,South Africa,8.2,H Klaasen,Shakib Al Hasan,1,{},{}
1st innings,South Africa,8.3,DA Miller,Shakib Al Hasan,0,{},{}
1st innings,South Africa,8.4,DA Miller,Shakib Al Hasan,1,{},{}
1st innings,South Africa,8.5,H Klaasen,Shakib Al Hasan,1,{},{}
1st innings,South Africa,8.6,DA Miller,Shakib Al Hasan,2,{},{}
1st innings,South Africa,9.1,H Klaasen,Rishad Hossain,0,{},{}
1st innings,South Africa,9.2,H Klaasen,Rishad Hossain,0,{},{}
1st innings,South Africa,9.3,H Klaasen,Rishad Hossain,6,{},{}
1st innings,South Africa,9.4,H Klaasen,Rishad Hossain,6,{},{}
1st innings,South Africa,9.5,H Klaasen,Rishad Hossain,1,{},{}
1st innings,South Africa,9.6,DA Miller,Rishad Hossain,1,{},{}
1st innings,South Africa,10.1,DA Miller,Mahmudullah,0,{},{}
1st innings,South Africa,10.2,DA Miller,Mahmudullah,1,{},{}
1st innings,South Africa,10.3,H Klaasen,Mahmudullah,2,{},{}
1st innings,South Africa,10.4,H Klaasen,Mahmudullah,0,{},{}
1st innings,South Africa,10.5,H Klaasen,Mahmudullah,1,{},{}
1st innings,South Africa,10.6,DA Miller,Mahmudullah,0,{},{}
1st innings,South Africa,11.1,H Klaasen,Taskin Ahmed,0,{},{}
1st innings,South Africa,11.2,H Klaasen,Taskin Ahmed,1,{},{}
1st innings,South Africa,11.3,DA Miller,Taskin Ahmed,0,{},{}
1st innings,South Africa,11.4,DA Miller,Taskin Ahmed,1,{},{}
1st innings,South Africa,11.5,H Klaasen,Taskin Ahmed,0,{},{}
1st innings,South Africa,11.6,H Klaasen,Taskin Ahmed,1,{},{}
1st innings,South Africa,12.1,H Klaasen,Rishad Hossain,4,{},{}
1st innings,South Africa,12.2,H Klaasen,Rishad Hossain,1,{},{}
1st innings,South Africa,12.3,DA Miller,Rishad Hossain,2,{},{}
1st innings,South Africa,12.4,DA Miller,Rishad Hossain,1,{},{}
1st innings,South Africa,12.5,H Klaasen,Rishad Hossain,0,{},{}
1st innings,South Africa,12.6,H Klaasen,Rishad Hossain,0,{},{}
1st innings,South Africa,13.1,DA Miller,Mustafizur Rahman,0,{},{}
1st innings,South Africa,13.2,DA Miller,Mustafizur Rahman,0,{},{}
1st innings,South Africa,13.3,DA Miller,Mustafizur Rahman,0,{},{}
1st innings,South Africa,13.4,DA Miller,Mustafizur Rahman,1,{'legbyes': 1},{}
1st innings,South Africa,13.5,H Klaasen,Mustafizur Rahman,1,{},{}
1st innings,South Africa,13.6,DA Miller,Mustafizur Rahman,6,{},{}
1st innings,South Africa,14.1,H Klaasen,Mahmudullah,1,{'legbyes': 1},{}
1st innings,South Africa,14.2,DA Miller,Mahmudullah,0,{},{}
1st innings,South Africa,14.3,DA Miller,Mahmudullah,1,{},{}
1st innings,South Africa,14.4,H Klaasen,Mahmudullah,1,{},{}
1st innings,South Africa,14.5,DA Miller,Mahmudullah,1,{},{}
1st innings,South Africa,14.6,H Klaasen,Mahmudullah,0,{},{}
1st innings,South Africa,15.1,DA Miller,Tanzim Hasan Sakib,2,{'wides': 2},{}
1st innings,South Africa,15.2,H Klaasen,Tanzim Hasan Sakib,1,{},{}
1st innings,South Africa,15.3,DA Miller,Tanzim Hasan Sakib,0,{},{}
1st innings,South Africa,15.4,DA Miller,Tanzim Hasan Sakib,1,{'legbyes': 1},{}
1st innings,South Africa,15.5,H Klaasen,Tanzim Hasan Sakib,1,{},{}
1st innings,South Africa,15.6,DA Miller,Tanzim Hasan Sakib,1,{},{}
1st innings,South Africa,15.7,H Klaasen,Tanzim Hasan Sakib,0,{},{}
1st innings,South Africa,16.1,DA Miller,Mahmudullah,0,{},{}
1st innings,South Africa,16.2,DA Miller,Mahmudullah,0,{},{}
1st innings,South Africa,16.3,DA Miller,Mahmudullah,1,{},{}
1st innings,South Africa,16.4,H Klaasen,Mahmudullah,6,{},{}
1st innings,South Africa,16.5,H Klaasen,Mahmudullah,2,{},{}
1st innings,South Africa,16.6,H Klaasen,Mahmudullah,1,{},{}
1st innings,South Africa,17.1,H Klaasen,Taskin Ahmed,0,{},{}
1st innings,South Africa,17.2,H Klaasen,Taskin Ahmed,2,{},{}
1st innings,South Africa,17.3,H Klaasen,Taskin Ahmed,0,{},"{'player_out': 'H Klaasen', 'kind': 'bowled'}"
1st innings,South Africa,17.4,M Jansen,Taskin Ahmed,1,{},{}
1st innings,South Africa,17.5,DA Miller,Taskin Ahmed,1,{},{}
1st innings,South Africa,17.6,M Jansen,Taskin Ahmed,1,{},{}
1st innings,South Africa,18.1,M Jansen,Rishad Hossain,1,{},{}
1st innings,South Africa,18.2,DA Miller,Rishad Hossain,0,{},"{'player_out': 'DA Miller', 'kind': 'bowled'}"
1st innings,South Africa,18.3,KA Maharaj,Rishad Hossain,2,{},{}
1st innings,South Africa,18.4,KA Maharaj,Rishad Hossain,0,{},{}
1st innings,South Africa,18.5,KA Maharaj,Rishad Hossain,1,{},{}
1st innings,South Africa,18.6,M Jansen,Rishad Hossain,0,{},{}
1st innings,South Africa,19.1,KA Maharaj,Mustafizur Rahman,0,{},{}
1st innings,South Africa,19.2,KA Maharaj,Mustafizur Rahman,0,{},{}
1st innings,South Africa,19.3,KA Maharaj,Mustafizur Rahman,0,{},{}
