inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Canada,0.1,A Johnson,Shaheen Shah Afridi,4,{},{}
1st innings,Canada,0.2,A Johnson,Shaheen Shah Afridi,4,{},{}
1st innings,Canada,0.3,A Johnson,Shaheen Shah Afridi,2,{},{}
1st innings,Canada,0.4,A Johnson,Shaheen Shah Afridi,0,{},{}
1st innings,Canada,0.5,A Johnson,Shaheen Shah Afridi,1,{'legbyes': 1},{}
1st innings,Canada,0.6,NS Dhaliwal,Shaheen Shah Afridi,0,{},{}
1st innings,Canada,1.1,A Johnson,Naseem Shah,1,{'wides': 1},{}
1st innings,Canada,1.2,A Johnson,Naseem Shah,4,{},{}
1st innings,Canada,1.3,A Johnson,Naseem Shah,0,{},{}
1st innings,Canada,1.4,A Johnson,Naseem Shah,0,{},{}
1st innings,Canada,1.5,A Johnson,Naseem Shah,0,{},{}
1st innings,Canada,1.6,A Johnson,Naseem Shah,0,{},{}
1st innings,Canada,1.7,A Johnson,Naseem Shah,0,{},{}
1st innings,Canada,2.1,NS Dhaliwal,Mohammad Amir,4,{},{}
1st innings,Canada,2.2,NS Dhaliwal,Mohammad Amir,0,{},{}
1st innings,Canada,2.3,NS Dhaliwal,Mohammad Amir,0,{},{}
1st innings,Canada,2.4,NS Dhaliwal,Mohammad Amir,0,{},{}
1st innings,Canada,2.5,NS Dhaliwal,Mohammad Amir,0,{},{}
1st innings,Canada,2.6,NS Dhaliwal,Mohammad Amir,0,{},"{'player_out': 'NS Dhaliwal', 'kind': 'bowled'}"
1st innings,Canada,3.1,A Johnson,Naseem Shah,4,{},{}
1st innings,Canada,3.2,A Johnson,Naseem Shah,2,{},{}
1st innings,Canada,3.3,A Johnson,Naseem Shah,0,{},{}
1st innings,Canada,3.4,A Johnson,Naseem Shah,1,{},{}
1st innings,Canada,3.5,Pargat Singh,Naseem Shah,1,{},{}
1st innings,Canada,3.6,A Johnson,Naseem Shah,0,{},{}
1st innings,Canada,4.1,Pargat Singh,Mohammad Amir,0,{},{}
1st innings,Canada,4.2,Pargat Singh,Mohammad Amir,0,{},{}
1st innings,Canada,4.3,Pargat Singh,Mohammad Amir,0,{},{}
1st innings,Canada,4.4,Pargat Singh,Mohammad Amir,1,{},{}
1st innings,Canada,4.5,A Johnson,Mohammad Amir,0,{},{}
1st innings,Canada,4.6,A Johnson,Mohammad Amir,0,{},{}
1st innings,Canada,5.1,Pargat Singh,Shaheen Shah Afridi,0,{},"{'player_out': 'Pargat Singh', 'fielders': ['Fakhar Zaman'], 'kind': 'caught'}"
1st innings,Canada,5.2,NR Kirton,Shaheen Shah Afridi,1,{'wides': 1},{}
1st innings,Canada,5.3,NR Kirton,Shaheen Shah Afridi,0,{},{}
1st innings,Canada,5.4,NR Kirton,Shaheen Shah Afridi,0,{},{}
1st innings,Canada,5.5,NR Kirton,Shaheen Shah Afridi,0,{},{}
