inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Namibia,0.1,M van Lingen,JR Hazlewood,0,{},{}
1st innings,Namibia,0.2,M van Lingen,JR Hazlewood,0,{},{}
1st innings,Namibia,0.3,M van Lingen,JR Hazlewood,2,{'wides': 2},{}
1st innings,Namibia,0.4,N Davin,JR Hazlewood,0,{},{}
1st innings,Namibia,0.5,N Davin,JR Hazlewood,1,{},{}
1st innings,Namibia,0.6,M van Lingen,JR Hazlewood,0,{},{}
1st innings,Namibia,0.7,M van Lingen,JR Hazlewood,4,{},{}
1st innings,Namibia,1.1,N Davin,MP Stoinis,0,{},{}
1st innings,Namibia,1.2,N Davin,MP Stoinis,1,{},{}
1st innings,Namibia,1.3,M van Lingen,MP Stoinis,0,{},{}
1st innings,Namibia,1.4,M van Lingen,MP Stoinis,0,{},{}
1st innings,Namibia,1.5,M van Lingen,MP Stoinis,4,{},{}
1st innings,Namibia,1.6,M van Lingen,MP Stoinis,1,{},{}
1st innings,Namibia,2.1,M van Lingen,JR Hazlewood,1,{},{}
1st innings,Namibia,2.2,N Davin,JR Hazlewood,0,{},{}
1st innings,Namibia,2.3,N Davin,JR Hazlewood,0,{},{}
1st innings,Namibia,2.4,N Davin,JR Hazlewood,0,{},"{'player_out': 'N Davin', 'fielders': ['GJ Maxwell'], 'kind': 'caught'}"
1st innings,Namibia,2.5,JN Frylinck,JR Hazlewood,0,{},{}
1st innings,Namibia,2.6,JN Frylinck,JR Hazlewood,1,{},{}
1st innings,Namibia,3.1,JN Frylinck,PJ Cummins,0,{},{}
1st innings,Namibia,3.2,JN Frylinck,PJ Cummins,0,{},{}
1st innings,Namibia,3.3,JN Frylinck,PJ Cummins,0,{},{}
1st innings,Namibia,3.4,JN Frylinck,PJ Cummins,0,{},"{'player_out': 'JN Frylinck', 'fielders': ['MR Marsh'], 'kind': 'caught'}"
1st innings,Namibia,3.5,MG Erasmus,PJ Cummins,0,{},{}
1st innings,Namibia,3.6,MG Erasmus,PJ Cummins,0,{},{}
1st innings,Namibia,4.1,M van Lingen,JR Hazlewood,0,{},"{'player_out': 'M van Lingen', 'fielders': ['GJ Maxwell'], 'kind': 'caught'}"
1st innings,Namibia,4.2,JJ Smit,JR Hazlewood,1,{},{}
1st innings,Namibia,4.3,MG Erasmus,JR Hazlewood,0,{},{}
1st innings,Namibia,4.4,MG Erasmus,JR Hazlewood,0,{},{}
1st innings,Namibia,4.5,MG Erasmus,JR Hazlewood,0,{},{}
1st innings,Namibia,4.6,MG Erasmus,JR Hazlewood,0,{},{}
1st innings,Namibia,5.1,JJ Smit,MP Stoinis,0,{},{}
1st innings,Namibia,5.2,JJ Smit,MP Stoinis,1,{},{}
1st innings,Namibia,5.3,MG Erasmus,MP Stoinis,0,{},{}
1st innings,Namibia,5.4,MG Erasmus,MP Stoinis,0,{},{}
1st innings,Namibia,5.5,MG Erasmus,MP Stoinis,0,{},{}
1st innings,Namibia,5.6,MG Erasmus,MP Stoinis,0,{},{}
1st innings,Namibia,6.1,JJ Smit,A Zampa,0,{},{}
1st innings,Namibia,6.2,JJ Smit,A Zampa,1,{},{}
1st innings,Namibia,6.3,MG Erasmus,A Zampa,0,{},{}
1st innings,Namibia,6.4,MG Erasmus,A Zampa,0,{},{}
1st innings,Namibia,6.5,MG Erasmus,A Zampa,0,{},{}
1st innings,Namibia,6.6,MG Erasmus,A Zampa,0,{},{}
1st innings,Namibia,7.1,JJ Smit,NT Ellis,0,{},{}
1st innings,Namibia,7.2,JJ Smit,NT Ellis,0,{},{}
1st innings,Namibia,7.3,JJ Smit,NT Ellis,0,{},{}
1st innings,Namibia,7.4,JJ Smit,NT Ellis,0,{},"{'player_out': 'JJ Smit', 'kind': 'lbw'}"
1st innings,Namibia,7.5,ZE Green,NT Ellis,1,{'legbyes': 1},{}
1st innings,Namibia,7.6,MG Erasmus,NT Ellis,0,{},{}
1st innings,Namibia,8.1,ZE Green,A Zampa,1,{},{}
1st innings,Namibia,8.2,MG Erasmus,A Zampa,0,{},{}
1st innings,Namibia,8.3,MG Erasmus,A Zampa,1,{},{}
1st innings,Namibia,8.4,ZE Green,A Zampa,0,{},{}
1st innings,Namibia,8.5,ZE Green,A Zampa,0,{},"{'player_out': 'ZE Green', 'kind': 'lbw'}"
1st innings,Namibia,8.6,D Wiese,A Zampa,0,{},{}
1st innings,Namibia,9.1,MG Erasmus,PJ Cummins,4,{},{}
1st innings,Namibia,9.2,MG Erasmus,PJ Cummins,0,{},{}
1st innings,Namibia,9.3,MG Erasmus,PJ Cummins,1,{},{}
1st innings,Namibia,9.4,D Wiese,PJ Cummins,0,{},{}
1st innings,Namibia,9.5,D Wiese,PJ Cummins,0,{},{}
1st innings,Namibia,9.6,D Wiese,PJ Cummins,1,{},{}
1st innings,Namibia,10.1,D Wiese,A Zampa,4,{'byes': 4},{}
1st innings,Namibia,10.2,D Wiese,A Zampa,0,{},{}
1st innings,Namibia,10.3,D Wiese,A Zampa,0,{},"{'player_out': 'D Wiese', 'fielders': ['JR Hazlewood'], 'kind': 'caught'}"
1st innings,Namibia,10.4,R Trumpelmann,A Zampa,1,{},{}
1st innings,Namibia,10.5,MG Erasmus,A Zampa,1,{},{}
1st innings,Namibia,10.6,R Trumpelmann,A Zampa,0,{},{}
1st innings,Namibia,11.1,MG Erasmus,NT Ellis,2,{},{}
1st innings,Namibia,11.2,MG Erasmus,NT Ellis,0,{},{}
1st innings,Namibia,11.3,MG Erasmus,NT Ellis,0,{},{}
1st innings,Namibia,11.4,MG Erasmus,NT Ellis,1,{},{}
1st innings,Namibia,11.5,R Trumpelmann,NT Ellis,0,{},{}
1st innings,Namibia,11.6,R Trumpelmann,NT Ellis,0,{},{}
1st innings,Namibia,12.1,MG Erasmus,A Zampa,1,{},{}
1st innings,Namibia,12.2,R Trumpelmann,A Zampa,0,{},{}
1st innings,Namibia,12.3,R Trumpelmann,A Zampa,6,{},{}
1st innings,Namibia,12.4,R Trumpelmann,A Zampa,0,{},"{'player_out': 'R Trumpelmann', 'fielders': ['GJ Maxwell'], 'kind': 'caught'}"
1st innings,Namibia,12.5,BM Scholtz,A Zampa,0,{},{}
1st innings,Namibia,12.6,BM Scholtz,A Zampa,0,{},"{'player_out': 'BM Scholtz', 'kind': 'bowled'}"
1st innings,Namibia,13.1,MG Erasmus,JR Hazlewood,0,{},{}
1st innings,Namibia,13.2,MG Erasmus,JR Hazlewood,0,{},{}
1st innings,Namibia,13.3,MG Erasmus,JR Hazlewood,2,{},{}
1st innings,Namibia,13.4,MG Erasmus,JR Hazlewood,0,{},{}
1st innings,Namibia,13.5,MG Erasmus,JR Hazlewood,4,{},{}
1st innings,Namibia,13.6,MG Erasmus,JR Hazlewood,2,{},{}
1st innings,Namibia,14.1,JT Brassell,NT Ellis,1,{},{}
1st innings,Namibia,14.2,MG Erasmus,NT Ellis,0,{},{}
1st innings,Namibia,14.3,MG Erasmus,NT Ellis,4,{},{}
1st innings,Namibia,14.4,MG Erasmus,NT Ellis,0,{},{}
1st innings,Namibia,14.5,MG Erasmus,NT Ellis,0,{},{}
1st innings,Namibia,14.6,MG Erasmus,NT Ellis,4,{},{}
1st innings,Namibia,15.1,JT Brassell,PJ Cummins,1,{},{}
1st innings,Namibia,15.2,MG Erasmus,PJ Cummins,0,{},{}
1st innings,Namibia,15.3,MG Erasmus,PJ Cummins,2,{},{}
1st innings,Namibia,15.4,MG Erasmus,PJ Cummins,6,{},{}
1st innings,Namibia,15.5,MG Erasmus,PJ Cummins,1,{},{}
1st innings,Namibia,15.6,JT Brassell,PJ Cummins,0,{},{}
1st innings,Namibia,16.1,MG Erasmus,MP Stoinis,0,{},{}
1st innings,Namibia,16.2,MG Erasmus,MP Stoinis,1,{'wides': 1},{}
1st innings,Namibia,16.3,MG Erasmus,MP Stoinis,1,{'wides': 1},{}
1st innings,Namibia,16.4,MG Erasmus,MP Stoinis,0,{},"{'player_out': 'MG Erasmus', 'fielders': ['GJ Maxwell'], 'kind': 'caught'}"
1st innings,Namibia,16.5,B Shikongo,MP Stoinis,0,{},{}
1st innings,Namibia,16.6,B Shikongo,MP Stoinis,0,{},{}
1st innings,Namibia,16.7,B Shikongo,MP Stoinis,0,{},{}
1st innings,Namibia,16.8,B Shikongo,MP Stoinis,0,{},"{'player_out': 'B Shikongo', 'fielders': ['TH David'], 'kind': 'caught'}"
2nd innings,Australia,0.1,DA Warner,R Trumpelmann,1,{},{}
2nd innings,Australia,0.2,TM Head,R Trumpelmann,1,{},{}
2nd innings,Australia,0.3,DA Warner,R Trumpelmann,4,{},{}
2nd innings,Australia,0.4,DA Warner,R Trumpelmann,0,{},{}
