inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,West Indies,0.1,BA King,TA Boult,1,{'legbyes': 1},{}
1st innings,West Indies,0.2,J Charles,TA Boult,0,{},{}
1st innings,West Indies,0.3,J Charles,TA Boult,0,{},{}
1st innings,West Indies,0.4,J Charles,TA Boult,0,{},{}
1st innings,West Indies,0.5,J Charles,TA Boult,0,{},{}
1st innings,West Indies,0.6,J Charles,TA Boult,0,{},"{'player_out': 'J Charles', 'kind': 'bowled'}"
1st innings,West Indies,1.1,BA King,TG Southee,0,{},{}
1st innings,West Indies,1.2,BA King,TG Southee,1,{},{}
1st innings,West Indies,1.3,N Pooran,TG Southee,0,{},{}
1st innings,West Indies,1.4,N Pooran,TG Southee,1,{},{}
1st innings,West Indies,1.5,BA King,TG Southee,0,{},{}
1st innings,West Indies,1.6,BA King,TG Southee,0,{},{}
1st innings,West Indies,2.1,N Pooran,TA Boult,4,{},{}
1st innings,West Indies,2.2,N Pooran,TA Boult,0,{},{}
1st innings,West Indies,2.3,N Pooran,TA Boult,2,{},{}
1st innings,West Indies,2.4,N Pooran,TA Boult,1,{},{}
1st innings,West Indies,2.5,BA King,TA Boult,1,{},{}
1st innings,West Indies,2.6,N Pooran,TA Boult,1,{},{}
1st innings,West Indies,3.1,N Pooran,TG Southee,0,{},{}
1st innings,West Indies,3.2,N Pooran,TG Southee,4,{},{}
1st innings,West Indies,3.3,N Pooran,TG Southee,0,{},{}
1st innings,West Indies,3.4,N Pooran,TG Southee,4,{},{}
1st innings,West Indies,3.5,N Pooran,TG Southee,0,{},"{'player_out': 'N Pooran', 'fielders': ['DP Conway'], 'kind': 'caught'}"
1st innings,West Indies,3.6,RL Chase,TG Southee,0,{},{}
1st innings,West Indies,4.1,BA King,LH Ferguson,1,{},{}
1st innings,West Indies,4.2,RL Chase,LH Ferguson,0,{},{}
1st innings,West Indies,4.3,RL Chase,LH Ferguson,0,{},"{'player_out': 'RL Chase', 'fielders': ['R Ravindra'], 'kind': 'caught'}"
1st innings,West Indies,4.4,R Powell,LH Ferguson,1,{},{}
1st innings,West Indies,4.5,BA King,LH Ferguson,0,{},{}
1st innings,West Indies,4.6,BA King,LH Ferguson,0,{},{}
1st innings,West Indies,5.1,R Powell,TG Southee,0,{},{}
1st innings,West Indies,5.2,R Powell,TG Southee,0,{},{}
1st innings,West Indies,5.3,R Powell,TG Southee,0,{},{}
1st innings,West Indies,5.4,R Powell,TG Southee,0,{},"{'player_out': 'R Powell', 'fielders': ['DP Conway'], 'kind': 'caught'}"
1st innings,West Indies,5.5,SE Rutherford,TG Southee,1,{},{}
1st innings,West Indies,5.6,BA King,TG Southee,0,{},{}
1st innings,West Indies,6.1,SE Rutherford,JDS Neesham,1,{},{}
1st innings,West Indies,6.2,BA King,JDS Neesham,6,{},{}
1st innings,West Indies,6.3,BA King,JDS Neesham,0,{},"{'player_out': 'BA King', 'fielders': ['DP Conway'], 'kind': 'caught'}"
1st innings,West Indies,6.4,AJ Hosein,JDS Neesham,1,{},{}
1st innings,West Indies,6.5,SE Rutherford,JDS Neesham,0,{},{}
1st innings,West Indies,6.6,SE Rutherford,JDS Neesham,1,{},{}
1st innings,West Indies,7.1,SE Rutherford,LH Ferguson,1,{},{}
1st innings,West Indies,7.2,AJ Hosein,LH Ferguson,0,{},{}
1st innings,West Indies,7.3,AJ Hosein,LH Ferguson,0,{},{}
1st innings,West Indies,7.4,AJ Hosein,LH Ferguson,2,{},{}
1st innings,West Indies,7.5,AJ Hosein,LH Ferguson,1,{},{}
1st innings,West Indies,7.6,SE Rutherford,LH Ferguson,0,{},{}
1st innings,West Indies,8.1,AJ Hosein,GD Phillips,0,{},{}
1st innings,West Indies,8.2,AJ Hosein,GD Phillips,1,{},{}
1st innings,West Indies,8.3,SE Rutherford,GD Phillips,2,{'legbyes': 2},{}
1st innings,West Indies,8.4,SE Rutherford,GD Phillips,1,{},{}
1st innings,West Indies,8.5,AJ Hosein,GD Phillips,6,{},{}
1st innings,West Indies,8.6,AJ Hosein,GD Phillips,1,{},{}
1st innings,West Indies,9.1,AJ Hosein,JDS Neesham,1,{},{}
1st innings,West Indies,9.2,SE Rutherford,JDS Neesham,0,{},{}
1st innings,West Indies,9.3,SE Rutherford,JDS Neesham,1,{},{}
1st innings,West Indies,9.4,AJ Hosein,JDS Neesham,0,{},{}
1st innings,West Indies,9.5,AJ Hosein,JDS Neesham,0,{},{}
1st innings,West Indies,9.6,AJ Hosein,JDS Neesham,0,{},{}
1st innings,West Indies,10.1,SE Rutherford,MJ Santner,6,{},{}
1st innings,West Indies,10.2,SE Rutherford,MJ Santner,1,{},{}
1st innings,West Indies,10.3,AJ Hosein,MJ Santner,0,{},{}
1st innings,West Indies,10.4,AJ Hosein,MJ Santner,0,{},{}
1st innings,West Indies,10.5,AJ Hosein,MJ Santner,2,{},{}
1st innings,West Indies,10.6,AJ Hosein,MJ Santner,0,{},"{'player_out': 'AJ Hosein', 'fielders': ['JDS Neesham'], 'kind': 'caught'}"
1st innings,West Indies,11.1,SE Rutherford,LH Ferguson,1,{},{}
1st innings,West Indies,11.2,AD Russell,LH Ferguson,4,{},{}
1st innings,West Indies,11.3,AD Russell,LH Ferguson,1,{'wides': 1},{}
1st innings,West Indies,11.4,AD Russell,LH Ferguson,1,{'wides': 1},{}
1st innings,West Indies,11.5,AD Russell,LH Ferguson,0,{},{}
1st innings,West Indies,11.6,AD Russell,LH Ferguson,0,{},{}
1st innings,West Indies,11.7,AD Russell,LH Ferguson,6,{},{}
1st innings,West Indies,11.8,AD Russell,LH Ferguson,4,{},{}
1st innings,West Indies,12.1,SE Rutherford,TA Boult,1,{},{}
1st innings,West Indies,12.2,AD Russell,TA Boult,0,{},{}
1st innings,West Indies,12.3,AD Russell,TA Boult,0,{},"{'player_out': 'AD Russell', 'fielders': ['LH Ferguson'], 'kind': 'caught'}"
1st innings,West Indies,12.4,R Shepherd,TA Boult,0,{},{}
1st innings,West Indies,12.5,R Shepherd,TA Boult,1,{},{}
1st innings,West Indies,12.6,SE Rutherford,TA Boult,0,{},{}
1st innings,West Indies,13.1,R Shepherd,JDS Neesham,0,{},{}
1st innings,West Indies,13.2,R Shepherd,JDS Neesham,1,{},{}
1st innings,West Indies,13.3,SE Rutherford,JDS Neesham,2,{},{}
1st innings,West Indies,13.4,SE Rutherford,JDS Neesham,0,{},{}
1st innings,West Indies,13.5,SE Rutherford,JDS Neesham,1,{},{}
1st innings,West Indies,13.6,R Shepherd,JDS Neesham,0,{},{}
1st innings,West Indies,14.1,SE Rutherford,TG Southee,1,{},{}
1st innings,West Indies,14.2,R Shepherd,TG Southee,6,{},{}
1st innings,West Indies,14.3,R Shepherd,TG Southee,1,{},{}
1st innings,West Indies,14.4,SE Rutherford,TG Southee,0,{},{}
1st innings,West Indies,14.5,SE Rutherford,TG Southee,1,{},{}
1st innings,West Indies,14.6,R Shepherd,TG Southee,1,{},{}
1st innings,West Indies,15.1,R Shepherd,JDS Neesham,1,{},{}
1st innings,West Indies,15.2,SE Rutherford,JDS Neesham,1,{},{}
1st innings,West Indies,15.3,R Shepherd,JDS Neesham,1,{'wides': 1},{}
1st innings,West Indies,15.4,R Shepherd,JDS Neesham,1,{},{}
1st innings,West Indies,15.5,SE Rutherford,JDS Neesham,6,{},{}
1st innings,West Indies,15.6,SE Rutherford,JDS Neesham,1,{},{}
1st innings,West Indies,15.7,R Shepherd,JDS Neesham,1,{},{}
1st innings,West Indies,16.1,R Shepherd,LH Ferguson,0,{},{}
1st innings,West Indies,16.2,R Shepherd,LH Ferguson,0,{},"{'player_out': 'R Shepherd', 'kind': 'lbw'}"
1st innings,West Indies,16.3,AS Joseph,LH Ferguson,1,{},{}
1st innings,West Indies,16.4,SE Rutherford,LH Ferguson,1,{},{}
1st innings,West Indies,16.5,AS Joseph,LH Ferguson,1,{},{}
1st innings,West Indies,16.6,SE Rutherford,LH Ferguson,1,{},{}
1st innings,West Indies,17.1,SE Rutherford,TA Boult,1,{},{}
1st innings,West Indies,17.2,AS Joseph,TA Boult,4,{},{}
1st innings,West Indies,17.3,AS Joseph,TA Boult,0,{},{}
1st innings,West Indies,17.4,AS Joseph,TA Boult,0,{},{}
1st innings,West Indies,17.5,AS Joseph,TA Boult,0,{},"{'player_out': 'AS Joseph', 'kind': 'bowled'}"
1st innings,West Indies,17.6,G Motie,TA Boult,0,{},{}
1st innings,West Indies,18.1,SE Rutherford,DJ Mitchell,0,{},{}
1st innings,West Indies,18.2,SE Rutherford,DJ Mitchell,6,{},{}
1st innings,West Indies,18.3,SE Rutherford,DJ Mitchell,6,{},{}
1st innings,West Indies,18.4,SE Rutherford,DJ Mitchell,0,{},{}
1st innings,West Indies,18.5,SE Rutherford,DJ Mitchell,6,{},{}
1st innings,West Indies,18.6,SE Rutherford,DJ Mitchell,1,{},{}
1st innings,West Indies,19.1,SE Rutherford,MJ Santner,0,{},{}
1st innings,West Indies,19.2,SE Rutherford,MJ Santner,2,{},{}
1st innings,West Indies,19.3,SE Rutherford,MJ Santner,4,{},{}
1st innings,West Indies,19.4,SE Rutherford,MJ Santner,2,{},{}
1st innings,West Indies,19.5,SE Rutherford,MJ Santner,6,{},{}
1st innings,West Indies,19.6,SE Rutherford,MJ Santner,4,{},{}
2nd innings,New Zealand,0.1,DP Conway,AJ Hosein,0,{},{}
2nd innings,New Zealand,0.2,DP Conway,AJ Hosein,1,{},{}
2nd innings,New Zealand,0.3,FH Allen,AJ Hosein,0,{},{}
2nd innings,New Zealand,0.4,FH Allen,AJ Hosein,0,{},{}
2nd innings,New Zealand,0.5,FH Allen,AJ Hosein,1,{},{}
2nd innings,New Zealand,0.6,DP Conway,AJ Hosein,1,{},{}
2nd innings,New Zealand,1.1,DP Conway,R Shepherd,1,{'wides': 1},{}
2nd innings,New Zealand,1.2,DP Conway,R Shepherd,1,{},{}
2nd innings,New Zealand,1.3,FH Allen,R Shepherd,4,{},{}
2nd innings,New Zealand,1.4,FH Allen,R Shepherd,1,{},{}
2nd innings,New Zealand,1.5,DP Conway,R Shepherd,1,{},{}
2nd innings,New Zealand,1.6,FH Allen,R Shepherd,0,{},{}
2nd innings,New Zealand,1.7,FH Allen,R Shepherd,1,{'wides': 1},{}
2nd innings,New Zealand,1.8,FH Allen,R Shepherd,0,{},{}
2nd innings,New Zealand,2.1,DP Conway,AJ Hosein,1,{},{}
2nd innings,New Zealand,2.2,FH Allen,AJ Hosein,0,{},{}
2nd innings,New Zealand,2.3,FH Allen,AJ Hosein,6,{},{}
2nd innings,New Zealand,2.4,FH Allen,AJ Hosein,1,{},{}
2nd innings,New Zealand,2.5,DP Conway,AJ Hosein,0,{},{}
2nd innings,New Zealand,2.6,DP Conway,AJ Hosein,0,{},"{'player_out': 'DP Conway', 'fielders': ['RL Chase'], 'kind': 'caught'}"
2nd innings,New Zealand,3.1,FH Allen,AD Russell,4,{},{}
2nd innings,New Zealand,3.2,FH Allen,AD Russell,0,{},{}
2nd innings,New Zealand,3.3,FH Allen,AD Russell,0,{},{}
2nd innings,New Zealand,3.4,FH Allen,AD Russell,0,{},{}
2nd innings,New Zealand,3.5,FH Allen,AD Russell,1,{},{}
2nd innings,New Zealand,3.6,R Ravindra,AD Russell,0,{},{}
2nd innings,New Zealand,4.1,FH Allen,AJ Hosein,1,{},{}
2nd innings,New Zealand,4.2,R Ravindra,AJ Hosein,0,{},{}
2nd innings,New Zealand,4.3,R Ravindra,AJ Hosein,1,{},{}
2nd innings,New Zealand,4.4,FH Allen,AJ Hosein,4,{},{}
2nd innings,New Zealand,4.5,FH Allen,AJ Hosein,0,{},{}
2nd innings,New Zealand,4.6,FH Allen,AJ Hosein,1,{},{}
2nd innings,New Zealand,5.1,FH Allen,AS Joseph,2,{},{}
2nd innings,New Zealand,5.2,FH Allen,AS Joseph,0,{},{}
2nd innings,New Zealand,5.3,FH Allen,AS Joseph,0,{},{}
2nd innings,New Zealand,5.4,FH Allen,AS Joseph,0,{},"{'player_out': 'FH Allen', 'fielders': ['AD Russell'], 'kind': 'caught'}"
2nd innings,New Zealand,5.5,KS Williamson,AS Joseph,1,{},{}
2nd innings,New Zealand,5.6,R Ravindra,AS Joseph,1,{},{}
2nd innings,New Zealand,6.1,R Ravindra,G Motie,0,{},{}
2nd innings,New Zealand,6.2,R Ravindra,G Motie,2,{},{}
2nd innings,New Zealand,6.3,R Ravindra,G Motie,1,{},{}
2nd innings,New Zealand,6.4,KS Williamson,G Motie,0,{},"{'player_out': 'KS Williamson', 'fielders': ['N Pooran'], 'kind': 'caught'}"
2nd innings,New Zealand,6.5,DJ Mitchell,G Motie,2,{},{}
2nd innings,New Zealand,6.6,DJ Mitchell,G Motie,4,{},{}
2nd innings,New Zealand,7.1,R Ravindra,AS Joseph,1,{},{}
2nd innings,New Zealand,7.2,DJ Mitchell,AS Joseph,1,{},{}
2nd innings,New Zealand,7.3,R Ravindra,AS Joseph,0,{},{}
2nd innings,New Zealand,7.4,R Ravindra,AS Joseph,2,{},{}
2nd innings,New Zealand,7.5,R Ravindra,AS Joseph,1,{},{}
