inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Uganda,0.1,RB Patel,TA Boult,0,{},{}
1st innings,Uganda,0.2,RB Patel,TA Boult,1,{},{}
1st innings,Uganda,0.3,S Sesazi,TA Boult,0,{},"{'player_out': 'S Sesazi', 'kind': 'lbw'}"
1st innings,Uganda,0.4,R Obuya,TA Boult,0,{},"{'player_out': 'R Obuya', 'kind': 'bowled'}"
1st innings,Uganda,0.5,AR Ramjani,TA Boult,0,{},{}
1st innings,Uganda,0.6,AR Ramjani,TA Boult,0,{},{}
1st innings,Uganda,1.1,RB Patel,TG Southee,0,{},{}
1st innings,Uganda,1.2,RB Patel,TG Southee,0,{},{}
1st innings,Uganda,1.3,RB Patel,TG Southee,0,{},{}
1st innings,Uganda,1.4,RB Patel,TG Southee,0,{},{}
1st innings,Uganda,1.5,RB Patel,TG Southee,0,{},{}
1st innings,Uganda,1.6,RB Patel,TG Southee,1,{'legbyes': 1},{}
1st innings,Uganda,2.1,RB Patel,TA Boult,0,{},{}
1st innings,Uganda,2.2,RB Patel,TA Boult,0,{},{}
1st innings,Uganda,2.3,RB Patel,TA Boult,0,{},{}
1st innings,Uganda,2.4,RB Patel,TA Boult,0,{},{}
1st innings,Uganda,2.5,RB Patel,TA Boult,0,{},{}
1st innings,Uganda,2.6,RB Patel,TA Boult,0,{},{}
1st innings,Uganda,3.1,AR Ramjani,TG Southee,0,{},{}
1st innings,Uganda,3.2,AR Ramjani,TG Southee,0,{},{}
1st innings,Uganda,3.3,AR Ramjani,TG Southee,0,{},{}
1st innings,Uganda,3.4,AR Ramjani,TG Southee,0,{},"{'player_out': 'AR Ramjani', 'kind': 'lbw'}"
1st innings,Uganda,3.5,K Waiswa,TG Southee,1,{},{}
1st innings,Uganda,3.6,RB Patel,TG Southee,0,{},{}
1st innings,Uganda,4.1,K Waiswa,TA Boult,0,{},{}
1st innings,Uganda,4.2,K Waiswa,TA Boult,0,{},{}
1st innings,Uganda,4.3,K Waiswa,TA Boult,0,{},{}
1st innings,Uganda,4.4,K Waiswa,TA Boult,0,{},{}
1st innings,Uganda,4.5,K Waiswa,TA Boult,4,{},{}
1st innings,Uganda,4.6,K Waiswa,TA Boult,0,{},{}
1st innings,Uganda,5.1,RB Patel,TG Southee,1,{},{}
1st innings,Uganda,5.2,K Waiswa,TG Southee,0,{},{}
1st innings,Uganda,5.3,K Waiswa,TG Southee,0,{},{}
1st innings,Uganda,5.4,K Waiswa,TG Southee,0,{},{}
1st innings,Uganda,5.5,K Waiswa,TG Southee,0,{},{}
1st innings,Uganda,5.6,K Waiswa,TG Southee,1,{},{}
1st innings,Uganda,6.1,K Waiswa,MJ Santner,1,{},{}
1st innings,Uganda,6.2,RB Patel,MJ Santner,0,{},{}
1st innings,Uganda,6.3,RB Patel,MJ Santner,0,{},{}
1st innings,Uganda,6.4,RB Patel,MJ Santner,0,{},{}
1st innings,Uganda,6.5,RB Patel,MJ Santner,0,{},"{'player_out': 'RB Patel', 'fielders': ['DP Conway'], 'kind': 'caught'}"
1st innings,Uganda,6.6,Riazat Ali Shah,MJ Santner,1,{'wides': 1},{}
1st innings,Uganda,6.7,Riazat Ali Shah,MJ Santner,0,{},{}
1st innings,Uganda,7.1,K Waiswa,LH Ferguson,4,{},{}
1st innings,Uganda,7.2,K Waiswa,LH Ferguson,0,{},{}
1st innings,Uganda,7.3,K Waiswa,LH Ferguson,0,{},{}
1st innings,Uganda,7.4,K Waiswa,LH Ferguson,0,{},{}
1st innings,Uganda,7.5,K Waiswa,LH Ferguson,0,{},"{'player_out': 'K Waiswa', 'kind': 'bowled'}"
1st innings,Uganda,7.6,DM Nakrani,LH Ferguson,0,{},{}
1st innings,Uganda,8.1,Riazat Ali Shah,MJ Santner,0,{},{}
1st innings,Uganda,8.2,Riazat Ali Shah,MJ Santner,0,{},{}
1st innings,Uganda,8.3,Riazat Ali Shah,MJ Santner,1,{},{}
1st innings,Uganda,8.4,DM Nakrani,MJ Santner,1,{'wides': 1},{}
1st innings,Uganda,8.5,DM Nakrani,MJ Santner,1,{'wides': 1},{}
1st innings,Uganda,8.6,DM Nakrani,MJ Santner,0,{},{}
1st innings,Uganda,8.7,DM Nakrani,MJ Santner,1,{},{}
1st innings,Uganda,8.8,Riazat Ali Shah,MJ Santner,0,{},{}
1st innings,Uganda,9.1,DM Nakrani,LH Ferguson,0,{},{}
1st innings,Uganda,9.2,DM Nakrani,LH Ferguson,0,{},{}
1st innings,Uganda,9.3,DM Nakrani,LH Ferguson,0,{},{}
1st innings,Uganda,9.4,DM Nakrani,LH Ferguson,1,{},{}
1st innings,Uganda,9.5,Riazat Ali Shah,LH Ferguson,0,{},{}
1st innings,Uganda,9.6,Riazat Ali Shah,LH Ferguson,1,{'wides': 1},{}
1st innings,Uganda,9.7,Riazat Ali Shah,LH Ferguson,0,{},{}
1st innings,Uganda,10.1,DM Nakrani,MJ Santner,1,{},{}
1st innings,Uganda,10.2,Riazat Ali Shah,MJ Santner,0,{},{}
1st innings,Uganda,10.3,Riazat Ali Shah,MJ Santner,0,{},{}
1st innings,Uganda,10.4,Riazat Ali Shah,MJ Santner,0,{},{}
1st innings,Uganda,10.5,Riazat Ali Shah,MJ Santner,1,{},{}
1st innings,Uganda,10.6,DM Nakrani,MJ Santner,0,{},{}
1st innings,Uganda,11.1,Riazat Ali Shah,R Ravindra,0,{},{}
1st innings,Uganda,11.2,Riazat Ali Shah,R Ravindra,0,{},"{'player_out': 'Riazat Ali Shah', 'fielders': ['DP Conway'], 'kind': 'caught'}"
1st innings,Uganda,11.3,B Masaba,R Ravindra,0,{},{}
1st innings,Uganda,11.4,B Masaba,R Ravindra,0,{},{}
1st innings,Uganda,11.5,B Masaba,R Ravindra,0,{},{}
1st innings,Uganda,11.6,B Masaba,R Ravindra,2,{'byes': 2},{}
1st innings,Uganda,12.1,DM Nakrani,LH Ferguson,1,{},{}
1st innings,Uganda,12.2,B Masaba,LH Ferguson,0,{},{}
1st innings,Uganda,12.3,B Masaba,LH Ferguson,0,{},{}
