inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,England,0.1,PD Salt,D Wiese,0,{},{}
1st innings,England,0.2,PD Salt,D Wiese,0,{},{}
1st innings,England,0.3,PD Salt,D Wiese,1,{},{}
1st innings,England,0.4,JC Buttler,D Wiese,0,{},{}
1st innings,England,0.5,JC Buttler,D Wiese,0,{},{}
1st innings,England,0.6,JC Buttler,D Wiese,0,{},{}
1st innings,England,1.1,PD Salt,R Trumpelmann,1,{},{}
1st innings,England,1.2,JC Buttler,R Trumpelmann,0,{},"{'player_out': 'JC Buttler', 'kind': 'bowled'}"
1st innings,England,1.3,JM Bairstow,R Trumpelmann,1,{},{}
1st innings,England,1.4,PD Salt,R Trumpelmann,4,{},{}
1st innings,England,1.5,PD Salt,R Trumpelmann,4,{},{}
1st innings,England,1.6,PD Salt,R Trumpelmann,1,{'wides': 1},{}
1st innings,England,1.7,PD Salt,R Trumpelmann,1,{},{}
1st innings,England,2.1,PD Salt,D Wiese,0,{},"{'player_out': 'PD Salt', 'fielders': ['ZE Green'], 'kind': 'caught'}"
1st innings,England,2.2,HC Brook,D Wiese,0,{},{}
1st innings,England,2.3,HC Brook,D Wiese,1,{},{}
1st innings,England,2.4,JM Bairstow,D Wiese,0,{},{}
1st innings,England,2.5,JM Bairstow,D Wiese,4,{},{}
1st innings,England,2.6,JM Bairstow,D Wiese,0,{},{}
1st innings,England,3.1,HC Brook,BM Scholtz,1,{},{}
1st innings,England,3.2,JM Bairstow,BM Scholtz,0,{},{}
1st innings,England,3.3,JM Bairstow,BM Scholtz,0,{},{}
1st innings,England,3.4,JM Bairstow,BM Scholtz,4,{},{}
1st innings,England,3.5,JM Bairstow,BM Scholtz,6,{},{}
1st innings,England,3.6,JM Bairstow,BM Scholtz,0,{},{}
1st innings,England,4.1,HC Brook,MG Erasmus,1,{},{}
1st innings,England,4.2,JM Bairstow,MG Erasmus,2,{},{}
1st innings,England,4.3,JM Bairstow,MG Erasmus,2,{},{}
1st innings,England,4.4,JM Bairstow,MG Erasmus,4,{},{}
1st innings,England,4.5,JM Bairstow,MG Erasmus,0,{},{}
1st innings,England,4.6,JM Bairstow,MG Erasmus,1,{},{}
1st innings,England,5.1,JM Bairstow,JT Brassell,1,{},{}
1st innings,England,5.2,HC Brook,JT Brassell,2,{},{}
1st innings,England,5.3,HC Brook,JT Brassell,6,{},{}
1st innings,England,5.4,HC Brook,JT Brassell,4,{},{}
1st innings,England,5.5,HC Brook,JT Brassell,0,{},{}
1st innings,England,5.6,HC Brook,JT Brassell,0,{},{}
1st innings,England,6.1,JM Bairstow,MG Erasmus,6,{},{}
1st innings,England,6.2,JM Bairstow,MG Erasmus,1,{'legbyes': 1},{}
1st innings,England,6.3,HC Brook,MG Erasmus,2,{},{}
1st innings,England,6.4,HC Brook,MG Erasmus,2,{},{}
1st innings,England,6.5,HC Brook,MG Erasmus,4,{},{}
1st innings,England,6.6,HC Brook,MG Erasmus,2,{},{}
1st innings,England,7.1,JM Bairstow,BM Scholtz,0,{},"{'player_out': 'JM Bairstow', 'fielders': ['ZE Green'], 'kind': 'caught'}"
1st innings,England,7.2,MM Ali,BM Scholtz,2,{},{}
1st innings,England,7.3,MM Ali,BM Scholtz,6,{},{}
1st innings,England,7.4,MM Ali,BM Scholtz,1,{},{}
1st innings,England,7.5,HC Brook,BM Scholtz,2,{},{}
1st innings,England,7.6,HC Brook,BM Scholtz,2,{},{}
1st innings,England,8.1,MM Ali,JT Brassell,1,{},{}
1st innings,England,8.2,HC Brook,JT Brassell,2,{},{}
1st innings,England,8.3,HC Brook,JT Brassell,2,{},{}
1st innings,England,8.4,HC Brook,JT Brassell,4,{},{}
1st innings,England,8.5,HC Brook,JT Brassell,6,{},{}
1st innings,England,8.6,HC Brook,JT Brassell,4,{},{}
1st innings,England,9.1,MM Ali,R Trumpelmann,6,{},{}
1st innings,England,9.2,MM Ali,R Trumpelmann,0,{},"{'player_out': 'MM Ali', 'fielders': ['N Davin'], 'kind': 'caught'}"
1st innings,England,9.3,LS Livingstone,R Trumpelmann,6,{},{}
1st innings,England,9.4,LS Livingstone,R Trumpelmann,6,{},{}
1st innings,England,9.5,LS Livingstone,R Trumpelmann,2,{'byes': 2},{}
