inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Scotland,0.1,HG Munsey,AC Agar,0,{},{}
1st innings,Scotland,0.2,HG Munsey,AC Agar,0,{},{}
1st innings,Scotland,0.3,HG Munsey,AC Agar,1,{},{}
1st innings,Scotland,0.4,MA Jones,AC Agar,0,{},{}
1st innings,Scotland,0.5,MA Jones,AC Agar,2,{},{}
1st innings,Scotland,0.6,MA Jones,AC Agar,0,{},"{'player_out': 'MA Jones', 'kind': 'bowled'}"
1st innings,Scotland,1.1,HG Munsey,MA Starc,1,{'legbyes': 1},{}
1st innings,Scotland,1.2,BJ McMullen,MA Starc,0,{},{}
1st innings,Scotland,1.3,BJ McMullen,MA Starc,1,{},{}
1st innings,Scotland,1.4,HG Munsey,MA Starc,0,{},{}
1st innings,Scotland,1.5,HG Munsey,MA Starc,0,{},{}
1st innings,Scotland,1.6,HG Munsey,MA Starc,0,{},{}
1st innings,Scotland,2.1,BJ McMullen,NT Ellis,0,{},{}
1st innings,Scotland,2.2,BJ McMullen,NT Ellis,1,{},{}
1st innings,Scotland,2.3,HG Munsey,NT Ellis,1,{},{}
1st innings,Scotland,2.4,BJ McMullen,NT Ellis,1,{'wides': 1},{}
1st innings,Scotland,2.5,BJ McMullen,NT Ellis,6,{},{}
1st innings,Scotland,2.6,BJ McMullen,NT Ellis,0,{},{}
1st innings,Scotland,2.7,BJ McMullen,NT Ellis,1,{},{}
1st innings,Scotland,3.1,BJ McMullen,MA Starc,1,{},{}
1st innings,Scotland,3.2,HG Munsey,MA Starc,1,{},{}
1st innings,Scotland,3.3,BJ McMullen,MA Starc,1,{},{}
1st innings,Scotland,3.4,HG Munsey,MA Starc,1,{},{}
1st innings,Scotland,3.5,BJ McMullen,MA Starc,6,{},{}
1st innings,Scotland,3.6,BJ McMullen,MA Starc,0,{},{}
1st innings,Scotland,4.1,HG Munsey,GJ Maxwell,0,{},{}
1st innings,Scotland,4.2,HG Munsey,GJ Maxwell,1,{},{}
1st innings,Scotland,4.3,BJ McMullen,GJ Maxwell,1,{},{}
1st innings,Scotland,4.4,HG Munsey,GJ Maxwell,6,{},{}
1st innings,Scotland,4.5,HG Munsey,GJ Maxwell,6,{},{}
1st innings,Scotland,4.6,HG Munsey,GJ Maxwell,4,{},{}
1st innings,Scotland,5.1,BJ McMullen,NT Ellis,1,{},{}
1st innings,Scotland,5.2,HG Munsey,NT Ellis,1,{},{}
1st innings,Scotland,5.3,BJ McMullen,NT Ellis,4,{},{}
1st innings,Scotland,5.4,BJ McMullen,NT Ellis,0,{},{}
1st innings,Scotland,5.5,BJ McMullen,NT Ellis,1,{},{}
1st innings,Scotland,5.6,HG Munsey,NT Ellis,4,{},{}
1st innings,Scotland,6.1,BJ McMullen,A Zampa,1,{},{}
1st innings,Scotland,6.2,HG Munsey,A Zampa,1,{},{}
1st innings,Scotland,6.3,BJ McMullen,A Zampa,6,{},{}
1st innings,Scotland,6.4,BJ McMullen,A Zampa,4,{},{}
1st innings,Scotland,6.5,BJ McMullen,A Zampa,0,{},{}
1st innings,Scotland,6.6,BJ McMullen,A Zampa,1,{},{}
1st innings,Scotland,7.1,BJ McMullen,AC Agar,0,{},{}
1st innings,Scotland,7.2,BJ McMullen,AC Agar,6,{},{}
