inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Bangladesh,0.1,Tanzid Hasan,Sompal Kami,0,{},"{'player_out': 'Tanzid Hasan', 'kind': 'caught and bowled'}"
1st innings,Bangladesh,0.2,Nazmul Hossain Shanto,Sompal Kami,0,{},{}
1st innings,Bangladesh,0.3,Nazmul Hossain Shanto,Sompal Kami,2,{},{}
1st innings,Bangladesh,0.4,Nazmul Hossain Shanto,Sompal Kami,1,{},{}
1st innings,Bangladesh,0.5,Liton Das,Sompal Kami,0,{},{}
1st innings,Bangladesh,0.6,Liton Das,Sompal Kami,0,{},{}
1st innings,Bangladesh,1.1,Nazmul Hossain Shanto,DS Airee,1,{},{}
1st innings,Bangladesh,1.2,Liton Das,DS Airee,3,{},{}
1st innings,Bangladesh,1.3,Nazmul Hossain Shanto,DS Airee,0,{},"{'player_out': 'Nazmul Hossain Shanto', 'kind': 'bowled'}"
1st innings,Bangladesh,1.4,Shakib Al Hasan,DS Airee,4,{},{}
1st innings,Bangladesh,1.5,Shakib Al Hasan,DS Airee,0,{},{}
1st innings,Bangladesh,1.6,Shakib Al Hasan,DS Airee,0,{},{}
1st innings,Bangladesh,2.1,Liton Das,Sompal Kami,1,{},{}
1st innings,Bangladesh,2.2,Shakib Al Hasan,Sompal Kami,0,{},{}
1st innings,Bangladesh,2.3,Shakib Al Hasan,Sompal Kami,0,{},{}
1st innings,Bangladesh,2.4,Shakib Al Hasan,Sompal Kami,1,{},{}
1st innings,Bangladesh,2.5,Liton Das,Sompal Kami,0,{},{}
1st innings,Bangladesh,2.6,Liton Das,Sompal Kami,0,{},{}
1st innings,Bangladesh,3.1,Shakib Al Hasan,DS Airee,1,{},{}
1st innings,Bangladesh,3.2,Liton Das,DS Airee,0,{},{}
1st innings,Bangladesh,3.3,Liton Das,DS Airee,0,{},{}
1st innings,Bangladesh,3.4,Liton Das,DS Airee,0,{},{}
1st innings,Bangladesh,3.5,Liton Das,DS Airee,2,{},{}
1st innings,Bangladesh,3.6,Liton Das,DS Airee,4,{},{}
1st innings,Bangladesh,4.1,Shakib Al Hasan,Sompal Kami,0,{},{}
1st innings,Bangladesh,4.2,Shakib Al Hasan,Sompal Kami,1,{'legbyes': 1},{}
1st innings,Bangladesh,4.3,Liton Das,Sompal Kami,0,{},"{'player_out': 'Liton Das', 'fielders': ['Aasif Sheikh'], 'kind': 'caught'}"
1st innings,Bangladesh,4.4,Towhid Hridoy,Sompal Kami,4,{},{}
1st innings,Bangladesh,4.5,Towhid Hridoy,Sompal Kami,0,{},{}
1st innings,Bangladesh,4.6,Towhid Hridoy,Sompal Kami,1,{},{}
1st innings,Bangladesh,5.1,Towhid Hridoy,RK Paudel,0,{},{}
1st innings,Bangladesh,5.2,Towhid Hridoy,RK Paudel,0,{},{}
1st innings,Bangladesh,5.3,Towhid Hridoy,RK Paudel,4,{},{}
1st innings,Bangladesh,5.4,Towhid Hridoy,RK Paudel,0,{},"{'player_out': 'Towhid Hridoy', 'fielders': ['S Lamichhane'], 'kind': 'caught'}"
1st innings,Bangladesh,5.5,Mahmudullah,RK Paudel,0,{},{}
1st innings,Bangladesh,5.6,Mahmudullah,RK Paudel,1,{},{}
1st innings,Bangladesh,6.1,Mahmudullah,S Lamichhane,0,{},{}
1st innings,Bangladesh,6.2,Mahmudullah,S Lamichhane,0,{},{}
1st innings,Bangladesh,6.3,Mahmudullah,S Lamichhane,4,{},{}
1st innings,Bangladesh,6.4,Mahmudullah,S Lamichhane,1,{},{}
1st innings,Bangladesh,6.5,Shakib Al Hasan,S Lamichhane,1,{'byes': 1},{}
1st innings,Bangladesh,6.6,Mahmudullah,S Lamichhane,1,{},{}
1st innings,Bangladesh,7.1,Mahmudullah,RK Paudel,1,{},{}
1st innings,Bangladesh,7.2,Shakib Al Hasan,RK Paudel,0,{},{}
1st innings,Bangladesh,7.3,Shakib Al Hasan,RK Paudel,4,{},{}
1st innings,Bangladesh,7.4,Shakib Al Hasan,RK Paudel,1,{},{}
1st innings,Bangladesh,7.5,Mahmudullah,RK Paudel,0,{},{}
1st innings,Bangladesh,7.6,Mahmudullah,RK Paudel,0,{},{}
1st innings,Bangladesh,8.1,Shakib Al Hasan,S Lamichhane,2,{},{}
1st innings,Bangladesh,8.2,Shakib Al Hasan,S Lamichhane,1,{},{}
1st innings,Bangladesh,8.3,Mahmudullah,S Lamichhane,0,{},{}
1st innings,Bangladesh,8.4,Mahmudullah,S Lamichhane,4,{},{}
1st innings,Bangladesh,8.5,Mahmudullah,S Lamichhane,1,{},{}
1st innings,Bangladesh,8.6,Shakib Al Hasan,S Lamichhane,0,{},"{'player_out': 'Mahmudullah', 'fielders': ['Gulsan Jha', 'S Lamichhane'], 'kind': 'run out'}"
1st innings,Bangladesh,9.1,Jaker Ali,RK Paudel,0,{},{}
1st innings,Bangladesh,9.2,Jaker Ali,RK Paudel,1,{},{}
1st innings,Bangladesh,9.3,Shakib Al Hasan,RK Paudel,1,{},{}
