inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Ireland,0.1,A Balbirnie,Shaheen Shah Afridi,0,{},{}
1st innings,Ireland,0.2,A Balbirnie,Shaheen Shah Afridi,0,{},{}
1st innings,Ireland,0.3,A Balbirnie,Shaheen Shah Afridi,0,{},"{'player_out': 'A Balbirnie', 'kind': 'bowled'}"
1st innings,Ireland,0.4,L Tucker,Shaheen Shah Afridi,2,{},{}
1st innings,Ireland,0.5,L Tucker,Shaheen Shah Afridi,0,{},"{'player_out': 'L Tucker', 'fielders': ['Mohammad Rizwan'], 'kind': 'caught'}"
1st innings,Ireland,0.6,HT Tector,Shaheen Shah Afridi,0,{},{}
1st innings,Ireland,1.1,PR Stirling,Mohammad Amir,1,{},{}
1st innings,Ireland,1.2,HT Tector,Mohammad Amir,0,{},{}
1st innings,Ireland,1.3,HT Tector,Mohammad Amir,1,{'legbyes': 1},{}
1st innings,Ireland,1.4,PR Stirling,Mohammad Amir,0,{},"{'player_out': 'PR Stirling', 'fielders': ['Mohammad Rizwan'], 'kind': 'caught'}"
1st innings,Ireland,1.5,C Campher,Mohammad Amir,4,{},{}
1st innings,Ireland,1.6,C Campher,Mohammad Amir,0,{},{}
1st innings,Ireland,2.1,HT Tector,Shaheen Shah Afridi,2,{'wides': 2},{}
1st innings,Ireland,2.2,C Campher,Shaheen Shah Afridi,0,{},{}
1st innings,Ireland,2.3,C Campher,Shaheen Shah Afridi,4,{'legbyes': 4},{}
1st innings,Ireland,2.4,C Campher,Shaheen Shah Afridi,1,{},{}
1st innings,Ireland,2.5,HT Tector,Shaheen Shah Afridi,0,{},{}
1st innings,Ireland,2.6,HT Tector,Shaheen Shah Afridi,0,{},{}
1st innings,Ireland,2.7,HT Tector,Shaheen Shah Afridi,0,{},"{'player_out': 'HT Tector', 'kind': 'lbw'}"
1st innings,Ireland,3.1,C Campher,Mohammad Amir,0,{},{}
1st innings,Ireland,3.2,C Campher,Mohammad Amir,0,{},{}
1st innings,Ireland,3.3,C Campher,Mohammad Amir,0,{},{}
1st innings,Ireland,3.4,C Campher,Mohammad Amir,2,{},{}
1st innings,Ireland,3.5,C Campher,Mohammad Amir,0,{},{}
1st innings,Ireland,3.6,C Campher,Mohammad Amir,0,{},{}
1st innings,Ireland,4.1,GH Dockrell,Shaheen Shah Afridi,0,{},{}
1st innings,Ireland,4.2,GH Dockrell,Shaheen Shah Afridi,0,{},{}
1st innings,Ireland,4.3,GH Dockrell,Shaheen Shah Afridi,0,{},{}
1st innings,Ireland,4.4,GH Dockrell,Shaheen Shah Afridi,4,{},{}
1st innings,Ireland,4.5,GH Dockrell,Shaheen Shah Afridi,4,{},{}
1st innings,Ireland,4.6,GH Dockrell,Shaheen Shah Afridi,3,{},{}
1st innings,Ireland,5.1,GH Dockrell,Mohammad Amir,0,{},{}
1st innings,Ireland,5.2,GH Dockrell,Mohammad Amir,0,{},{}
1st innings,Ireland,5.3,GH Dockrell,Mohammad Amir,0,{},{}
1st innings,Ireland,5.4,GH Dockrell,Mohammad Amir,0,{},"{'player_out': 'GH Dockrell', 'kind': 'caught and bowled'}"
1st innings,Ireland,5.5,GJ Delany,Mohammad Amir,4,{},{}
1st innings,Ireland,5.6,GJ Delany,Mohammad Amir,0,{},{}
1st innings,Ireland,6.1,C Campher,Haris Rauf,0,{},{}
1st innings,Ireland,6.2,C Campher,Haris Rauf,0,{},{}
1st innings,Ireland,6.3,C Campher,Haris Rauf,0,{},"{'player_out': 'C Campher', 'fielders': ['Saim Ayub'], 'kind': 'caught'}"
1st innings,Ireland,6.4,MR Adair,Haris Rauf,1,{},{}
1st innings,Ireland,6.5,GJ Delany,Haris Rauf,0,{},{}
1st innings,Ireland,6.6,GJ Delany,Haris Rauf,0,{},{}
1st innings,Ireland,7.1,MR Adair,Abbas Afridi,1,{},{}
1st innings,Ireland,7.2,GJ Delany,Abbas Afridi,1,{'legbyes': 1},{}
