inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,Sri Lanka,0.1,P Nissanka,VJ Kingma,0,{},{}
1st innings,Sri Lanka,0.2,P Nissanka,VJ Kingma,0,{},"{'player_out': 'P Nissanka', 'fielders': ['SA Engelbrecht'], 'kind': 'caught'}"
1st innings,Sri Lanka,0.3,PHKD Mendis,VJ Kingma,0,{},{}
1st innings,Sri Lanka,0.4,PHKD Mendis,VJ Kingma,0,{},{}
1st innings,Sri Lanka,0.5,PHKD Mendis,VJ Kingma,1,{'wides': 1},{}
1st innings,Sri Lanka,0.6,PHKD Mendis,VJ Kingma,1,{'wides': 1},{}
1st innings,Sri Lanka,0.7,PHKD Mendis,VJ Kingma,0,{},{}
1st innings,Sri Lanka,0.8,PHKD Mendis,VJ Kingma,1,{'wides': 1},{}
1st innings,Sri Lanka,0.9,PHKD Mendis,VJ Kingma,0,{},{}
1st innings,Sri Lanka,1.1,BKG Mendis,A Dutt,1,{},{}
1st innings,Sri Lanka,1.2,PHKD Mendis,A Dutt,0,{},{}
1st innings,Sri Lanka,1.3,PHKD Mendis,A Dutt,1,{},{}
1st innings,Sri Lanka,1.4,BKG Mendis,A Dutt,1,{},{}
1st innings,Sri Lanka,1.5,PHKD Mendis,A Dutt,0,{},{}
1st innings,Sri Lanka,1.6,PHKD Mendis,A Dutt,1,{},{}
1st innings,Sri Lanka,2.1,PHKD Mendis,VJ Kingma,0,{},{}
1st innings,Sri Lanka,2.2,PHKD Mendis,VJ Kingma,1,{},{}
1st innings,Sri Lanka,2.3,BKG Mendis,VJ Kingma,1,{},{}
1st innings,Sri Lanka,2.4,PHKD Mendis,VJ Kingma,1,{},{}
1st innings,Sri Lanka,2.5,BKG Mendis,VJ Kingma,4,{},{}
1st innings,Sri Lanka,2.6,BKG Mendis,VJ Kingma,0,{},{}
1st innings,Sri Lanka,3.1,PHKD Mendis,LV van Beek,0,{},{}
1st innings,Sri Lanka,3.2,PHKD Mendis,LV van Beek,0,{},{}
1st innings,Sri Lanka,3.3,PHKD Mendis,LV van Beek,1,{},{}
1st innings,Sri Lanka,3.4,BKG Mendis,LV van Beek,2,{},{}
1st innings,Sri Lanka,3.5,BKG Mendis,LV van Beek,0,{},{}
1st innings,Sri Lanka,3.6,BKG Mendis,LV van Beek,2,{},{}
1st innings,Sri Lanka,4.1,PHKD Mendis,VJ Kingma,4,{},{}
1st innings,Sri Lanka,4.2,PHKD Mendis,VJ Kingma,1,{},{}
1st innings,Sri Lanka,4.3,BKG Mendis,VJ Kingma,3,{},{}
1st innings,Sri Lanka,4.4,PHKD Mendis,VJ Kingma,0,{},{}
1st innings,Sri Lanka,4.5,PHKD Mendis,VJ Kingma,1,{},{}
1st innings,Sri Lanka,4.6,BKG Mendis,VJ Kingma,4,{},{}
1st innings,Sri Lanka,5.1,PHKD Mendis,PA van Meekeren,6,{},{}
1st innings,Sri Lanka,5.2,PHKD Mendis,PA van Meekeren,1,{'wides': 1},{}
1st innings,Sri Lanka,5.3,PHKD Mendis,PA van Meekeren,0,{},"{'player_out': 'PHKD Mendis', 'fielders': ['LV van Beek'], 'kind': 'caught'}"
1st innings,Sri Lanka,5.4,DM de Silva,PA van Meekeren,1,{},{}
1st innings,Sri Lanka,5.5,BKG Mendis,PA van Meekeren,0,{},{}
1st innings,Sri Lanka,5.6,BKG Mendis,PA van Meekeren,4,{},{}
1st innings,Sri Lanka,5.7,BKG Mendis,PA van Meekeren,1,{},{}
1st innings,Sri Lanka,6.1,BKG Mendis,TJG Pringle,1,{},{}
1st innings,Sri Lanka,6.2,DM de Silva,TJG Pringle,1,{},{}
1st innings,Sri Lanka,6.3,BKG Mendis,TJG Pringle,1,{},{}
1st innings,Sri Lanka,6.4,DM de Silva,TJG Pringle,1,{},{}
1st innings,Sri Lanka,6.5,BKG Mendis,TJG Pringle,1,{},{}
1st innings,Sri Lanka,6.6,DM de Silva,TJG Pringle,0,{},{}
1st innings,Sri Lanka,7.1,BKG Mendis,PA van Meekeren,1,{},{}
1st innings,Sri Lanka,7.2,DM de Silva,PA van Meekeren,1,{},{}
1st innings,Sri Lanka,7.3,BKG Mendis,PA van Meekeren,0,{},{}
1st innings,Sri Lanka,7.4,BKG Mendis,PA van Meekeren,3,{},{}
1st innings,Sri Lanka,7.5,DM de Silva,PA van Meekeren,1,{'wides': 1},{}
1st innings,Sri Lanka,7.6,DM de Silva,PA van Meekeren,1,{},{}
1st innings,Sri Lanka,7.7,BKG Mendis,PA van Meekeren,1,{},{}
1st innings,Sri Lanka,8.1,BKG Mendis,TJG Pringle,1,{},{}
1st innings,Sri Lanka,8.2,DM de Silva,TJG Pringle,1,{},{}
1st innings,Sri Lanka,8.3,BKG Mendis,TJG Pringle,1,{},{}
1st innings,Sri Lanka,8.4,DM de Silva,TJG Pringle,4,{},{}
1st innings,Sri Lanka,8.5,DM de Silva,TJG Pringle,1,{},{}
1st innings,Sri Lanka,8.6,BKG Mendis,TJG Pringle,4,{},{}
1st innings,Sri Lanka,9.1,DM de Silva,LV van Beek,0,{},{}
1st innings,Sri Lanka,9.2,DM de Silva,LV van Beek,0,{},{}
1st innings,Sri Lanka,9.3,DM de Silva,LV van Beek,1,{},{}
1st innings,Sri Lanka,9.4,BKG Mendis,LV van Beek,1,{'wides': 1},{}
1st innings,Sri Lanka,9.5,BKG Mendis,LV van Beek,1,{},{}
1st innings,Sri Lanka,9.6,DM de Silva,LV van Beek,1,{},{}
1st innings,Sri Lanka,9.7,BKG Mendis,LV van Beek,0,{},{}
1st innings,Sri Lanka,10.1,DM de Silva,BFW de Leede,1,{},{}
1st innings,Sri Lanka,10.2,BKG Mendis,BFW de Leede,3,{},{}
1st innings,Sri Lanka,10.3,DM de Silva,BFW de Leede,1,{},{}
1st innings,Sri Lanka,10.4,BKG Mendis,BFW de Leede,4,{},{}
1st innings,Sri Lanka,10.5,BKG Mendis,BFW de Leede,1,{},{}
1st innings,Sri Lanka,10.6,DM de Silva,BFW de Leede,0,{},{}
1st innings,Sri Lanka,11.1,BKG Mendis,A Dutt,0,{},"{'player_out': 'BKG Mendis', 'fielders': ['SA Engelbrecht'], 'kind': 'caught'}"
1st innings,Sri Lanka,11.2,KIC Asalanka,A Dutt,2,{},{}
1st innings,Sri Lanka,11.3,KIC Asalanka,A Dutt,1,{},{}
1st innings,Sri Lanka,11.4,DM de Silva,A Dutt,1,{'wides': 1},{}
1st innings,Sri Lanka,11.5,DM de Silva,A Dutt,1,{},{}
1st innings,Sri Lanka,11.6,KIC Asalanka,A Dutt,1,{},{}
1st innings,Sri Lanka,11.7,DM de Silva,A Dutt,0,{},{}
1st innings,Sri Lanka,12.1,KIC Asalanka,PA van Meekeren,0,{},{}
1st innings,Sri Lanka,12.2,KIC Asalanka,PA van Meekeren,1,{},{}
1st innings,Sri Lanka,12.3,DM de Silva,PA van Meekeren,4,{},{}
1st innings,Sri Lanka,12.4,DM de Silva,PA van Meekeren,4,{},{}
1st innings,Sri Lanka,12.5,DM de Silva,PA van Meekeren,6,{},{}
1st innings,Sri Lanka,12.6,DM de Silva,PA van Meekeren,1,{},{}
1st innings,Sri Lanka,13.1,DM de Silva,A Dutt,1,{},{}
1st innings,Sri Lanka,13.2,KIC Asalanka,A Dutt,1,{},{}
1st innings,Sri Lanka,13.3,DM de Silva,A Dutt,1,{},{}
1st innings,Sri Lanka,13.4,KIC Asalanka,A Dutt,6,{},{}
1st innings,Sri Lanka,13.5,KIC Asalanka,A Dutt,0,{},{}
1st innings,Sri Lanka,13.6,KIC Asalanka,A Dutt,4,{},{}
1st innings,Sri Lanka,14.1,DM de Silva,TJG Pringle,1,{},{}
1st innings,Sri Lanka,14.2,KIC Asalanka,TJG Pringle,2,{},{}
1st innings,Sri Lanka,14.3,KIC Asalanka,TJG Pringle,1,{},{}
