inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,India,0.1,RG Sharma,MA Starc,0,{},{}
1st innings,India,0.2,RG Sharma,MA Starc,0,{},{}
1st innings,India,0.3,RG Sharma,MA Starc,4,{},{}
1st innings,India,0.4,RG Sharma,MA Starc,1,{},{}
1st innings,India,0.5,V Kohli,MA Starc,0,{},{}
1st innings,India,0.6,V Kohli,MA Starc,0,{},{}
1st innings,India,1.1,RG Sharma,JR Hazlewood,1,{},{}
1st innings,India,1.2,V Kohli,JR Hazlewood,0,{},{}
1st innings,India,1.3,V Kohli,JR Hazlewood,0,{},{}
1st innings,India,1.4,V Kohli,JR Hazlewood,0,{},"{'player_out': 'V Kohli', 'fielders': ['TH David'], 'kind': 'caught'}"
1st innings,India,1.5,RR Pant,JR Hazlewood,0,{},{}
1st innings,India,1.6,RR Pant,JR Hazlewood,0,{},{}
1st innings,India,2.1,RG Sharma,MA Starc,6,{},{}
1st innings,India,2.2,RG Sharma,MA Starc,6,{},{}
1st innings,India,2.3,RG Sharma,MA Starc,4,{},{}
1st innings,India,2.4,RG Sharma,MA Starc,6,{},{}
1st innings,India,2.5,RG Sharma,MA Starc,0,{},{}
1st innings,India,2.6,RG Sharma,MA Starc,1,{'wides': 1},{}
1st innings,India,2.7,RG Sharma,MA Starc,6,{},{}
1st innings,India,3.1,RR Pant,JR Hazlewood,0,{},{}
1st innings,India,3.2,RR Pant,JR Hazlewood,0,{},{}
1st innings,India,3.3,RR Pant,JR Hazlewood,1,{},{}
1st innings,India,3.4,RG Sharma,JR Hazlewood,0,{},{}
1st innings,India,3.5,RG Sharma,JR Hazlewood,1,{},{}
1st innings,India,3.6,RR Pant,JR Hazlewood,0,{},{}
1st innings,India,4.1,RG Sharma,PJ Cummins,6,{},{}
1st innings,India,4.2,RG Sharma,PJ Cummins,0,{},{}
1st innings,India,4.3,RG Sharma,PJ Cummins,4,{},{}
1st innings,India,4.4,RG Sharma,PJ Cummins,0,{},{}
1st innings,India,4.5,RG Sharma,PJ Cummins,4,{},{}
1st innings,India,4.6,RG Sharma,PJ Cummins,1,{},{}
1st innings,India,5.1,RG Sharma,JR Hazlewood,1,{'legbyes': 1},{}
1st innings,India,5.2,RR Pant,JR Hazlewood,0,{},{}
1st innings,India,5.3,RR Pant,JR Hazlewood,1,{},{}
1st innings,India,5.4,RG Sharma,JR Hazlewood,1,{},{}
1st innings,India,5.5,RR Pant,JR Hazlewood,4,{},{}
1st innings,India,5.6,RR Pant,JR Hazlewood,1,{},{}
1st innings,India,6.1,RR Pant,A Zampa,6,{},{}
1st innings,India,6.2,RR Pant,A Zampa,1,{},{}
1st innings,India,6.3,RG Sharma,A Zampa,1,{},{}
1st innings,India,6.4,RR Pant,A Zampa,1,{},{}
1st innings,India,6.5,RG Sharma,A Zampa,6,{},{}
1st innings,India,6.6,RG Sharma,A Zampa,1,{},{}
1st innings,India,7.1,RG Sharma,MP Stoinis,0,{},{}
1st innings,India,7.2,RG Sharma,MP Stoinis,4,{},{}
1st innings,India,7.3,RG Sharma,MP Stoinis,6,{},{}
1st innings,India,7.4,RG Sharma,MP Stoinis,6,{},{}
1st innings,India,7.5,RG Sharma,MP Stoinis,1,{},{}
1st innings,India,7.6,RR Pant,MP Stoinis,0,{},"{'player_out': 'RR Pant', 'fielders': ['JR Hazlewood'], 'kind': 'caught'}"
1st innings,India,8.1,RG Sharma,A Zampa,1,{},{}
1st innings,India,8.2,SA Yadav,A Zampa,1,{},{}
1st innings,India,8.3,RG Sharma,A Zampa,1,{},{}
1st innings,India,8.4,SA Yadav,A Zampa,4,{},{}
1st innings,India,8.5,SA Yadav,A Zampa,1,{},{}
1st innings,India,8.6,RG Sharma,A Zampa,1,{},{}
1st innings,India,9.1,RG Sharma,MP Stoinis,4,{},{}
1st innings,India,9.2,RG Sharma,MP Stoinis,0,{},{}
1st innings,India,9.3,RG Sharma,MP Stoinis,1,{'wides': 1},{}
1st innings,India,9.4,RG Sharma,MP Stoinis,4,{},{}
1st innings,India,9.5,RG Sharma,MP Stoinis,1,{},{}
1st innings,India,9.6,SA Yadav,MP Stoinis,1,{},{}
1st innings,India,9.7,RG Sharma,MP Stoinis,1,{},{}
1st innings,India,10.1,RG Sharma,PJ Cummins,2,{},{}
1st innings,India,10.2,RG Sharma,PJ Cummins,1,{},{}
1st innings,India,10.3,SA Yadav,PJ Cummins,0,{},{}
1st innings,India,10.4,SA Yadav,PJ Cummins,0,{},{}
1st innings,India,10.5,SA Yadav,PJ Cummins,4,{},{}
1st innings,India,10.6,SA Yadav,PJ Cummins,6,{},{}
1st innings,India,11.1,RG Sharma,MA Starc,0,{},{}
1st innings,India,11.2,RG Sharma,MA Starc,0,{},"{'player_out': 'RG Sharma', 'kind': 'bowled'}"
1st innings,India,11.3,S Dube,MA Starc,4,{},{}
1st innings,India,11.4,S Dube,MA Starc,0,{},{}
1st innings,India,11.5,S Dube,MA Starc,0,{},{}
1st innings,India,11.6,S Dube,MA Starc,0,{},{}
1st innings,India,12.1,SA Yadav,A Zampa,1,{},{}
1st innings,India,12.2,S Dube,A Zampa,1,{},{}
1st innings,India,12.3,SA Yadav,A Zampa,1,{},{}
1st innings,India,12.4,S Dube,A Zampa,0,{},{}
1st innings,India,12.5,S Dube,A Zampa,6,{},{}
1st innings,India,12.6,S Dube,A Zampa,2,{},{}
