inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,India,0.1,RG Sharma,RJW Topley,0,{},{}
1st innings,India,0.2,RG Sharma,RJW Topley,4,{},{}
1st innings,India,0.3,RG Sharma,RJW Topley,1,{},{}
1st innings,India,0.4,V Kohli,RJW Topley,0,{},{}
1st innings,India,0.5,V Kohli,RJW Topley,0,{},{}
1st innings,India,0.6,V Kohli,RJW Topley,1,{'legbyes': 1},{}
1st innings,India,1.1,V Kohli,JC Archer,0,{},{}
1st innings,India,1.2,V Kohli,JC Archer,1,{},{}
1st innings,India,1.3,RG Sharma,JC Archer,0,{},{}
1st innings,India,1.4,RG Sharma,JC Archer,0,{},{}
1st innings,India,1.5,RG Sharma,JC Archer,0,{},{}
1st innings,India,1.6,RG Sharma,JC Archer,4,{},{}
1st innings,India,2.1,V Kohli,RJW Topley,0,{},{}
1st innings,India,2.2,V Kohli,RJW Topley,6,{},{}
1st innings,India,2.3,V Kohli,RJW Topley,2,{},{}
1st innings,India,2.4,V Kohli,RJW Topley,0,{},"{'player_out': 'V Kohli', 'kind': 'bowled'}"
1st innings,India,2.5,RR Pant,RJW Topley,1,{},{}
1st innings,India,2.6,RG Sharma,RJW Topley,1,{'legbyes': 1},{}
1st innings,India,3.1,RG Sharma,JC Archer,0,{},{}
1st innings,India,3.2,RG Sharma,JC Archer,2,{},{}
1st innings,India,3.3,RG Sharma,JC Archer,2,{},{}
1st innings,India,3.4,RG Sharma,JC Archer,1,{},{}
1st innings,India,3.5,RR Pant,JC Archer,1,{},{}
1st innings,India,3.6,RG Sharma,JC Archer,2,{},{}
1st innings,India,4.1,RR Pant,RJW Topley,1,{},{}
1st innings,India,4.2,RG Sharma,RJW Topley,4,{},{}
1st innings,India,4.3,RG Sharma,RJW Topley,0,{},{}
1st innings,India,4.4,RG Sharma,RJW Topley,4,{},{}
1st innings,India,4.5,RG Sharma,RJW Topley,1,{},{}
1st innings,India,4.6,RR Pant,RJW Topley,1,{},{}
1st innings,India,5.1,RR Pant,SM Curran,0,{},{}
1st innings,India,5.2,RR Pant,SM Curran,0,{},"{'player_out': 'RR Pant', 'fielders': ['JM Bairstow'], 'kind': 'caught'}"
1st innings,India,5.3,SA Yadav,SM Curran,1,{},{}
1st innings,India,5.4,RG Sharma,SM Curran,1,{},{}
1st innings,India,5.5,SA Yadav,SM Curran,4,{},{}
1st innings,India,5.6,SA Yadav,SM Curran,0,{},{}
1st innings,India,6.1,RG Sharma,AU Rashid,4,{},{}
1st innings,India,6.2,RG Sharma,AU Rashid,0,{},{}
1st innings,India,6.3,RG Sharma,AU Rashid,4,{},{}
1st innings,India,6.4,RG Sharma,AU Rashid,0,{},{}
1st innings,India,6.5,RG Sharma,AU Rashid,1,{},{}
1st innings,India,6.6,SA Yadav,AU Rashid,0,{},{}
1st innings,India,7.1,RG Sharma,CJ Jordan,1,{},{}
1st innings,India,7.2,SA Yadav,CJ Jordan,1,{},{}
1st innings,India,7.3,RG Sharma,CJ Jordan,1,{},{}
1st innings,India,7.4,SA Yadav,CJ Jordan,6,{},{}
1st innings,India,7.5,SA Yadav,CJ Jordan,1,{},{}
1st innings,India,7.6,RG Sharma,CJ Jordan,0,{},{}
1st innings,India,8.1,SA Yadav,LS Livingstone,0,{},{}
1st innings,India,8.2,SA Yadav,LS Livingstone,0,{},{}
1st innings,India,8.3,SA Yadav,LS Livingstone,1,{},{}
1st innings,India,8.4,RG Sharma,LS Livingstone,1,{},{}
1st innings,India,8.5,SA Yadav,LS Livingstone,1,{},{}
1st innings,India,8.6,RG Sharma,LS Livingstone,1,{},{}
1st innings,India,9.1,RG Sharma,AU Rashid,1,{},{}
1st innings,India,9.2,SA Yadav,AU Rashid,0,{},{}
1st innings,India,9.3,SA Yadav,AU Rashid,1,{},{}
1st innings,India,9.4,RG Sharma,AU Rashid,1,{},{}
1st innings,India,9.5,SA Yadav,AU Rashid,4,{},{}
1st innings,India,9.6,SA Yadav,AU Rashid,1,{},{}
1st innings,India,10.1,SA Yadav,LS Livingstone,0,{},{}
1st innings,India,10.2,SA Yadav,LS Livingstone,1,{},{}
1st innings,India,10.3,RG Sharma,LS Livingstone,1,{},{}
1st innings,India,10.4,SA Yadav,LS Livingstone,1,{},{}
1st innings,India,10.5,RG Sharma,LS Livingstone,0,{},{}
1st innings,India,10.6,RG Sharma,LS Livingstone,6,{},{}
1st innings,India,11.1,SA Yadav,AU Rashid,0,{},{}
1st innings,India,11.2,SA Yadav,AU Rashid,2,{},{}
1st innings,India,11.3,SA Yadav,AU Rashid,1,{},{}
1st innings,India,11.4,RG Sharma,AU Rashid,1,{},{}
1st innings,India,11.5,SA Yadav,AU Rashid,1,{},{}
1st innings,India,11.6,RG Sharma,AU Rashid,0,{},{}
1st innings,India,12.1,SA Yadav,SM Curran,6,{},{}
1st innings,India,12.2,SA Yadav,SM Curran,1,{},{}
1st innings,India,12.3,RG Sharma,SM Curran,6,{},{}
1st innings,India,12.4,RG Sharma,SM Curran,1,{},{}
1st innings,India,12.5,SA Yadav,SM Curran,4,{},{}
1st innings,India,12.6,SA Yadav,SM Curran,1,{},{}
1st innings,India,13.1,SA Yadav,AU Rashid,1,{},{}
1st innings,India,13.2,RG Sharma,AU Rashid,1,{},{}
1st innings,India,13.3,SA Yadav,AU Rashid,1,{},{}
1st innings,India,13.4,RG Sharma,AU Rashid,0,{},"{'player_out': 'RG Sharma', 'kind': 'bowled'}"
1st innings,India,13.5,HH Pandya,AU Rashid,0,{},{}
1st innings,India,13.6,HH Pandya,AU Rashid,0,{},{}
1st innings,India,14.1,SA Yadav,LS Livingstone,4,{},{}
1st innings,India,14.2,SA Yadav,LS Livingstone,0,{},{}
1st innings,India,14.3,SA Yadav,LS Livingstone,0,{},{}
1st innings,India,14.4,SA Yadav,LS Livingstone,0,{},{}
1st innings,India,14.5,SA Yadav,LS Livingstone,0,{},{}
1st innings,India,14.6,SA Yadav,LS Livingstone,1,{},{}
1st innings,India,15.1,SA Yadav,JC Archer,1,{},{}
1st innings,India,15.2,HH Pandya,JC Archer,4,{},{}
1st innings,India,15.3,HH Pandya,JC Archer,1,{},{}
1st innings,India,15.4,SA Yadav,JC Archer,0,{},"{'player_out': 'SA Yadav', 'fielders': ['CJ Jordan'], 'kind': 'caught'}"
1st innings,India,15.5,RA Jadeja,JC Archer,1,{},{}
1st innings,India,15.6,HH Pandya,JC Archer,1,{},{}
1st innings,India,16.1,HH Pandya,LS Livingstone,0,{},{}
1st innings,India,16.2,HH Pandya,LS Livingstone,1,{},{}
1st innings,India,16.3,RA Jadeja,LS Livingstone,1,{},{}
1st innings,India,16.4,HH Pandya,LS Livingstone,1,{},{}
1st innings,India,16.5,RA Jadeja,LS Livingstone,1,{},{}
1st innings,India,16.6,HH Pandya,LS Livingstone,1,{'wides': 1},{}
1st innings,India,16.7,HH Pandya,LS Livingstone,1,{},{}
1st innings,India,17.1,HH Pandya,CJ Jordan,2,{},{}
1st innings,India,17.2,HH Pandya,CJ Jordan,6,{},{}
1st innings,India,17.3,HH Pandya,CJ Jordan,6,{},{}
1st innings,India,17.4,HH Pandya,CJ Jordan,0,{},"{'player_out': 'HH Pandya', 'fielders': ['SM Curran'], 'kind': 'caught'}"
1st innings,India,17.5,S Dube,CJ Jordan,0,{},"{'player_out': 'S Dube', 'fielders': ['JC Buttler'], 'kind': 'caught'}"
1st innings,India,17.6,AR Patel,CJ Jordan,1,{},{}
1st innings,India,18.1,AR Patel,JC Archer,1,{},{}
1st innings,India,18.2,RA Jadeja,JC Archer,4,{},{}
1st innings,India,18.3,RA Jadeja,JC Archer,2,{},{}
1st innings,India,18.4,RA Jadeja,JC Archer,4,{},{}
1st innings,India,18.5,RA Jadeja,JC Archer,1,{},{}
1st innings,India,18.6,AR Patel,JC Archer,0,{},{}
1st innings,India,19.1,RA Jadeja,CJ Jordan,2,{},{}
1st innings,India,19.2,RA Jadeja,CJ Jordan,1,{},{}
1st innings,India,19.3,AR Patel,CJ Jordan,2,{},{}
1st innings,India,19.4,AR Patel,CJ Jordan,6,{},{}
1st innings,India,19.5,AR Patel,CJ Jordan,0,{},"{'player_out': 'AR Patel', 'fielders': ['PD Salt'], 'kind': 'caught'}"
1st innings,India,19.6,Arshdeep Singh,CJ Jordan,1,{},{}
2nd innings,England,0.1,PD Salt,Arshdeep Singh,1,{},{}
2nd innings,England,0.2,JC Buttler,Arshdeep Singh,0,{},{}
2nd innings,England,0.3,JC Buttler,Arshdeep Singh,2,{},{}
2nd innings,England,0.4,JC Buttler,Arshdeep Singh,1,{},{}
2nd innings,England,0.5,PD Salt,Arshdeep Singh,0,{},{}
2nd innings,England,0.6,PD Salt,Arshdeep Singh,1,{'legbyes': 1},{}
2nd innings,England,1.1,PD Salt,JJ Bumrah,1,{},{}
2nd innings,England,1.2,JC Buttler,JJ Bumrah,2,{},{}
2nd innings,England,1.3,JC Buttler,JJ Bumrah,0,{},{}
2nd innings,England,1.4,JC Buttler,JJ Bumrah,0,{},{}
2nd innings,England,1.5,JC Buttler,JJ Bumrah,4,{},{}
2nd innings,England,1.6,JC Buttler,JJ Bumrah,1,{},{}
2nd innings,England,2.1,JC Buttler,Arshdeep Singh,4,{},{}
2nd innings,England,2.2,JC Buttler,Arshdeep Singh,4,{},{}
2nd innings,England,2.3,JC Buttler,Arshdeep Singh,0,{},{}
2nd innings,England,2.4,JC Buttler,Arshdeep Singh,0,{},{}
2nd innings,England,2.5,JC Buttler,Arshdeep Singh,4,{},{}
2nd innings,England,2.6,JC Buttler,Arshdeep Singh,1,{},{}
2nd innings,England,3.1,JC Buttler,AR Patel,0,{},"{'player_out': 'JC Buttler', 'fielders': ['RR Pant'], 'kind': 'caught'}"
2nd innings,England,3.2,MM Ali,AR Patel,1,{},{}
2nd innings,England,3.3,PD Salt,AR Patel,1,{},{}
2nd innings,England,3.4,MM Ali,AR Patel,2,{},{}
2nd innings,England,3.5,MM Ali,AR Patel,1,{},{}
2nd innings,England,3.6,PD Salt,AR Patel,2,{},{}
2nd innings,England,4.1,MM Ali,JJ Bumrah,0,{},{}
2nd innings,England,4.2,MM Ali,JJ Bumrah,1,{},{}
2nd innings,England,4.3,PD Salt,JJ Bumrah,0,{},{}
2nd innings,England,4.4,PD Salt,JJ Bumrah,0,{},"{'player_out': 'PD Salt', 'kind': 'bowled'}"
2nd innings,England,4.5,JM Bairstow,JJ Bumrah,0,{},{}
2nd innings,England,4.6,JM Bairstow,JJ Bumrah,1,{'legbyes': 1},{}
2nd innings,England,5.1,JM Bairstow,AR Patel,0,{},"{'player_out': 'JM Bairstow', 'kind': 'bowled'}"
2nd innings,England,5.2,HC Brook,AR Patel,0,{},{}
2nd innings,England,5.3,HC Brook,AR Patel,1,{},{}
2nd innings,England,5.4,MM Ali,AR Patel,1,{},{}
2nd innings,England,5.5,HC Brook,AR Patel,2,{},{}
2nd innings,England,5.6,HC Brook,AR Patel,0,{},{}
2nd innings,England,6.1,MM Ali,Kuldeep Yadav,1,{},{}
2nd innings,England,6.2,HC Brook,Kuldeep Yadav,0,{},{}
2nd innings,England,6.3,HC Brook,Kuldeep Yadav,1,{},{}
2nd innings,England,6.4,MM Ali,Kuldeep Yadav,0,{},{}
2nd innings,England,6.5,MM Ali,Kuldeep Yadav,1,{},{}
2nd innings,England,6.6,HC Brook,Kuldeep Yadav,4,{},{}
2nd innings,England,7.1,MM Ali,AR Patel,0,{},"{'player_out': 'MM Ali', 'fielders': ['RR Pant'], 'kind': 'stumped'}"
2nd innings,England,7.2,SM Curran,AR Patel,1,{},{}
2nd innings,England,7.3,HC Brook,AR Patel,1,{},{}
2nd innings,England,7.4,SM Curran,AR Patel,0,{},{}
2nd innings,England,7.5,SM Curran,AR Patel,1,{},{}
2nd innings,England,7.6,HC Brook,AR Patel,0,{},{}
2nd innings,England,8.1,SM Curran,Kuldeep Yadav,0,{},"{'player_out': 'SM Curran', 'kind': 'lbw'}"
2nd innings,England,8.2,LS Livingstone,Kuldeep Yadav,1,{},{}
2nd innings,England,8.3,HC Brook,Kuldeep Yadav,1,{},{}
2nd innings,England,8.4,LS Livingstone,Kuldeep Yadav,0,{},{}
2nd innings,England,8.5,LS Livingstone,Kuldeep Yadav,1,{},{}
2nd innings,England,8.6,HC Brook,Kuldeep Yadav,1,{},{}
2nd innings,England,9.1,HC Brook,RA Jadeja,2,{},{}
2nd innings,England,9.2,HC Brook,RA Jadeja,4,{},{}
2nd innings,England,9.3,HC Brook,RA Jadeja,1,{},{}
2nd innings,England,9.4,LS Livingstone,RA Jadeja,1,{},{}
2nd innings,England,9.5,HC Brook,RA Jadeja,1,{},{}
2nd innings,England,9.6,LS Livingstone,RA Jadeja,0,{},{}
2nd innings,England,10.1,HC Brook,Kuldeep Yadav,2,{},{}
2nd innings,England,10.2,HC Brook,Kuldeep Yadav,0,{},{}
2nd innings,England,10.3,HC Brook,Kuldeep Yadav,4,{},{}
2nd innings,England,10.4,HC Brook,Kuldeep Yadav,0,{},"{'player_out': 'HC Brook', 'kind': 'bowled'}"
2nd innings,England,10.5,CJ Jordan,Kuldeep Yadav,0,{},{}
2nd innings,England,10.6,CJ Jordan,Kuldeep Yadav,0,{},{}
2nd innings,England,11.1,LS Livingstone,RA Jadeja,1,{},{}
2nd innings,England,11.2,CJ Jordan,RA Jadeja,1,{},{}
2nd innings,England,11.3,LS Livingstone,RA Jadeja,0,{},{}
2nd innings,England,11.4,LS Livingstone,RA Jadeja,0,{},{}
2nd innings,England,11.5,LS Livingstone,RA Jadeja,1,{},{}
2nd innings,England,11.6,CJ Jordan,RA Jadeja,0,{},{}
2nd innings,England,12.1,LS Livingstone,Kuldeep Yadav,1,{},{}
2nd innings,England,12.2,CJ Jordan,Kuldeep Yadav,0,{},"{'player_out': 'CJ Jordan', 'kind': 'lbw'}"
2nd innings,England,12.3,JC Archer,Kuldeep Yadav,0,{},{}
2nd innings,England,12.4,JC Archer,Kuldeep Yadav,1,{},{}
2nd innings,England,12.5,LS Livingstone,Kuldeep Yadav,0,{},{}
2nd innings,England,12.6,LS Livingstone,Kuldeep Yadav,0,{},{}
2nd innings,England,13.1,JC Archer,RA Jadeja,0,{},{}
2nd innings,England,13.2,JC Archer,RA Jadeja,1,{},{}
2nd innings,England,13.3,LS Livingstone,RA Jadeja,1,{},{}
2nd innings,England,13.4,JC Archer,RA Jadeja,0,{},{}
2nd innings,England,13.5,JC Archer,RA Jadeja,1,{},{}
2nd innings,England,13.6,LS Livingstone,RA Jadeja,1,{},{}
2nd innings,England,14.1,LS Livingstone,AR Patel,2,{},{}
2nd innings,England,14.2,LS Livingstone,AR Patel,1,{},{}
2nd innings,England,14.3,JC Archer,AR Patel,0,{},{}
2nd innings,England,14.4,JC Archer,AR Patel,6,{},{}
2nd innings,England,14.5,JC Archer,AR Patel,0,{},"{'player_out': 'LS Livingstone', 'fielders': ['AR Patel', 'Kuldeep Yadav'], 'kind': 'run out'}"
2nd innings,England,14.6,JC Archer,AR Patel,0,{},{}
2nd innings,England,15.1,AU Rashid,HH Pandya,2,{},{}
2nd innings,England,15.2,AU Rashid,HH Pandya,0,{},"{'player_out': 'AU Rashid', 'fielders': ['SA Yadav'], 'kind': 'run out'}"
