inning,batting_team,ball,batsman,bowler,runs,extras,wicket
1st innings,India,0.1,RG Sharma,M Jansen,1,{},{}
1st innings,India,0.2,V Kohli,M Jansen,4,{},{}
1st innings,India,0.3,V Kohli,M Jansen,4,{},{}
1st innings,India,0.4,V Kohli,M Jansen,2,{},{}
1st innings,India,0.5,V Kohli,M Jansen,0,{},{}
1st innings,India,0.6,V Kohli,M Jansen,4,{},{}
1st innings,India,1.1,RG Sharma,KA Maharaj,4,{},{}
1st innings,India,1.2,RG Sharma,KA Maharaj,4,{},{}
1st innings,India,1.3,RG Sharma,KA Maharaj,0,{},{}
1st innings,India,1.4,RG Sharma,KA Maharaj,0,{},"{'player_out': 'RG Sharma', 'fielders': ['H Klaasen'], 'kind': 'caught'}"
1st innings,India,1.5,RR Pant,KA Maharaj,0,{},{}
1st innings,India,1.6,RR Pant,KA Maharaj,0,{},"{'player_out': 'RR Pant', 'fielders': ['Q de Kock'], 'kind': 'caught'}"
1st innings,India,2.1,V Kohli,K Rabada,0,{},{}
1st innings,India,2.2,V Kohli,K Rabada,0,{},{}
1st innings,India,2.3,V Kohli,K Rabada,0,{},{}
1st innings,India,2.4,V Kohli,K Rabada,1,{},{}
1st innings,India,2.5,SA Yadav,K Rabada,0,{},{}
1st innings,India,2.6,SA Yadav,K Rabada,2,{},{}
1st innings,India,3.1,V Kohli,KA Maharaj,2,{},{}
1st innings,India,3.2,V Kohli,KA Maharaj,0,{},{}
1st innings,India,3.3,V Kohli,KA Maharaj,0,{},{}
1st innings,India,3.4,V Kohli,KA Maharaj,4,{},{}
1st innings,India,3.5,V Kohli,KA Maharaj,0,{},{}
1st innings,India,3.6,V Kohli,KA Maharaj,0,{},{}
1st innings,India,4.1,SA Yadav,K Rabada,1,{},{}
1st innings,India,4.2,V Kohli,K Rabada,1,{},{}
1st innings,India,4.3,SA Yadav,K Rabada,0,{},"{'player_out': 'SA Yadav', 'fielders': ['H Klaasen'], 'kind': 'caught'}"
1st innings,India,4.4,AR Patel,K Rabada,4,{},{}
1st innings,India,4.5,AR Patel,K Rabada,0,{},{}
1st innings,India,4.6,AR Patel,K Rabada,1,{},{}
1st innings,India,5.1,AR Patel,AK Markram,1,{},{}
1st innings,India,5.2,V Kohli,AK Markram,1,{},{}
1st innings,India,5.3,AR Patel,AK Markram,1,{},{}
1st innings,India,5.4,V Kohli,AK Markram,1,{},{}
1st innings,India,5.5,AR Patel,AK Markram,1,{},{}
1st innings,India,5.6,V Kohli,AK Markram,1,{},{}
1st innings,India,6.1,V Kohli,A Nortje,1,{},{}
1st innings,India,6.2,AR Patel,A Nortje,0,{},{}
1st innings,India,6.3,AR Patel,A Nortje,1,{},{}
1st innings,India,6.4,V Kohli,A Nortje,0,{},{}
1st innings,India,6.5,V Kohli,A Nortje,1,{},{}
1st innings,India,6.6,AR Patel,A Nortje,1,{},{}
1st innings,India,7.1,AR Patel,AK Markram,1,{},{}
1st innings,India,7.2,V Kohli,AK Markram,1,{},{}
1st innings,India,7.3,AR Patel,AK Markram,6,{},{}
1st innings,India,7.4,AR Patel,AK Markram,0,{},{}
1st innings,India,7.5,AR Patel,AK Markram,1,{},{}
1st innings,India,7.6,V Kohli,AK Markram,1,{},{}
1st innings,India,8.1,V Kohli,KA Maharaj,1,{},{}
1st innings,India,8.2,AR Patel,KA Maharaj,1,{},{}
1st innings,India,8.3,V Kohli,KA Maharaj,1,{},{}
1st innings,India,8.4,AR Patel,KA Maharaj,6,{},{}
1st innings,India,8.5,AR Patel,KA Maharaj,0,{},{}
1st innings,India,8.6,AR Patel,KA Maharaj,0,{},{}
1st innings,India,9.1,V Kohli,T Shamsi,1,{'wides': 1},{}
1st innings,India,9.2,V Kohli,T Shamsi,1,{},{}
1st innings,India,9.3,AR Patel,T Shamsi,0,{},{}
1st innings,India,9.4,AR Patel,T Shamsi,0,{},{}
1st innings,India,9.5,AR Patel,T Shamsi,1,{},{}
1st innings,India,9.6,V Kohli,T Shamsi,2,{},{}
1st innings,India,9.7,V Kohli,T Shamsi,2,{},{}
1st innings,India,10.1,AR Patel,M Jansen,1,{},{}
1st innings,India,10.2,V Kohli,M Jansen,1,{},{}
1st innings,India,10.3,AR Patel,M Jansen,1,{},{}
1st innings,India,10.4,V Kohli,M Jansen,1,{},{}
