player,role,elo,matches,innings_batted,innings_bowled,runs,batting_avg,strike_rate,wickets,bowling_avg,economy
DA Warner,batter,1516.1855096591705,24,24,0,612,25.5,133.9168490153173,0,999.0,999.0
TM Head,batter,1507.9612040552493,6,6,0,255,42.5,157.40740740740742,0,999.0,999.0
AJ Finch,batter,1507.9270682480994,16,16,1,458,28.625,113.93034825870647,0,999.0,18.0
TH David,batter,1504.1743350898241,6,6,0,85,14.166666666666666,141.66666666666669,0,999.0,999.0
SPD Smith,batter,1503.4732174873939,8,8,0,152,19.0,106.2937062937063,0,999.0,999.0
JR Hazlewood,bowler,1518.066041214891,17,1,17,1,1.0,100.0,19,23.57894736842105,6.857142857142857
A Zampa,bowler,1517.8743490752079,19,3,19,3,1.0,42.857142857142854,32,14.25,6.452830188679245
PJ Cummins,bowler,1516.3295297172738,14,4,14,44,11.0,141.93548387096774,15,27.466666666666665,7.62962962962963
NM Coulter-Nile,bowler,1500.3263772600958,6,2,6,1,0.5,20.0,7,27.285714285714285,8.070422535211268
GJ Maxwell,all-rounder,1514.0983947631275,21,21,19,457,21.761904761904763,141.92546583850933,12,30.166666666666668,7.841155234657039
MR Marsh,bowling-allrounder,1520.3997881073612,16,16,6,389,24.3125,124.28115015974441,1,90.0,7.9411764705882355
