player,role,elo,matches,innings_batted,innings_bowled,runs,batting_avg,strike_rate,wickets,bowling_avg,economy
RG Sharma,batter,1526.4702139800788,28,28,0,753,26.892857142857142,129.15951972555746,0,999.0,999.0
V Kohli,batter,1524.3163225708504,27,27,1,1083,40.111111111111114,127.11267605633803,1,15.0,9.0
SA Yadav,batter,1518.770510552797,16,16,0,427,26.6875,155.83941605839416,0,999.0,999.0
RR Hendricks,batter,1517.9509244728704,12,12,0,140,11.666666666666666,86.41975308641975,0,999.0,999.0
DA Warner,batter,1516.1855096591705,24,24,0,612,25.5,133.9168490153173,0,999.0,999.0
JR Hazlewood,bowler,1518.066041214891,17,1,17,1,1.0,100.0,19,23.57894736842105,6.857142857142857
A Zampa,bowler,1517.8743490752079,19,3,19,3,1.0,42.857142857142854,32,14.25,6.452830188679245
Arshdeep Singh,bowler,1516.647616555074,13,3,13,12,4.0,80.0,25,13.92,7.1020408163265305
PJ Cummins,bowler,1516.3295297172738,14,4,14,44,11.0,141.93548387096774,15,27.466666666666665,7.62962962962963
GJ Maxwell,all-rounder,1514.0983947631275,21,21,19,457,21.761904761904763,141.92546583850933,12,30.166666666666668,7.841155234657039
RA Jadeja,bowling-allrounder,1520.8676225045042,21,9,21,82,9.11111111111111,130.15873015873015,16,28.375,7.020618556701031
