player,role,elo,matches,innings_batted,innings_bowled,runs,batting_avg,strike_rate,wickets,bowling_avg,economy
RG Sharma,batter,1526.4702139800788,28,28,0,753,26.892857142857142,129.15951972555746,0,999.0,999.0
V Kohli,batter,1524.3163225708504,27,27,1,1083,40.111111111111114,127.11267605633803,1,15.0,9.0
SA Yadav,batter,1518.770510552797,16,16,0,427,26.6875,155.83941605839416,0,999.0,999.0
S Dube,batter,1513.1960902405704,7,7,1,123,17.571428571428573,106.03448275862068,0,999.0,11.0
S Dhawan,batter,1509.998064527013,7,7,0,74,10.571428571428571,82.22222222222221,0,999.0,999.0
Arshdeep Singh,bowler,1516.647616555074,13,3,13,12,4.0,80.0,25,13.92,7.1020408163265305
JJ Bumrah,bowler,1514.4461962554572,16,2,16,0,0.0,0.0,22,16.272727272727273,5.836956521739131
Mohammed Shami,bowler,1509.8850325325081,13,1,13,0,0.0,0.0,13,26.23076923076923,7.809160305343511
B Kumar,bowler,1509.8137938453,13,3,13,9,3.0,81.81818181818183,9,28.11111111111111,5.952941176470588
HH Pandya,all-rounder,1513.564604692916,19,14,19,290,20.714285714285715,130.04484304932734,26,19.192307692307693,8.410112359550562
RA Jadeja,bowling-allrounder,1520.8676225045042,21,9,21,82,9.11111111111111,130.15873015873015,16,28.375,7.020618556701031
