match_id,date,venue,winner,loser,margin,margin_type,winner_rating,loser_rating,winner_expected,rating_change,winner_xi_size,loser_xi_size
682899,2014-03-16,Zahur Ahmed Chowdhury Stadium,Nepal,Hong Kong,80,runs,1500.0,1500.0,0.5,24.0,11,11
682901,2014-03-17,Sylhet Stadium,Ireland,Zimbabwe,3,wickets,1500.0,1500.0,0.5,19.2,11,11
682903,2014-03-17,Sylhet Stadium,Netherlands,United Arab Emirates,6,wickets,1500.0,1500.0,0.5,24.0,11,11
682907,2014-03-18,Zahur Ahmed Chowdhury Stadium,Bangladesh,Nepal,8,wickets,1500.0,1502.1818181818182,0.49686015251064697,24.150712679488947,9,10
682909,2014-03-19,Sylhet Stadium,Zimbabwe,Netherlands,5,wickets,1498.4290909090907,1502.1818181818182,0.4945996013405439,19.40737530852311,10,11
682911,2014-03-19,Sylhet Stadium,Ireland,United Arab Emirates,21,runs,1501.586776859504,1498.2148760330579,0.5048524030142807,19.013667724251622,11,11
682915,2014-03-20,Zahur Ahmed Chowdhury Stadium,Hong Kong,Bangladesh,2,wickets,1498.2148760330579,1501.596741334181,0.49513325830852345,16.155735734127248,11,11
682919,2014-03-21,Sylhet Stadium,Netherlands,Ireland,6,wickets,1500.4175113355889,1503.0879731494347,0.49615697220140015,24.184465334332796,11,9
682921,2014-03-21,Shere Bangla National Stadium,India,Pakistan,7,wickets,1500.0,1500.0,0.5,24.0,10,11
682917,2014-03-21,Sylhet Stadium,Zimbabwe,United Arab Emirates,5,wickets,1500.0171384552496,1496.6022891775349,0.5049142049083515,19.0112945315193,11,11
682925,2014-03-22,Zahur Ahmed Chowdhury Stadium,New Zealand,England,9,runs,1500.0,1500.0,0.5,16.0,8,10
682923,2014-03-22,Zahur Ahmed Chowdhury Stadium,Sri Lanka,South Africa,5,runs,1500.0,1500.0,0.5,16.0,11,11
682929,2014-03-23,Shere Bangla National Stadium,India,West Indies,7,wickets,1502.1818181818182,1500.0,0.503139847489353,23.849287320511053,10,10
682927,2014-03-23,Shere Bangla National Stadium,Pakistan,Australia,16,runs,1498.0165289256197,1500.0,0.49714558667955927,19.30960947150492,11,11
682931,2014-03-24,Zahur Ahmed Chowdhury Stadium,South Africa,New Zealand,2,runs,1498.6776859504132,1501.0578512396698,0.496574720388294,16.109608947574593,11,11
682933,2014-03-24,Zahur Ahmed Chowdhury Stadium,Sri Lanka,Netherlands,9,wickets,1501.4545454545457,1502.6160990932551,0.4983283961696481,24.080236983856892,7,11
682935,2014-03-25,Shere Bangla National Stadium,West Indies,Bangladesh,73,runs,1498.0289845189657,1500.2629266606452,0.49678514313185596,24.154313129670914,11,11
682939,2014-03-27,Zahur Ahmed Chowdhury Stadium,England,Sri Lanka,6,wickets,1498.6776859504132,1502.9869241717001,0.49379882567405275,24.297656367645466,11,10
682937,2014-03-27,Zahur Ahmed Chowdhury Stadium,South Africa,Netherlands,6,runs,1500.1412899956674,1500.4269866401776,0.49958884957094074,16.013156813729896,11,11
682941,2014-03-28,Shere Bangla National Stadium,West Indies,Australia,6,wickets,1500.0277296190145,1498.563748055839,0.5021068263584247,23.898872334795612,10,11
682943,2014-03-28,Shere Bangla National Stadium,India,Bangladesh,8,wickets,1503.9149416898601,1498.4663248576117,0.5078405471848277,23.62365373512827,10,11
682947,2014-03-29,Zahur Ahmed Chowdhury Stadium,South Africa,England,3,runs,1501.3181389354925,1500.8865638020172,0.5006210862235854,15.980125240845268,10,11
682945,2014-03-29,Zahur Ahmed Chowdhury Stadium,New Zealand,Netherlands,6,wickets,1499.846573894722,1498.9712451116568,0.501259696714344,23.93953455771149,10,11
682951,2014-03-30,Shere Bangla National Stadium,India,Australia,73,runs,1504.7254837061578,1496.5886346397392,0.5117077266808788,23.438029119317818,11,11
682949,2014-03-30,Shere Bangla National Stadium,Pakistan,Bangladesh,50,runs,1499.8107115265705,1496.7796533925189,0.5043619326359517,23.790627233474318,11,11
682955,2014-03-31,Zahur Ahmed Chowdhury Stadium,Sri Lanka,New Zealand,59,runs,1500.5768802859036,1501.7058583888343,0.49837527562465156,24.077986770016725,11,11
682953,2014-03-31,Zahur Ahmed Chowdhury Stadium,Netherlands,England,45,runs,1496.7949237882278,1499.49731662205,0.4961110225170223,24.18667091918293,11,11
682957,2014-04-01,Shere Bangla National Stadium,Australia,Bangladesh,7,wickets,1495.370243499362,1495.3976003092378,0.49996063038594907,24.001889741474443,10,11
682959,2014-04-01,Shere Bangla National Stadium,West Indies,Pakistan,84,runs,1502.1999445832173,1501.9734958205227,0.5003258859196711,23.984357475855788,11,11
682961,2014-04-03,Shere Bangla National Stadium,Sri Lanka,West Indies,27,runs,1502.5365406479627,1504.380750510892,0.49734599358925646,19.30191384617255,10,9
682963,2014-04-04,Shere Bangla National Stadium,India,South Africa,6,wickets,1506.856213626096,1502.784457033669,0.5058594605152642,23.71874589526732,11,11
682965,2014-04-06,Shere Bangla National Stadium,Sri Lanka,India,6,wickets,1504.2014677163645,1509.0124632529385,0.4930768633557241,24.332310558925244,11,11
951311,2016-03-09,Himachal Pradesh Cricket Association Stadium,Oman,Ireland,2,wickets,1500.0,1501.0114783641634,0.49854436973538346,16.046580168467727,11,11
951309,2016-03-09,Himachal Pradesh Cricket Association Stadium,Bangladesh,Netherlands,8,runs,1494.7340556947092,1499.176673498407,0.4936069074735975,16.20457896084488,11,11
951313,2016-03-10,"Vidarbha Cricket Association Stadium, Jamtha",Zimbabwe,Scotland,11,runs,1501.1118238750437,1500.0,0.501600037713691,19.138558551794265,11,11
951323,2016-03-12,"Vidarbha Cricket Association Stadium, Jamtha",Scotland,Hong Kong,8,wickets,1498.7820917285221,1499.3539492218613,0.4991770316559963,24.03950248051218,10,10
951325,2016-03-13,Himachal Pradesh Cricket Association Stadium,Netherlands,Ireland,12,runs,1497.9078706711225,1499.801258535281,0.4972752228040922,19.304631444322858,9,11
