rank,player,rating,matches
1,RG Sharma,1526.4702139800788,28
2,V Kohli,1524.3163225708504,27
3,RA Jadeja,1520.8676225045042,21
4,MR Marsh,1520.3997881073612,16
5,SA Yadav,1518.770510552797,16
6,AR Patel,1518.407644530993,12
7,JR Hazlewood,1518.066041214891,17
8,RR Hendricks,1517.9509244728704,12
9,A Zampa,1517.8743490752079,19
10,R Ashwin,1517.6712754945158,19
11,KA Maharaj,1516.889001279152,15
12,Arshdeep Singh,1516.647616555074,13
13,PJ Cummins,1516.3295297172738,14
14,DA Warner,1516.1855096591705,24
15,A Nortje,1516.101594303348,17
16,AK Markram,1516.101594303348,17
17,J Charles,1515.6733802354343,12
18,AU Rashid,1515.1318416302283,23
19,JJ Bumrah,1514.4461962554572,16
20,MA Starc,1514.1985884366654,19
21,MJ Santner,1514.1596169003826,19
22,GJ Maxwell,1514.0983947631275,23
23,IS Sodhi,1513.7645545248263,17
24,MP Stoinis,1513.6714634685468,13
25,HH Pandya,1513.564604692916,20
26,S Dube,1513.1960902405704,7
27,K Rabada,1512.9158454825836,19
28,MN Samuels,1512.5831671376202,10
29,S Badree,1512.5831671376202,10
30,JC Buttler,1512.234647103648,27
31,Mohammad Rizwan,1512.1862620849552,15
32,Haris Rauf,1512.1862620849552,15
33,Babar Azam,1512.1862620849552,15
34,Shaheen Shah Afridi,1512.1862620849552,15
35,SK Raina,1512.0730158411639,10
36,KS Williamson,1511.980667147869,22
37,Q de Kock,1511.9479816070805,23
38,DA Miller,1511.9169787169358,21
39,MDKJ Perera,1511.8054355123227,14
40,T Stubbs,1511.7766991669996,11
41,LS Livingstone,1511.4103617654682,17
42,DP Conway,1511.0658033218854,13
43,CR Woakes,1510.77798373861,11
44,D Ramdin,1510.4354182659038,5
45,M Jansen,1510.0781129238685,8
46,Shadab Khan,1510.0294558428022,14
47,S Dhawan,1509.998064527013,7
48,CR Brathwaite,1509.9571360672894,5
49,SJ Benn,1509.9571360672894,5
50,Yuvraj Singh,1509.9254109561523,9
51,Mohammed Shami,1509.8850325325081,13
52,B Kumar,1509.8137938453,13
53,AD Russell,1509.6796162347646,21
54,T Shamsi,1509.415886553936,11
55,TG Southee,1508.8657464313917,16
56,TA Boult,1508.8631243164161,16
57,Fakhar Zaman,1508.831915811579,8
58,AF Milne,1508.8157907667764,9
59,SM Curran,1508.80929160365,10
60,RR Pant,1508.7332702881877,11
61,A Mishra,1508.5724914101181,6
62,OEG Baartman,1508.13854590289,5
63,JJ Roy,1508.075192276566,10
64,TM Head,1507.9612040552493,6
65,AJ Finch,1507.9270682480994,16
66,DJG Sammy,1507.806642477126,6
67,BA Stokes,1507.5998877172767,10
68,Imad Wasim,1507.5991212132785,11
69,SL Malinga,1507.5904356173935,6
70,CJ Jordan,1507.3165929005281,21
71,MJ Guptill,1507.0446230869081,14
72,Hasan Ali,1506.5204524096832,5
73,D Pretorius,1506.12253332278,5
74,HE van der Dussen,1506.12253332278,5
75,Mohammad Hafeez,1506.0757230126978,11
76,DPMD Jayawardene,1505.8357161768324,5
77,DJ Bravo,1505.690849938372,15
78,MS Dhoni,1505.5366960920119,9
79,JM Bairstow,1505.4230060927928,12
80,KMDN Kulasekara,1505.4081312278408,7
81,KC Sangakkara,1505.4013231643155,5
82,SMSM Senanayake,1505.4013231643155,5
83,GD Elliott,1505.2839060192114,5
84,B Fernando,1505.153718794049,5
85,Mohammad Wasim,1505.0267334037003,6
86,FH Allen,1504.9786701354562,8
87,LH Ferguson,1504.9786701354562,8
88,AD Hales,1504.7026931906964,14
89,PD Salt,1504.532154101728,8
90,DJ Mitchell,1504.526187544061,12
91,H Klaasen,1504.327561592446,11
92,NL McCullum,1504.3111100680671,6
93,T Bavuma,1504.2650238299552,8
94,RJW Topley,1504.2397614778674,8
95,TH David,1504.1743350898241,6
96,Naseem Shah,1503.9903562744514,9
97,G Motie,1503.9887662963927,6
98,C Munro,1503.8193961148863,6
99,LRPL Taylor,1503.8068095501312,8
100,MM Ali,1503.608215216122,23
101,CH Gayle,1503.5085455488193,14
102,SPD Smith,1503.4732174873939,8
103,KL Rahul,1503.387492436541,10
104,MS Wade,1503.3871446416754,8
105,Mohammad Nawaz,1503.2852726753108,7
106,Shan Masood,1503.2852726753108,7
107,MJ McClenaghan,1503.0414665855585,8
108,DJ Malan,1502.8667942280595,7
109,JC Archer,1502.7737932340908,7
110,SP Narine,1502.6260310703308,5
111,DR Smith,1502.6260310703308,5
112,K Santokie,1502.6260310703308,5
113,WIA Fernando,1502.470265358884,7
114,GD Phillips,1502.4354825432267,11
115,JDS Neesham,1502.4228959784716,13
116,JH Davey,1502.2526949181831,9
117,AD Mathews,1502.1917482874007,11
118,LMP Simmons,1502.1115820556306,9
119,C Karunaratne,1501.9931976156065,15
120,AS Joseph,1501.8452729771593,9
121,SE Rutherford,1501.82147626121,5
122,L Ronchi,1501.630488226703,7
123,JE Root,1501.5800646575276,5
124,DJ Willey,1501.5800646575276,5
125,DW Steyn,1501.4798881801007,7
126,TM Dilshan,1501.4588597125617,9
127,A Nehra,1501.3141398928494,5
128,SC Williams,1501.1713761698331,11
129,Sikandar Raza,1501.1713761698331,11
130,JA Morkel,1500.7621950097166,5
131,Ahsan Malik,1500.7486785485469,8
132,PWH de Silva,1500.5369601200211,18
133,MA Jones,1500.4699607286157,6
134,TLW Cooper,1500.3987454093394,16
135,NM Coulter-Nile,1500.3263772600958,6
136,CBRLS Kumara,1500.2781183299137,12
137,PVD Chameera,1500.2428948101697,12
138,HC Brook,1500.1660978427244,8
139,HMRKB Herath,1500.0240796565422,6
140,HDRL Thirimanne,1500.0240796565422,6
141,CR Ervine,1499.9057318885082,6
142,Tanzim Hasan Sakib,1499.8435678131682,6
143,Rishad Hossain,1499.8435678131682,6
144,Tanzid Hasan,1499.8435678131682,6
145,Towhid Hridoy,1499.8435678131682,6
146,M Shumba,1499.8280333127766,6
147,F du Plessis,1499.7673790556635,6
148,Imran Tahir,1499.7655722593765,8
149,AB de Villiers,1499.7655722593765,8
