rank,team,rating
1,India,1791.172353780869
2,Australia,1678.0406062508737
3,South Africa,1674.5388321899693
4,New Zealand,1655.5077247443303
5,England,1634.5811181401352
6,Pakistan,1590.9589596749213
7,West Indies,1582.8973520708428
8,Sri Lanka,1521.9540181584073
9,Zimbabwe,1512.8851378681638
10,Scotland,1482.426432716715
11,Canada,1471.2267992885243
12,Uganda,1471.0832040101557
13,Hong Kong,1468.116233253615
14,Nepal,1440.7483333267696
15,United States of America,1434.5780168316085
16,United Arab Emirates,1410.6187239173614
17,Oman,1401.4854486696624
18,Namibia,1395.3415376877679
19,Netherlands,1378.8940861123046
20,Papua New Guinea,1371.9105037149577
21,Ireland,1364.1160848715347
22,Bangladesh,1266.9184927205106
