rank,team,rating
1,India,1695.4202657908197
2,Australia,1654.5636480598494
3,South Africa,1635.5832780855756
4,England,1616.2025830365449
5,New Zealand,1595.4362862799671
6,Pakistan,1588.8985408795554
7,West Indies,1545.3491403057608
8,Zimbabwe,1489.8259347638298
9,Scotland,1485.4348279596727
10,Sri Lanka,1483.782257289335
11,Canada,1473.7452569584116
12,Uganda,1471.5548936705763
13,Hong Kong,1469.414286048505
14,United States of America,1456.98079644734
15,Nepal,1439.1355342035463
16,United Arab Emirates,1423.5473531479795
17,Netherlands,1420.5855872952832
18,Bangladesh,1419.513232732993
19,Namibia,1417.9587220755502
20,Oman,1415.1100282155637
21,Ireland,1413.3670480824665
22,Papua New Guinea,1388.5904986708747
